순번,시대코드,시대,분야코드,분야,자료ID,제목,목차경로,국문,원문,해설,참고자료,상세URL,Markdown파일
31,hm_age_10,삼국 이전,hm_ty_040,문화,hm_007_0010,부여의 의복,삼국 이전 > 문화 > 여러 나라의 문화 > 부여의 의복,"나라 안에 있을 때는 흰 옷을 즐겨 입었는데, 흰 베로 만든 큰 소매 달린 도포와 바지를 입고 신발은 가죽신을 신는다. 나라에 밖에 나갈 때는 비단옷과 수놓은 비단옷·무늬있는 비단옷·모직(毛織) 옷을 즐겨 입고, 대인(大人)은 그 위에 여우·살쾡이·원숭이, 희거나 검은 담비 가죽으로 만든 갖옷을 입으며, 또 금·은으로 모자를 장식하였다.

『삼국지』권30, 「위서」30 오환선비동이전","在國衣尙白, 白布大袂袍·袴, 履革鞜. 出國則尙繒繡錦罽, 大人加狐狸·狖白·黑貂之裘, 以金銀飾帽.

『三國志』卷30, 「魏書」30 烏丸鮮卑東夷傳","이 사료는 『삼국지(三國志)』 동이전(東夷傳)의 일부로, 부여의 의복 문화에 대한 내용을 담고 있다.

이 사료에 기술된 것처럼 부여인은 흰색을 숭상하였다고 한다. 또한 흰 베로 만든 큰 소매 달린 도포와 바지를 입었으며, 가죽신을 신었다고 한다. 이처럼 흰색 의복을 숭상한 부여의 문화는 동북아시아 여러 나라에서도 그와 같은 문화를 찾아볼 수 있다. 예컨대 『수서(隋書)』 신라전(新羅傳)에서도 신라인은 의복의 흰빛을 숭상한다고 하였을 뿐만 아니라 고려와 조선의 의복에서도 흰옷이 선호되었다.

일찍이 한국 전통 문화에서 흰색 의복이 숭상된 사실을 근거로 염색 기술의 부족을 지적하기도 하였다. 그러나 각종 문헌 기록이나 고구려 고분 벽화

및 고고 자료를 통해 확인할 수 있듯이 고대 여러 나라에서는 다양한 색상의 의복을 제작해 입었다. 그럼에도 부여의 지배층들은 평소에 흰색 의복에 가죽신을 즐겨 신었는데, 흰색에 대한 서술로 부여 지배층의 의복 문화였다고 할 수 있다.

부여의 지배층은 외국에 나갈 때는 비단옷이나 수놓은 옷, 모직 옷 또는 갖옷을 즐겨 입었다고 한다. 이 가운데 비단은 당시 여러 나라 지배층이 선호하던 고급 옷감으로, 부여의 지배층들이 이웃 나라와 교류하며 비단옷의 가치를 인식하였을 가능성을 말해 준다. 또한 양털로 만든 옷과 짐승의 가죽으로 만든 옷도 입었는데, 이는 주변의 유목·수렵 사회와 교류한 결과였다고 생각된다.

이와 같이 부여에서는 흰색을 숭상한 전통의 의복 문화를 바탕으로 하였으며, 주변의 여러 나라와 교류하면서 비단이나 가죽으로 제작된 복식 역시 중시되었다.

이 글의 내용은 집필자의 개인적 견해이며, 국사편찬위원회의 공식적 견해와 다를 수 있습니다.

참고문헌

논문

김미자(金美子), 「고구려 의복에 관한 연구」, 『白山學報』 41, 1993.

저서

송호정, 『처음 읽는 부여사:한국 고대국가의 원류 부여사 700년』, 사계절, 2016.
이기백, 『한국전통문화론』, 일조각, 2002.
이기백, 『한국정치사회사연구』, 일조각, 1996.
이종수, 『부여의 얼굴』, 동북아역사재단, 2021.

편저

김미자(金美子), 「高句麗 古墳壁畵를 통해 본 高句麗 服飾에 關한 硏究」, 『高句麗硏究. 第4輯 : 高句麗古墳壁畵』, 학연문화사, 1997.
김성숙, 「문헌으로 본 부여문화」, 『부여사와 그 주변』, 동북아역사재단, 2008.
송호정, 「부여의 문화」, 국사편찬위원회, 1997.
오강원, 「부여 사람들은 어떻게 살았을까」, 『고조선·단군·부여』, 동북아역사재단, 2015.

관련사이트

[http://db.history.go.kr/id/jo_004_0010_0020_0020] 『삼국지』권30, 「위서」30 오환선비동이전, 국사편찬위원회 한국사데이터베이스",,https://contents.history.go.kr/front/hm/view.do?levelId=hm_007_0010,사료로 본 한국사\items\hm_age_10_삼국 이전\hm_ty_040_문화\hm_007_0010_부여의 의복.md
32,hm_age_10,삼국 이전,hm_ty_040,문화,hm_007_0020,삼한의 소도와 천군,삼국 이전 > 문화 > 여러 나라의 문화 > 삼한의 소도와 천군,"(삼한(三韓)에서는) 귀신을 믿는다. 국읍

(國邑)에 각기 한 사람씩을 세워서 천신(天神)제사를 주관하게 하는데, 이를 ‘천군(天君)’이라고 부른다. 또한 여러 국(國)에는 각각 별읍(別邑)이 있으니 이를 ‘소도

(蘇塗)’라고 부른다. (그곳에) 큰 나무를 세우고 방울과 북을 매달아 놓고 귀신을 섬긴다. (다른 지역에서) 그 지역으로 도망쳐 온 사람은 모두 돌려보내지 아니하므로, 도적질하는 것을 좋아하게 되었다. 그들이 소도

를 세운 뜻은 부도(浮屠)와 같으나, 행하는 바의 좋고 나쁜 점은 다르다.

『삼국지』권30, 「위서」30 오환선비동이전","信鬼神. 國邑各立一人主祭天神, 名之天君. 又諸國各有別邑, 名之爲蘇塗. 立大木, 縣鈴鼓, 事鬼神. 諸亡逃至其中, 皆不還之, 好作賊. 其立蘇塗之義, 有似浮屠, 而所行善惡有異.

『三國志』卷30, 「魏書」30 烏丸鮮卑東夷傳","이 사료는 『삼국지(三國志)』 동이전(東夷傳)의 일부로, 삼한의 신앙인 제천(祭天)과 소도

(蘇塗)에 대한 내용을 전하고 있다. 소략한 내용임에도 삼한사회의 신앙과 제의에 대한 구체적인 모습을 담고 있어서 중요한 자료로 여겨진다.

삼한에는 각기 수십 개의 국(國)이 존재했는데 마한(馬韓)은 54개국, 변한(弁韓)과 진한(辰韓)은 각각 12개국이었다. 각각의 국은 여러 읍락(邑落)으로 구성되어 있었다. 그 중에서는 중심이 되는 국읍

(國邑)이 있고, 그에 속한 별읍(別邑)이 있었다. 이 사료에서는 국읍

과 별읍의 존재, 그리고 그들 각각의 신앙이 구분되어 있었음을 서술하고 있다.

국읍

에서는 천신(天神)에게 제사를 드렸고 별읍에는 소도

가 있어서 귀신을 섬긴다고 하였다. 즉 소도

라고 칭하는 삼한의 별읍은 귀신제사를 주관하던 제의적 장소였다고 여겨진다.

『삼국지』에서는 소도

를 불교의 부도(浮屠), 즉 승려의 사리나 유골을 안치한 탑과 비교하였는데, 소도

에는 큰 나무를 세우고 거기에 북과 방울을 매달아 신을 섬겼다고 하였다. 이때 북과 방울은 샤먼이 신앙 행위를 할 때 사용하였던 신물(神物)로 여겨진다. 그러므로 소도

신앙은 샤머니즘의 일종이었다고 생각된다. 소도

는 일종의 신성(神聖)한 공간으로, 소도

의 샤머니즘은 지역적인 독자성을 가졌다. 소도

에서 모시는 신앙 대상이 지역의 토착 신(神)으로서 국읍

이나 다른 읍락의 신앙 대상과 구분되었음을 말해 준다.

이 사료에 보이듯 다른 지역에서 소도

로 도망쳐 오면 비록 범죄자라고 하더라도 돌려보내지 않았다고 하는데, 행하는 바의 좋고 나쁜 점이 다르다고 한 것은 이것을 의미하는 것으로 보인다. 즉 부도의 의미로서 소도

를 세운 의도는 좋으나 그에 비해 도망자에게 피신할 곳을 제공하는 점은 옳지 못하다는 의미로 해석할 수 있다.

한편 국읍

에서는 별읍과 달리 천신에게 제사를 올렸으며, 이를 천군(天君)이 주관하였다. 천군의 존재는 삼한 사회에 왕 혹은 왕에 준하는 정치적 지도자가 출현하고 있었음을 시사한다. 이는 고구려의 국중대회인 동맹(東盟)이나 부여의 영고(迎鼓)와 같은 제천의례와 비교될 수 있다. 국왕이 직접 주관한 제천의례는 국가의 결속력을 다지는 정치적 의미가 담겨 있다.

물론 삼한에서는 국중대회로 표현하지는 않았지만, 삼한의 국읍

에서 천군이 천신에게 지냈던 제사는 곧 종교적 차원에서 이루어진 하늘에 대한 제의 행위로서, 그것을 주관했던 지배 세력의 정치적 의도가 담긴 국가적 제의였다. 이후 삼한 중 몇몇 대국이 세력을 확장하게 되면서 고구려와 부여에서 지냈던 것과 같이 국가적인 규모의 제천의례로 확대되었을 것으로 상정된다.

학계에서는 삼한의 국읍

이 각 국마다 존재했는지, 혹은 중심 세력이 장악한 일부 국에서만 존재했는지에 대해 의견이 갈린다. 그러나 국가적 성격의 제천의례가 이루어진 점을 고려하면, 삼한의 모든 국에서가 아니라 일정 규모 이상의 대국 중심지에서 천신 제사가 주관되었을 가능성이 높다.

실제로 마한과 진한의 대국이었던 백제국(伯濟國)이나 사로국(斯盧國)의 중심적인 국읍

이 주변의 몇몇 국읍

과 여러 읍락을 통합해 가면서, 신앙 또한 중심 국읍

의 천신 신앙으로 수렴되는 양상을 보였다.

이 글의 내용은 집필자의 개인적 견해이며, 국사편찬위원회의 공식적 견해와 다를 수 있습니다.

참고문헌

논문

문창로, 「삼한사회의 소도와 신앙의례」, 『한국역사민속학강의』 1, 2010.
박대재, 「三韓의 ‘國邑’에 대한 재인식」, 『한국고대사연구』 91, 2018.

저서

김두진, 『한국고대의 건국신화와 제의』, 일조각, 1999.
최광식, 『고대한국의 국가와 제사』, 한길사, 1994.

편저

이현혜, 「삼한의 정치와 사회」, 『신편한국사』 4, 국사편찬위원회, 1997.

관련사이트

[http://db.history.go.kr/id/jo_004_0010_0070_0090] 『삼국지』권30, 「위서」30 오환선비동이전, 국사편찬위원회 한국사데이터베이스",,https://contents.history.go.kr/front/hm/view.do?levelId=hm_007_0020,사료로 본 한국사\items\hm_age_10_삼국 이전\hm_ty_040_문화\hm_007_0020_삼한의 소도와 천군.md
33,hm_age_10,삼국 이전,hm_ty_040,문화,hm_007_0030,삼한의 편두와 문신 문화,삼국 이전 > 문화 > 여러 나라의 문화 > 삼한의 편두와 문신 문화,"(삼한(三韓)에서는) 아이가 태어나면 곧 돌로 그 머리를 눌러서 납작하게 만들고자 하였다. 지금 진한(辰韓) 사람의 머리는 모두 납작하다. 왜(倭)와 가까운 지역이므로 남녀가 문신(文身)을 하기도 한다.

『삼국지』권30, 「위서」30 오환선비동이전","兒生, 便以石厭其頭, 欲其褊. 今辰韓人皆褊頭. 男女近倭, 亦文身.

『三國志』卷30, 「魏書」30 烏丸鮮卑東夷傳","이 사료는 『삼국지(三國志)』 동이전(東夷傳)의 일부로, 진한(辰韓)과 변한(弁韓)의 편두(褊頭)와 문신(文身) 풍속을 전하고 있다.

진한과 변한에서는 아이가 태어나면, 곧 돌로 머리를 눌러서 납작하게 만들었다고 한다. 따라서 『삼국지』 동이전이 편찬된 시점인 3세기 후반 무렵 진한과 변한 사람의 머리가 모두 납작하다고 하였다.

이러한 기록은 경상남도 김해시 예안리 고분군 움무덤에서 출토된 사람 뼈의 두개골을 통해 그 실상이 확인되었다. 예안리 85호 분과 99호 분에서 출토된 두개골이 대표적인데, 그 높이와 넓이를 계산해 보면 이 사료의 기록처럼 납작한 모양을 하고 있었던 것이다.

진한과 변한의 편두 풍속은 원시·고대의 여러 사회에서 행하여진 두개 변형(頭蓋變形) 풍습에 해당한다. 두개 변형은 자연적 혹은 인위적으로 두개골에 압박을 가하여 그 형태를 변형시키는 것으로, 뉴헤브리디스 제도(諸島)를 비롯한 동남아시아의 여러 지역, 아프리카의 망베투 족(族), 유럽의 프랑스·크레타·라플란드 등지에서 그러한 풍속이 있었다고 한다. 이렇게 편두를 한 목적에 대해서는 신분 및 계층의 구분, 미적(美的) 의식, 주술(呪術的) 기능 등으로 의견이 분분한 상태이다.

한편 진한과 변한의 남녀는 문신을 했는데, 이는 왜(倭)와 가깝기 때문이었다고 하였다. 이와 같은 기록은 문신의 풍속이 왜로부터 영향을 받은 것이었을 가능성을 말해 준다.

이 글의 내용은 집필자의 개인적 견해이며, 국사편찬위원회의 공식적 견해와 다를 수 있습니다.

참고문헌

논문

이재현, 「신라의 편두습속과 그 의의」, 『신라문화유산연구』 1, 2017.
정혜경, 「삼한의 복식에 대한 연구 - 「三國志」 魏志 東夷傳을 통하여 -」, 『服飾』 51, 2001.
한진성 외, 「고대 동북아시아 편두 고인골의 연구 현황」, 『인문학연구』 44, 2020.

저서

국립김해박물관, 『가야 사람 풍습-편두』, 사회평론아카데미, 2020.

편저

이현혜, 「삼한의 정치와 사회」, 『한국사』 4, 국사편찬위원회, 1997.

관련사이트

[https://db.history.go.kr/id/jo_004r_0010_0070_0140] 『삼국지』권30, 「위서」30 오환선비동이전, 국사편찬위원회 한국사데이터베이스",,https://contents.history.go.kr/front/hm/view.do?levelId=hm_007_0030,사료로 본 한국사\items\hm_age_10_삼국 이전\hm_ty_040_문화\hm_007_0030_삼한의 편두와 문신 문화.md
