순번,시대코드,시대,분야코드,분야,자료ID,제목,목차경로,국문,원문,해설,참고자료,상세URL,Markdown파일
23,hm_age_10,삼국 이전,hm_ty_020,경제,hm_004_0010,부여의 산업과 생산물,삼국 이전 > 경제 > 여러 나라의 경제 활동 > 부여의 산업과 생산물,"(부여(夫餘)의) 토지는 오곡(五穀)이 자라기에는 적당하지만, 오과(五果)는 생산되지 않는다.

『삼국지』권30, 「위서」30 오환선비동이전

그 나라 사람들은 가축을 잘 기른다. 명마(名馬)와 적옥(赤玉), 담비와 원숭이 (가죽) 및 아름다운 구슬이 산출되는데, 구슬 가운데 큰 것은 대추[酸棗]만 하다

『삼국지』권30, 「위서」30 오환선비동이전

옛 부여의 풍속에서는 홍수와 가뭄으로 기후가 고르지 않아 오곡이 익지 않으면, 번번히 허물을 왕에게 돌려 “(왕을) 마땅히 바꾸어야 한다”라고 하거나, 혹은 “마땅히 죽여야 한다”고 하였다.

『삼국지』권30, 「위서」30 오환선비동이전","土地宜五穀, 不生五果.

『三國志』卷30, 「魏書」30 烏丸鮮卑東夷傳

其國善養牲. 出名馬·赤玉·貂狖·美珠, 珠大者如酸棗.

『三國志』卷30, 「魏書」30 烏丸鮮卑東夷傳

舊夫餘俗, 水旱不調, 五穀不熟, 輒歸咎於王, 或言當易, 或言當殺.

『三國志』卷30, 「魏書」30 烏丸鮮卑東夷傳","이 사료는 『삼국지(三國志)』 동이전(東夷傳)의 일부로, 부여(夫餘)의 농업 생산과 특산물에 관한 사실을 전하고 있다. 부여의 토지는 오곡(五穀), 곧 다섯 가지 곡물이 자라기에는 적당하다고 하지만, 오과(五果), 곧 다섯 가지 과일은 나지 않는다고 한다. 그런데 오곡과 오과가 구체적으로 어떤 곡물과 과일을 의미하는지는 서적에 따라 다르기 때문에, 부여에서 난다는 오곡 또한 명확하게 알기 어렵다. 예를 들어 중국의 『주례(周禮)』와 같은 서적에서는 마(麻)·기장(黍)·벼(稷)·보리(麥)·콩(豆)을 오곡이라고 전하는 반면, 『맹자(孟子)』에서는 보리(黍)·벼(稷)·대두(菽)·귀리 혹은 메밀(麥)·쌀(稻)을 오곡이라고 하는 등 차이가 있다.

그렇기 때문에 학자들 간에 각 기록에서 나타나는 오곡에 대해 의견이 갈리지만, 『삼국지』에서 전하는 부여와 한(韓)의 오곡은 대개의 경우 벼, 마(麻), 기장 혹은 조(粟), 보리, 콩을 의미한다고 추정되고 있다. 또 오과의 경우도 복숭아(桃)·오얏(李)·살구(杏)·밤(栗)·대추(棗)을 의미한다고 보거나, 살구·복숭아류(核果)·배·사과류(膚果)·밤류(穀果)·잣류(檜果)·콩류(角果)의 다섯 종류로 파악한다. 다만 부여에서는 오과는 생산되지 않았다고 하여, 이것은 북방에 위치한 입지상 기후가 과일 재배에 그리 적합하지 않았기 때문으로 여겨진다.

이처럼 오곡과 오과가 정확하게 어떠한 작물이었는지는 명확하지 않으며, 단순히 각종 곡물이나 과일을 막연히 칭했던 것으로 볼 수도 있다. 그러나 적어도 부여에서는 작물 재배가 성행하였고, 농경이 기본적인 생업이었던 것은 분명하다. 같은 『삼국지』 동이전의 기록에서는 부여에 대해 동이(東夷) 중에 가장 넓고 평탄한 곳이었다고 전한다. 또 위의 기록에서 전하는 것처럼 옛 부여의 풍속에서 가뭄이나 장마로 인해 오곡이 영글지 않으면, 그 허물을 왕에게 돌려 왕을 교체하거나 죽이기까지 했던 것으로 전한다. 이처럼 농경의 성패에 따라 부여의 국왕이 교체되기도 하였다는 기록은 19세기 말 J. G. 프레이저(Frazer)의 저서 『황금가지(The Golden Bough)』에도 소개되었던 유명한 이야기이다. 농사의 흥망에 따라 국왕에게 책임을 묻기도 했던 것은 전 세계에서 초기 농경사회에서 종종 나타나는 현상으로, 그만큼 농경이 부여에서 차지하는 중요성을 나타내는 사례라고 할 수 있다.

이처럼 부여의 생업은 농업이 중심이 되었지만, “그 나라 사람들은 가축을 잘 기른다”라고 한 사실에서 알 수 있듯이 목축업도 겸하였다. 따라서 부여는 반농반목(半農半牧)의 경제적 환경을 가지고 있었다고 말할 수 있다. 부여에 목축업이 활발하게 이루어졌던 사실은 관직명을 마가(馬加)·우가(牛加)·저가(猪加)·구가(狗加)처럼 여러 가축의 이름을 따서 지었다는 내용에서도 잘 드러난다. 당시 부여인들은 대체로 이러한 가축들, 즉 소·말·돼지·개 등을 사육했으리라 여겨진다. 특히 부여는 위의 기록에서 나타나는 것처럼 명마(名馬)의 산출지로도 중국 방면에서도 알려지고 있었던 것이다.

부여에서 목축업이 발달한 것은 대평원을 가지고 있던 지리적 이점과 더불어, 그들의 원류가 북방에서 유목 생활을 하였던 주민들이었다는 데에서 원인을 찾기도 한다. 부여의 건국 설화에서는 시조인 동명(東明)이 남쪽으로 피신하여 부여를 세웠다고 전하고 있는데, 부여의 중심지가 되는 길림 일대의 북쪽인 제 1송화강 유역 및 눈 강 일대는 비교적 추운 기후로 인해 농경에 적합하지 않았다. 그렇기에 이 지역의 거주민들은 본래 목축을 생업으로 하고 있었던 유목민이었다. 그리고 이들이 남쪽으로 내려가 길림 일대에 농경을 생업으로 삼고 있던 원주민들과 융합하면서 부여를 건국하고, 이로 인해 부여는 반농반목의 경제 환경을 갖추게 되었다는 것이다. 다만 이와 같은 설화는 3세기 시점의 부여와 상당한 시간적 격차가 있으며, 그 역사적 사실 여부도 불분명하기 때문에 향후 많은 검토가 필요한 부분이다.

한편 부여의 특산물로는 적옥(赤玉)과 아름다운 구슬, 담비와 원숭이가 있었다고 하는데, 이 중 담비로부터는 담비가죽(貂皮)을 생산할 수 있었다. 그런데 적옥과 담비는 같은 책에서 부여의 동쪽에 이웃한 읍루(挹婁)의 산물로 중복 기록되어 있다. 읍루는 특히 담비의 산지로 유명한 지역이었으며, 『삼국지』 동이전 읍루조에 따르면 중국에서 읍루산 담비에 ‘읍루초(挹婁貂)’라는 별명이 따로 붙었을 만큼 고가의 생산품이었다.

읍루인들은 오늘날의 흑룡강(아무르 강) 남쪽에서부터 러시아의 연해주 해안가에 이르는 지역에 거주한 주민들로, 이후 물길(勿吉), 말갈(靺鞨)인들의 선조로 여겨지고 있다. 그런데 『삼국지』 동이전에 따르면 3세기 이전까지 읍루는 부여에 복속되어 있었다고 한다. 곧 적옥과 담비는 부여가 읍루로부터 입수하여 중국에 유통하였기 때문에, 부여의 특산물로 기록되었던 것이다. 그런데 읍루가 부여에 복속되어 있었던 만큼 적옥과 담비는 대등한 교역이 아닌 세금의 명목으로 수취했을 것으로 추정된다. 즉 부여는 읍루로부터 담비나 그 가죽을 수입하고, 이를 중국에 가공하여 판매하는 소위 중계무역을 운영하면서 그 중간 이득을 취하고 있었던 셈이다.

이후 3세기 초반에 이르러 읍루인들이 부여의 무거운 세금으로 인해 반란을 일으켜 그 종속관계가 단절되었다. 부여로부터 이탈한 읍루인들은 이 지역에 영향력을 확장해 나가던 고구려의 세력권 아래에 들어가게 되었다. 그리고 이후의 중국 기록에서는 담비 가죽이 고구려의 특산물로 기록되면서, 읍루-부여로 이어졌던 담비가죽의 교역망이 3세기 이후 읍루-고구려라는 경로로 변천을 겪었음을 볼 수 있다.

이 글의 내용은 집필자의 개인적 견해이며, 국사편찬위원회의 공식적 견해와 다를 수 있습니다.

참고문헌

논문

이승호, 「1~3세기 중국 동북지역 정세 변화와 貂皮 교역」, 『동국사학」 67, 2019.
이정빈, 「5~6세기 고구려의 농목교역과 요서정책」, 『역사와 현실』 91, 2014.
이종록, 「3세기 읍루사회의 변화와 북옥저 약탈의 배경」, 『백산학보』 125, 2023.
이종수, 「고고자료를 통해 본 부여의 대외교류 관계 검토」, 『선사와 고대』 30, 2009.
이종수, 「무덤의 변화양상을 통해 본 부여사 전개 과정 고찰」, 『선사와 고대』 30, 2009.
조영광, 「夫餘, 高句麗 社會의 北方文化的 要素에 대하여」, 『동양학』 66, 2017.
천관우, 「三國志 韓傳의 再檢討」, 『진단학보』 41, 1976.

저서

이병도, 『韓國古代史硏究』, 박영사, 1976.
김창석, 『한국 고대 대외교역의 형성과 전개』, 서울대학교출판문화원, 2013.
송호정, 『처음 읽는 부여사』, 사계절, 2015.

편저

송호정, 「부여의 정치와 사회」, 『신편 한국사』 4, 국사편찬위원회, 1997.
송호정, 「고조선·부여·삼한」, 『한국고대사 연구의 새 동향』, 서경문화사, 2007.

관련사이트

[http://db.history.go.kr/id/jo_004r_0010_0020_0010] 『삼국지』권30, 「위서」30 오환선비동이전, 국사편찬위원회 한국사데이터베이스

[https://db.history.go.kr/id/jo_004r_0010_0020_0030] 『삼국지』권30, 「위서」30 오환선비동이전, 국사편찬위원회 한국사데이터베이스",,https://contents.history.go.kr/front/hm/view.do?levelId=hm_004_0010,사료로 본 한국사\items\hm_age_10_삼국 이전\hm_ty_020_경제\hm_004_0010_부여의 산업과 생산물.md
24,hm_age_10,삼국 이전,hm_ty_020,경제,hm_004_0020,삼한의 농경 생활,삼국 이전 > 경제 > 여러 나라의 경제 활동 > 삼한의 농경 생활,"마한(馬韓)은 서쪽에 위치해 있다. 그 백성은 정착 생활을 하였고, 곡식을 심었으며, 누에를 치고 뽕나무를 가꿀 줄 알았으며, 면포(綿布)를 생산하였다.

『삼국지』권30, 「위서」30 오환선비동이전

(변진(弁辰)은) 토지가 비옥하여 오곡(五穀)과 벼를 심기에 적합하였다. 누에를 치고 뽕나무를 잘 알아 비단과 베를 제작하였다. 소와 말을 탔다.

『삼국지』권30, 「위서」30 오환선비동이전","馬韓在西. 其民土著, 種植, 知蠶桑, 作綿布.

『三國志』卷30, 「魏書」30 烏丸鮮卑東夷傳

土地肥美, 宜種五穀及稻, 曉蠶桑, 作縑布. 乘駕牛馬.

『三國志』卷30, 「魏書」30 烏丸鮮卑東夷傳","이 사료는 『삼국지(三國志)』 동이전(東夷傳)의 일부로, 삼한(三韓)의 농경 생활에 관한 내용을 담고 있다.

이 사료에 따르면 마한(馬韓)은 토착(土着), 즉 정착 생활을 하였고, 농사를 지었으며, 면포(綿布)를 생산하였다. 그리고 변진(弁辰), 즉 변한(弁韓)에서는 보리·조·콩·기장·쌀·삼[麻] 등 오곡(五穀)을 비롯한 각종 곡물을 재배하였고, 특히 벼농사를 지었다고 한다. 이러한 사정은 변한과 서로 뒤섞여 살면서 의식주 문화가 같아 서로 구분이 어려웠던 진한도 마찬가지였을 것이다. 삼한의 벼농사는 대부분 논[水田]에서 이루어졌던 것으로 보인다. 다만 지역에 따라서 밭벼[陸稻]도 경작하였을 것이다.

이와 같이 삼한에서 농업이 이루어진 것은 청동기 시대 이후 농업이 이루어진 것은 청동기 시대 이후였다. 그리고 기원전 2세기부터 철기가 수용되며 농기구가 발전하였다. 이 지역에서는 기원전 2세기부터 점차 철기가 보급되어 다양한 종류의 농기구가 생산되었다. 기원전 1세기 무렵 외날 따비·판상 철부·사다리꼴 주조 괭이·단조 철부(갈이 농구)·낫 등이 출현하였고, 2세기 후반부터 U자형 따비, 쇠스랑과 같이 경지를 갈고 개간하는 농기구가 사용되었다. 이로써 삼한의 농업 생산력은 크게 증대될 수 있었다.

사료를 보면 삼한은 모두 누에를 치고 뽕나무를 가꿀 줄 알아 비단을 생산하였다고 한다. 비단은 고급 옷감으로 삼한의 지배층이 소비하였는데, 그중의 일부는 한(漢)나라의 군현(郡縣)을 비롯한 주변 지역과 교역하는 데 활용되었다고 추정된다.

이처럼 삼한은 농경을 기반으로 한 사회로, 철기의 보급과 함께 농업 생산력이 증대되고 있었다. 농업 생산력의 발전으로 삼한 사회에는 잉여 생산물이 축적되어 사회 분화가 촉진되었고, 이는 정치권력이 출현하는 데 큰 영향을 끼쳤다.

이 글의 내용은 집필자의 개인적 견해이며, 국사편찬위원회의 공식적 견해와 다를 수 있습니다.

참고문헌

논문

김도헌, 「고대의 목제 기경구 연구」, 『중앙고고연구』 21, 2016.

저서

이현혜, 『삼한사회형성과정연구』, 이현혜, 일조각, 1984.
이현혜, 『한국 고대의 생산과 교역』, 이현혜, 일조각, 1998.
이현혜, 『한국 고대사 인식과 생업경제』, 이현혜, 일조각, 2023.

편저

곽종철, 「우리나라의 선사~고대 논밭 유구」, 한국고고환경연구소 편, 『한국 농경문화의 형성』, 학연문화사, 2002.

김재홍, 「농경의 발전과 고대사회」, 『한국고대사 연구의 새 동향』, 서경문화사, 2007.

관련사이트

[http://db.history.go.kr/id/jo_004r_0010_0070_0020] 『삼국지』권30, 「위서」30 오환선비동이전, 국사편찬위원회 한국사데이터베이스

[https://db.history.go.kr/id/jo_004r_0010_0070_0130] 『삼국지』권30, 「위서」30 오환선비동이전, 국사편찬위원회 한국사데이터베이스

[http://contents.nahf.or.kr/id/NAHF.jd.k_0004_0030_0070_0020%20] 『삼국지』권30, 「위서」30 오환선비동이전, 동북아역사재단 동북아역사넷",,https://contents.history.go.kr/front/hm/view.do?levelId=hm_004_0020,사료로 본 한국사\items\hm_age_10_삼국 이전\hm_ty_020_경제\hm_004_0020_삼한의 농경 생활.md
25,hm_age_10,삼국 이전,hm_ty_020,경제,hm_005_0010,고조선의 대외 교역,삼국 이전 > 경제 > 여러 나라의 대외 교역 > 고조선의 대외 교역,"환공(桓公)이 관자(管子)에게 물었다. “내가 듣기로 나라 안에 7가지 옥(玉)과 비단(幣)이 있다고 하는데, 들어 볼 수 있겠는가?” 관자가 대답하였다. “음산(陰山)의 연민(礝䃉)이 하나요, 연(燕)나라 자산(紫山)의 백금(白金)이 하나요, 발조선(發朝鮮)의 문피(文皮)가 하나요, 여수(汝水)와 한수(漢水) 우구(右衢)에서 나는 황금(黃金)이 하나요, 강양(江陽)의 진주가 하나요, 진(秦)나라 명산(明山)의 증청(曾靑)이 하나요, 우씨(禺氏) 변산(邊山)의 옥(玉)이 하나입니다.”

『관자』권23, 규도편 78","桓公問管子曰. 吾聞海內玉幣有七筴, 可得而聞乎. 管子對曰. 陰山之礝䃉, 一筴也, 燕之紫山白金, 一筴也, 發朝鮮之文皮, 一筴也, 汝·漢水之右衢黃金, 一筴也, 江陽之珠, 一筴也, 秦明山之曾靑, 一筴也, 禺氏邊山之玉, 一筴也.

『管子』卷23, 揆度篇 78","이 사료는 『관자(管子)』의 일부로, 중국 춘추(春秋) 시대 제(齊)나라 환공(桓公, 재위 기원전 685~643)과 관중(管仲, ?~기원전 645)의 대화를 전하고 있다.『관자』는 춘추시대 제나라의 재상이었던 관중이 지었다고 전하지만, 실제로는 그보다 늦은 시기인 전국시대(戰國時代, 기원전 403~201) 이후에 편찬된 것으로 추정된다. 다만 그 내용은 후대에 창작이라기보다 당시 전승된 이야기와 기록을 바탕으로 정리한 것이므로 『관자』에 보이는 고조선 관련 내용 역시 일정 부분 당시의 사실을 반영한다고 볼 수 있다.

이 사료에서 관중은 나라 안의 옥폐(玉幣) 7가지를 말하고 있는데, ‘옥과 비단(옥폐)’은 고대 중국에서 중요한 의례에 사용된 예물을 의미한다. 음산(陰山)의 옥(玉)돌인 연민(礝䃉), 연(燕)나라 자산(紫山)에서 나는 백금(白金), 발조선(發朝鮮)의 무늬 있는 가죽인 문피(文皮), 여수(汝水)와 한수(漢水) 우구(右衢)에서 나는 황금(黃金), 강양(江陽)의 진주, 진(秦)나라 명산(明山)에서 나는 불로장생의 선약(仙藥)인 증청(曾靑), 우씨(禺氏) 변산(邊山)의 옥(玉)을 들고 있다. 이 가운데 특히 주목되는 점은 7가지 옥폐 중에 발조선의 문피가 있다는 것이다.

발조선은 대체로 고조선(古朝鮮)을 가리킨다고 해석되는데, 이때 고조선이 국가로서의 고조선을 가리키는 것인지, 아니면 단순히 고조선이 있던 지역을 의미하는 뜻으로 쓰인 것인지에 대해서는 이견이 있다. 그리고 ‘발’과 ‘조선’을 각각 별개의 집단으로 보는 견해도 있다. 이처럼 다양한 해석이 있지만, 위의 내용이 고조선 내지 고조선 지역의 특산물로 문피, 즉 호랑이나 표범의 가죽이 있었고, 그것이 중원 지역의 제나라에까지 알려진 중요한 교역품이었다는 점은 분명하다.

이러한 교역의 성격에 대해서는 여러 견해가 있는데, 전통적으로 고조선이 춘추 제나라에 바친 조공이라고 보는 견해가 있으며, 조공의 외피를 썼지만 실제로는 물품 교환의 교역으로 보는 견해, 중국의 문물을 받는 대가로 토산품을 넘겨주는 원거리교역으로 보는 견해가 있다.

고조선과 중원 지역과의 교역은 위만

(衛滿) 정권이 세워진 후 더욱 활발해졌다. 한(漢)나라는 고조선(위만

조선)을 외신(外臣)으로 삼고 동북아시아 지역의 여러 나라와 교역하는 권리를 인정해 주었다. 이로써 고조선은 동북아시아 여러 나라와 한나라 사이에서 중계 교역을 하여 큰 이득을 얻었다. 고조선과 한나라의 교역에서 손칼 모양의 청동 화폐인 명도전(明刀錢)이 중요한 교환 수단으로 활용했다고 알려져있지만 명확한 것은 아니다. 다만 명도전은 전국시대 화폐로 북경과 하북성을 중심으로 출토되며, 내몽고 동남부를 비롯해 요하 서쪽의 대릉하, 요동반도, 한반도 서북지역 등의 교통의 요지에서 출토된다. 명도전은 광범위하게 유통되다가 진나라의 화폐개혁 이후 공식적으로 사용되지 않음에도, 요동과 한반도 서북부에서 반량전·오수전 등과 함께 명도전이 출토되고 있다. 이는 명도전이 화폐개혁 이후에도 일정 기간 다른 화폐들과 함께 한반도 일대에서 유통된 것으로 보인다.

이는 고조선과 중원 지역과의 교류에 명도전이 사용되었음을 말해 준다. 최근 연구에서는 중국 동북지역과 한반도 북부에서 출토되는 전국시대 및 한대 화폐를 경제활동의 산물로 보고 고조선의 교역을 ‘완충교역모델(Buffer Zone Trade)’로 정의하기도 했다. 완충교역은 한이 고조선을 외신으로 삼아 오랑캐를 관리하여 충돌을 완화시키고, 고조선은 한에게 공급받은 물품으로 한반도 중부 이남의 정치체와 선별적으로 거래했다는 것이다.

한편 1990년대 후반 발견된 중국 지린성(吉林省) 통화시(通化市) 만발발자 유적에서는 신석기시대에서 고구려시기에 이르는 퇴적층이 확인되었다. 이 유적이 주목되는 이유는 기원전 4~3세기를 기점으로 한 다수의 동물뼈, 특히 붉은 여우, 담비, 족제비, 오소리, 호랑이 등 모피동물의 뼈가 출토되었기 때문이다. 이와 함께 모피 가공 도구로 보이는 돌칼도 함께 출토되었다. 만발발자 유적은 백두산 일대 모피 산지에 근접하며 이 지역 사람들은 농업대신 모피동물을 사냥하고 취합하는 모피 가공집단이었을 것으로 추정된다. 이렇게 생산된 모피는 척산이라는 중계무역항을 통해 중국으로 들어갔을 것으로 추정되는데, 그 위치에 대해서는 산동반도의 래이(萊夷 혹은 래국(萊國))로 보는 견해 혹은 요동반도 산간의 어느 지점이라고 보는 견해가 있다. 어느 쪽이든 고조선은 모피와 같은 특산품을 기반으로 중원과의 교역망에 적극적으로 참여하며, 동북아시아 국제질서 속에서 중요한 매개 역할을 담당했던 것이다.

이 글의 내용은 집필자의 개인적 견해이며, 국사편찬위원회의 공식적 견해와 다를 수 있습니다.

참고문헌

논문

Park Sunmi. “Buffer Zone Trade in Northeast Asia in the Second Century BC”, Asian Perspectives 51-2, 2012.
강인욱, 「古朝鮮의 毛皮貿易과 明刀錢」, 『한국고대사연구』 64, 2011.
강인욱, 「만발발자 유적으로 본 후기 고조선의 교역 네트워크와 고구려의 발흥」, 『동북아역사논총』 71, 2021.
박대재, 「古朝鮮과 齊의 해상교류와 遼東」, 『한국사학보』 57, 2014.
박준형, 「고조선-삼국시기 교역사 연구의 검토」, 『한국고대사연구』 73, 2014.
박준형, 「산동지역과 요동지역의 문화교류-산동지역에서 새로 발견된 선형동부를 중심으로」, 『한국상고사학보』 79, 2013.
송호정, 「고조선과 燕·秦·漢의 외교 관계」『사학연구』137, 2020.
최몽룡, 「古代國家成長과 貿易-衛滿朝鮮의 例」, 『韓國古代의 國家와 社會』, 일조각, 1985.

저서

박대재, 『고대한국 초기국가의 왕과 전쟁』, 경인문화사, 2006.
박선미, 『고조선과 동북아의 고대 화폐』, 학연문화사, 2009.
李鍾旭, 『古朝鮮史硏究』, 一潮閣, 1993.
김창석, 『한국 고대 대외교역의 형성과 전개』, 서울대학교출판문화원, 2013.

편저

송호정, 「고조선·부여·삼한」, 『한국고대사 연구의 새 동향』, 서경문화사, 2007.

송호정, 「고조선의 문화와 사회 경제」, 『신편 한국사』 4, 국사편찬위원회, 1997.

관련사이트

[http://db.history.go.kr/id/ko_001r_0090_0010] 『관자』권23, 규도편 78, 국사편찬위원회 한국사데이터베이스",,https://contents.history.go.kr/front/hm/view.do?levelId=hm_005_0010,사료로 본 한국사\items\hm_age_10_삼국 이전\hm_ty_020_경제\hm_005_0010_고조선의 대외 교역.md
26,hm_age_10,삼국 이전,hm_ty_020,경제,hm_005_0020,동예의 특산물 교역,삼국 이전 > 경제 > 여러 나라의 대외 교역 > 동예의 특산물 교역,"낙랑

단궁(樂浪檀弓)이 그 지역에서 생산된다. 그 나라의 바다에서는 반어의 가죽(班魚皮)이 산출되며, 땅은 기름지고 무늬 있는 표범(文豹)이 많다. 또한 과하마(果下馬)가 나는데, (후)한(後漢)의 환제(桓帝) 때 헌상(獻上)하였다.

『삼국지』권30, 「위서」30 오환선비동이전","樂浪檀弓出其地. 其海出班魚皮, 土地饒文豹. 又出果下馬, 漢桓時獻之.

『三國志』卷30, 「魏書」30 烏丸鮮卑東夷傳","이 사료는 『삼국지(三國志)』 동이전(東夷傳)의 일부로, 동예(東濊)의 특산물과 한(漢)나라와의 조공 교역에 대한 내용을 전하고 있다.

이 사료에 보이는 것처럼 동예 지역의 특산물로는 낙랑

(樂浪)의 단궁(檀弓), 반어의 껍질, 표범 가죽, 과하마(果下馬)가 있었다. 이 중에서 단궁은 박달나무로 만든 활을 의미하는데, 목궁(木弓)의 일종이었다. 반어는 바다표범[海豹]의 일종으로, 얼룩무늬[班紋]가 있어 그와 같이 불렸다. 표범 역시 가죽에 얼룩무늬가 있었는데, 이렇게 무늬 있는 바다표범과 표범의 가죽은 지배층의 옷을 만드는 데 중요한 옷감이 되었다. 마지막으로 과하마는 조랑말의 한 종류로, 키가 작아 말을 타고서도 능히 과실나무 밑을 지나갈 수 있다는 데서 그 명칭이 유래하였다.

이러한 동예의 특산물은 대부분 중국에서 그 가치가 높아 조공 품목이 되었다. 동예의 단궁이 낙랑

으로 전해져 ‘낙랑

단궁’으로 이름이 알려진 사실과 과하마가 한나라 환제 시대에 헌상(獻上)되었다고 한 사실이 이를 잘 보여 준다.

물론 동예가 단궁이나 과하마 등을 일방적으로 중국에 바치지는 않았을 것이다. 동예는 이러한 조공품을 공급하는 대신, 중국으로부터 필요한 여러 가지 물품을 제공받았던 것으로 보인다. 또한 동예는 중국 외에도 주변의 여러 나라와 교역하였다. 예컨대 동예는 변진(弁辰)으로부터 철을 얻었다고 하는데, 그 대가로 위와 같은 특산물을 지급하였을 가능성이 높다.

이 글의 내용은 집필자의 개인적 견해이며, 국사편찬위원회의 공식적 견해와 다를 수 있습니다.

참고문헌

논문

尹龍九, 「三韓의 朝貢貿易에 대한 一考察 -漢代 樂浪郡의 교역형태와 관련하여-」, 『역사학보』 162, 1999.
정운용, 「三國時代의 果下 馬와 耽羅」, 『한국학연구』 78, 2021.
최슬기, 「衛滿朝鮮과 匈奴의 ‘穢裘’ 交易」, 『先史와 古代』 52, 2017.

편저

송호정, 「고조선·부여·삼한」, 『한국고대사 연구의 새 동향』, 서경문화사, 2007.
이현혜, 「동예의 사회와 문화」, 『한국사』 4, 국사편찬위원회, 1997.

관련사이트

[http://db.history.go.kr/id/jo_004_0010_0060_0040] 『삼국지』권30, 「위서」30 오환선비동이전, 국사편찬위원회 한국사데이터베이스",,https://contents.history.go.kr/front/hm/view.do?levelId=hm_005_0020,사료로 본 한국사\items\hm_age_10_삼국 이전\hm_ty_020_경제\hm_005_0020_동예의 특산물 교역.md
27,hm_age_10,삼국 이전,hm_ty_020,경제,hm_005_0030,변한의 철 교역,삼국 이전 > 경제 > 여러 나라의 대외 교역 > 변한의 철 교역,"나라에서는 철(鐵)이 생산되어, 한(韓)·예(濊)·왜(倭)가 모두 얻었다. 여러 매매에서 [물건을] 살 때 모두 철을 이용하였다. 마치 중국에서 돈[錢]을 쓰는 것과 같았다. 또한 [철을] 두 군(郡 : 낙랑군

과 대방군)에 공급하였다.

『삼국지』권30, 「위서」30 오환선비동이전","國出鐵, 韓·濊·倭皆從取之. 諸市買皆用鐵. 如中國用錢, 又以供給二郡.

『三國志』卷30, 「魏書」30 烏丸鮮卑東夷傳","이 사료는 『삼국지(三國志)』동이전(東夷傳)의 일부로, 삼한(三韓) 가운데 변진(弁辰) 즉 변한(弁韓)의 철(鐵) 생산과 교역에 관한 사실을 전하고 있다.

변진의 철 생산과 관련해서는 구야국(狗倻國)이 주목된다. 구야국은 지금의 경상남도 김해시 지역에 위치하였는데, 그 주변 해안 지역의 여러 패총(貝塚)과 고분에서 다량의 덩이쇠, 즉 철정과 각종 철 제품이 출토되었다. 또한 김해시와 그 주변에는 땅을 깊이 파지 않아도 철광석을 손쉽게 채굴할 수 있는 노천 광산과 같은 철광(鐵鑛)이 다수 분포하고 있다. 이로 보아 구야국은 변진의 중요한 철 생산지 중 하나였다고 할 수 있다.

이 사료에서 변한은 한(韓)·예(濊)·왜(倭)만이 아니라 한(漢)나라의 두 군(郡), 즉 낙랑군

(樂浪郡)과 대방군

(帶方郡)에도 철을 공급했다고 한다. 변한은 그 대가로 귀한 중국계 물품을 얻은 것으로 보인다. 김해시와 그 주변의 구야국 유적에서 중국계 물품이 적지 않게 출토되는 점은 이러한 추정을 뒷받침한다. 더욱이 변한의 철은 중국의 돈과 같이 쓰였다고 했는데, 이 역시 철이 교역에서 활용된 사실을 잘 보여 준다.

이상과 같이 변한은 철을 생산하였을 뿐만 아니라 이를 가지고 주변 지역과 교역하였다. 변한은 풍부한 철을 이용해 주변의 여러 나라와 교역하여 큰 이득을 얻었고, 이러한 경제력은 정치권력 및 국가의 성장에 큰 영향을 끼쳤다.

이 글의 내용은 집필자의 개인적 견해이며, 국사편찬위원회의 공식적 견해와 다를 수 있습니다.

참고문헌

논문

김창석, 「고대 교역장의 중립성과 연맹의 성립-3~4세기 가야연맹체를 중심으로-」, 『역사학보』 216, 2012.
박선미, 「한반도 출토 덩이쇠[板狀鐵斧·鐵鋌]의 성격과 의미」, 『白山學報』 89, 2011.

저서

이현혜, 『한국 고대의 생산과 교역』, 일조각, 1998.

편저

김양훈, 「문헌으로 본 가야의 철생산과 유통」, 『가야의 철 생산과 유통』, 주류성, 2020.
東湖, 「弁辰과 加耶의 鐵」, 『加耶諸國의 鐵』, 신서원, 1995.
이현혜, 「삼한의 정치와 사회」, 『한국사』 4, 국사편찬위원회, 1997.
윤용구, 「삼한·삼국의 교역」, 『한국고대사 연구의 새 동향』, 서경문화사, 2007.

관련사이트

[http://db.history.go.kr/id/jo_004_0010_0070_0130] 『삼국지』권30, 「위서」30 오환선비동이전, 국사편찬위원회 한국사데이터베이스",,https://contents.history.go.kr/front/hm/view.do?levelId=hm_005_0030,사료로 본 한국사\items\hm_age_10_삼국 이전\hm_ty_020_경제\hm_005_0030_변한의 철 교역.md
