version,change,test_count,error_count,threshold,accuracy,abnormal_precision,abnormal_recall,abnormal_f1,note
v3,"초기 선지 단위 실험, 테스트 오류 데이터가 거의 없어 평가 실패",2530,1,0.5,0.999605,0.0,0.0,0.0,model_only
v4,이진 분류 기준으로 첫 의미 있는 평가 구성,2250,260,0.05,0.864444,0.444717,0.696154,0.542729,model_only
v5,threshold 조정 및 선지 폐기 방향 반영,2250,260,0.1,0.885778,0.504532,0.642308,0.565144,model_only
v7,선지 단위 라벨 구조 정리,1995,100,0.4,0.982456,0.857143,0.78,0.816754,model_only
v8,"문항 context 추가, 모델/규칙/최종 판정 분리",2065,117,0.2,0.986925,0.846154,0.940171,0.890688,model_only
v8_final,"문항 context 추가, 모델/규칙/최종 판정 분리 + 규칙 기반 최종 판정",2065,117,0.2,0.948668,0.526316,0.940171,0.674847,model_plus_rules
v9,"결과 해석 컬럼 개선, threshold 분석",2065,117,0.05,0.987409,0.869919,0.91453,0.891667,model_only
v9_final,"결과 해석 컬럼 개선, threshold 분석 + 규칙 기반 최종 판정",2065,117,0.05,0.949637,0.53202,0.923077,0.675,model_plus_rules
v11,정답 길이 편향 기준 개선,2065,117,0.1,0.986441,0.856,0.91453,0.884298,model_only
v11_final,정답 길이 편향 기준 개선 + 규칙 기반 최종 판정,2065,117,0.1,0.981598,0.788321,0.923077,0.850394,model_plus_rules
v12,threshold를 0.1로 고정,2065,117,0.1,0.987409,0.888889,0.888889,0.888889,model_only
v12_final,threshold를 0.1로 고정 + 규칙 기반 최종 판정,2065,117,0.1,0.982567,0.813953,0.897436,0.853659,model_plus_rules
v13,WEIRD_CHOICE 패턴 분석 후 오류 코드 보완,2065,117,0.1,0.987409,0.858268,0.931624,0.893443,model_only
v13_final,WEIRD_CHOICE 패턴 분석 후 오류 코드 보완 + 규칙 기반 최종 판정,2065,117,0.1,0.948184,0.523585,0.948718,0.674772,model_plus_rules
v14,QUESTION_CHOICE_MISMATCH를 참고 코드로 조정,2065,117,0.1,0.988378,0.890756,0.905983,0.898305,model_only
v14_final,QUESTION_CHOICE_MISMATCH를 참고 코드로 조정 + 규칙 기반 최종 판정,2065,117,0.1,0.985956,0.838462,0.931624,0.882591,model_plus_rules
v15,"ㄱ, ㄴ 조합형과 (가)-(나)-(다) 순서형 선지 제외",1900,104,0.1,0.983684,0.847619,0.855769,0.851675,model_only
v15_final,"ㄱ, ㄴ 조합형과 (가)-(나)-(다) 순서형 선지 제외 + 규칙 기반 최종 판정",1900,104,0.1,0.985263,0.827586,0.923077,0.872727,model_plus_rules
