source_url_id,url,source_tables,source_columns,source_types,source_count,use_for_rag,fetch_status,note
URL_000001,http://db.itkc.or.kr/dir/item?grpId=hj,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,78257,Y,PENDING,
URL_000002,http://db.itkc.or.kr/dir/item?itemId=BT,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,11260,Y,PENDING,
URL_000003,http://index.itkc.or.kr/item?gubun=person,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,37,Y,PENDING,
URL_000004,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COa_0964_000006,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,8,Y,PENDING,
URL_000005,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COa_0991_000025,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,7,Y,PENDING,
URL_000006,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COa_1035_000083,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,2,Y,PENDING,
URL_000007,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COa_1051_000102,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,8,Y,PENDING,
URL_000008,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COa_1051_000103,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,5,Y,PENDING,
URL_000009,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COa_1051_000105,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,12,Y,PENDING,
URL_000010,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COa_1074_000125,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,8,Y,PENDING,
URL_000011,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1086_000167,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,8,Y,PENDING,
URL_000012,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1106_000214,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,2,Y,PENDING,
URL_000013,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1112_000231,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,2,Y,PENDING,
URL_000014,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1114_000237,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,2,Y,PENDING,
URL_000015,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1120_000246,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,2,Y,PENDING,
URL_000016,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1124_000269,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,5,Y,PENDING,
URL_000017,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1128_000276,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,9,Y,PENDING,
URL_000018,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1138_000286,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,8,Y,PENDING,
URL_000019,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1144_000296,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,6,Y,PENDING,
URL_000020,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1144_000298,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,4,Y,PENDING,
URL_000021,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1147_000341,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,2,Y,PENDING,
URL_000022,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1158_000353,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,2,Y,PENDING,
URL_000023,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1160_000355,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,11,Y,PENDING,
URL_000024,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1160_000356,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,15,Y,PENDING,
URL_000025,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1160_000358,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,4,Y,PENDING,
URL_000026,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1173_000396,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,9,Y,PENDING,
URL_000027,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1176_000401,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,11,Y,PENDING,
URL_000028,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COb_1182_000410,person_relations,evidence_url,PERSON_RELATION_EVIDENCE,2,Y,PENDING,
