event_category_id,event_category_name,event_count,source,review_status
EVENT_CAT_00001,거란,2,itkc_events.subject_category,PENDING
EVENT_CAT_00002,건축,7,itkc_events.subject_category,PENDING
EVENT_CAT_00003,고변/탄핵,14,itkc_events.subject_category,PENDING
EVENT_CAT_00004,공신/훈신,8,itkc_events.subject_category,PENDING
EVENT_CAT_00005,공신/훈신) 정쟁(정변,1,itkc_events.subject_category,PENDING
EVENT_CAT_00006,과거,8,itkc_events.subject_category,PENDING
EVENT_CAT_00007,교육,4,itkc_events.subject_category,PENDING
EVENT_CAT_00008,국왕,81,itkc_events.subject_category,PENDING
EVENT_CAT_00009,기관,16,itkc_events.subject_category,PENDING
EVENT_CAT_00010,난신,1,itkc_events.subject_category,PENDING
EVENT_CAT_00011,노비,5,itkc_events.subject_category,PENDING
EVENT_CAT_00012,능묘,5,itkc_events.subject_category,PENDING
EVENT_CAT_00013,명,8,itkc_events.subject_category,PENDING
EVENT_CAT_00014,명신,11,itkc_events.subject_category,PENDING
EVENT_CAT_00015,몽고,6,itkc_events.subject_category,PENDING
EVENT_CAT_00016,묘정배향,3,itkc_events.subject_category,PENDING
EVENT_CAT_00017,문형,12,itkc_events.subject_category,PENDING
EVENT_CAT_00018,민란,12,itkc_events.subject_category,PENDING
EVENT_CAT_00019,민심,3,itkc_events.subject_category,PENDING
EVENT_CAT_00020,반란,33,itkc_events.subject_category,PENDING
EVENT_CAT_00021,방비,5,itkc_events.subject_category,PENDING
EVENT_CAT_00022,붕당,23,itkc_events.subject_category,PENDING
EVENT_CAT_00023,비빈,19,itkc_events.subject_category,PENDING
EVENT_CAT_00024,사가독서,2,itkc_events.subject_category,PENDING
EVENT_CAT_00025,사화,19,itkc_events.subject_category,PENDING
EVENT_CAT_00026,상신,18,itkc_events.subject_category,PENDING
EVENT_CAT_00027,세자,11,itkc_events.subject_category,PENDING
EVENT_CAT_00028,예송,7,itkc_events.subject_category,PENDING
EVENT_CAT_00029,옥사,42,itkc_events.subject_category,PENDING
EVENT_CAT_00030,왜(변)란,37,itkc_events.subject_category,PENDING
EVENT_CAT_00031,원,8,itkc_events.subject_category,PENDING
EVENT_CAT_00032,유배,17,itkc_events.subject_category,PENDING
EVENT_CAT_00033,유일,2,itkc_events.subject_category,PENDING
EVENT_CAT_00034,유종,1,itkc_events.subject_category,PENDING
EVENT_CAT_00035,유현,2,itkc_events.subject_category,PENDING
EVENT_CAT_00036,인물기타,27,itkc_events.subject_category,PENDING
EVENT_CAT_00037,일본,2,itkc_events.subject_category,PENDING
EVENT_CAT_00038,전쟁,38,itkc_events.subject_category,PENDING
EVENT_CAT_00039,절신,3,itkc_events.subject_category,PENDING
EVENT_CAT_00040,정벌,17,itkc_events.subject_category,PENDING
EVENT_CAT_00041,정변,31,itkc_events.subject_category,PENDING
EVENT_CAT_00042,정치인,35,itkc_events.subject_category,PENDING
EVENT_CAT_00043,정치일반,50,itkc_events.subject_category,PENDING
EVENT_CAT_00044,제도개혁,5,itkc_events.subject_category,PENDING
EVENT_CAT_00045,조세,3,itkc_events.subject_category,PENDING
EVENT_CAT_00046,종교,4,itkc_events.subject_category,PENDING
EVENT_CAT_00047,종실,5,itkc_events.subject_category,PENDING
EVENT_CAT_00048,처결,11,itkc_events.subject_category,PENDING
EVENT_CAT_00049,천도,5,itkc_events.subject_category,PENDING
EVENT_CAT_00050,청,4,itkc_events.subject_category,PENDING
EVENT_CAT_00051,출판,7,itkc_events.subject_category,PENDING
EVENT_CAT_00052,풍속,1,itkc_events.subject_category,PENDING
EVENT_CAT_00053,호란,12,itkc_events.subject_category,PENDING
