category_id,category_name,category_path,parent_category_id,parent_category_path,depth,root_category_name,term_count,direct_term_count,source,review_status
CAT_00022,경제사건,경제·산업>경제사건,CAT_00001,경제·산업,2,경제·산업,13,13,history_terms.term_lk,PENDING
CAT_00023,경제사상·정책,경제·산업>경제사상·정책,CAT_00001,경제·산업,2,경제·산업,47,47,history_terms.term_lk,PENDING
CAT_00024,광공업,경제·산업>광공업,CAT_00001,경제·산업,2,경제·산업,157,8,history_terms.term_lk,PENDING
CAT_00025,농업,경제·산업>농업,CAT_00001,경제·산업,2,경제·산업,612,0,history_terms.term_lk,PENDING
CAT_00026,도량형,경제·산업>도량형,CAT_00001,경제·산업,2,경제·산업,69,69,history_terms.term_lk,PENDING
CAT_00027,무역·수출,경제·산업>무역·수출,CAT_00001,경제·산업,2,경제·산업,33,33,history_terms.term_lk,PENDING
CAT_00028,상업·유통·서비스업,경제·산업>상업·유통·서비스업,CAT_00001,경제·산업,2,경제·산업,630,0,history_terms.term_lk,PENDING
CAT_00029,소비,경제·산업>소비,CAT_00001,경제·산업,2,경제·산업,2,2,history_terms.term_lk,PENDING
CAT_00030,수공업,경제·산업>수공업,CAT_00001,경제·산업,2,경제·산업,233,233,history_terms.term_lk,PENDING
CAT_00031,수산업,경제·산업>수산업,CAT_00001,경제·산업,2,경제·산업,58,0,history_terms.term_lk,PENDING
CAT_00032,임업,경제·산업>임업,CAT_00001,경제·산업,2,경제·산업,24,24,history_terms.term_lk,PENDING
CAT_00033,축산업,경제·산업>축산업,CAT_00001,경제·산업,2,경제·산업,17,17,history_terms.term_lk,PENDING
CAT_00034,교과과정,교육>교과과정,CAT_00002,교육,2,교육,13,13,history_terms.term_lk,PENDING
CAT_00035,교육기구·단체,교육>교육기구·단체,CAT_00002,교육,2,교육,44,44,history_terms.term_lk,PENDING
CAT_00036,교육사상·정책,교육>교육사상·정책,CAT_00002,교육,2,교육,44,44,history_terms.term_lk,PENDING
