event_category_id,event_category_name,mapped_category_id,mapped_category_path,mapping_type,confidence,review_status,note
EVENT_CAT_00001,거란,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00002,건축,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00003,고변/탄핵,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00004,공신/훈신,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00005,공신/훈신) 정쟁(정변,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00006,과거,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00007,교육,CAT_00002,교육,EXACT_NAME,HIGH,PENDING,event category name equals category_name
EVENT_CAT_00008,국왕,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00009,기관,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00010,난신,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00011,노비,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00012,능묘,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00013,명,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00014,명신,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00015,몽고,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00016,묘정배향,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00017,문형,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00018,민란,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00019,민심,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00020,반란,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00021,방비,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00022,붕당,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00023,비빈,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00024,사가독서,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00025,사화,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00026,상신,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00027,세자,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00028,예송,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00029,옥사,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00030,왜(변)란,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00031,원,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00032,유배,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00033,유일,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00034,유종,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00035,유현,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00036,인물기타,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00037,일본,CAT_00107,외교·국제관계>일본,EXACT_NAME,HIGH,PENDING,event category name equals category_name
EVENT_CAT_00038,전쟁,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00039,절신,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00040,정벌,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00041,정변,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00042,정치인,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00043,정치일반,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00044,제도개혁,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00045,조세,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00046,종교,CAT_00248,서명>유형별>종교,EXACT_NAME,HIGH,PENDING,event category name equals category_name
EVENT_CAT_00047,종실,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00048,처결,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00049,천도,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00050,청,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00051,출판,,,UNMAPPED,LOW,PENDING,manual mapping required
EVENT_CAT_00052,풍속,CAT_00219,사회·생활>풍속·의례>풍속,EXACT_NAME,HIGH,PENDING,event category name equals category_name
EVENT_CAT_00053,호란,,,UNMAPPED,LOW,PENDING,manual mapping required
