rank,term_id,topic,source_era,pdf_hit_total,pdf_source_count,pdf_score,hits_에듀윌_한국사능력검정시험_빈출개념요약집_저작권_에듀윌_,hits_벼락치기_한능검_2026_심화_필수개념_노트,hits_한능검_심화1급_정리최종,hits_최태성_별별한국사_필기_공유용,topic_type,neo4j_entity_types,neo4j_themes,neo4j_eras
1,tg_001_0080,국사,삼국 시대,39,4,119,8,21,2,8,문헌,,,통시대|삼국시대|고려시대-조선시대
2,tg_003_0140,노비,조선 시대,34,4,114,16,2,6,10,기타,,,통시대
3,tg_003_1820,사상,조선 시대,27,4,107,12,3,2,10,문헌,,,일제시기|통시대|조선시대|남북국시대
4,tg_003_0080,여진,조선 시대,27,4,107,17,2,2,6,기타,,,고려시대-조선시대
5,tg_003_1880,서원,조선 시대,26,4,106,10,4,1,11,기타,,,조선시대
6,tg_003_1400,의병,조선 시대,21,4,101,7,1,3,10,기타,,,통시대
7,tg_002_1100,서경,고려 시대,19,4,99,7,1,3,8,장소,,,고려시대|고려시대-조선시대|고대
8,tg_001_0320,진흥왕,삼국 시대,17,4,97,4,3,3,7,인물,,,삼국시대
9,tg_002_0370,삼별초,고려 시대,14,4,94,8,2,2,2,기타,,,고려시대
10,tg_003_0290,상민,조선 시대,14,4,94,6,2,2,4,기타,,,조선시대
11,tg_003_1290,역법,고려 시대,13,4,93,6,2,1,4,기타,,,통시대
12,tg_003_0490,의정부,조선 시대,12,4,92,2,1,2,7,기타,,,조선시대|개항기|대한제국기
13,tg_003_1690,유상,조선 시대,11,4,91,2,2,3,4,인물,,,조선후기
14,tg_003_0420,양반,조선 시대,31,3,91,18,1,0,12,기타,,,고려시대-조선시대
15,tg_004_2080,독립신문,근대,10,4,90,4,1,3,2,기타,,,근대|일제시기
16,tg_003_1060,반정,조선 시대,10,4,90,2,1,2,5,사건,,,고려시대-조선시대|조선시대
17,tg_003_0270,사직,조선 시대,10,4,90,5,1,1,3,기타,,,삼국시대-조선시대|남북국시대|조선시대|조선전기|고려시대
18,tg_003_1340,왜구,조선 시대,10,4,90,7,1,1,1,기타,,,통시대
19,tg_003_1600,공인,조선 시대,9,4,89,3,2,2,2,단체,,,조선후기|조선시대
20,tg_003_1700,대동법,조선 시대,9,4,89,2,2,1,4,제도,,,조선후기
21,tg_003_0330,서얼,조선 시대,9,4,89,4,1,2,2,기타,,,통시대
22,tg_001_0070,율령,삼국 시대,9,4,89,3,2,1,3,기타,,,
23,tg_002_0060,팔만대장경,고려 시대,9,4,89,4,1,1,3,문화재,,,조선후기|고려후기
24,tg_001_0630,녹읍,삼국 시대,8,4,88,2,1,2,3,제도,,,삼국시대-고려시대
25,tg_001_0100,서기,삼국 시대,8,4,88,2,1,1,4,인물,,,조선전기|삼국시대
26,tg_004_1160,통감,근대,8,4,88,2,1,2,3,기타,,,대한제국기
27,tg_003_2980,환국,조선 시대,8,4,88,1,1,5,1,사건,,,통시대
28,tg_003_0100,과전법,조선 시대,7,4,87,1,1,1,4,제도,,,고려후기-조선전기
29,tg_001_0580,관료전,통일 신라와 발해,7,4,87,2,1,1,3,제도,,,남북국시대
30,tg_003_0990,동국여지승람,조선 시대,7,4,87,3,1,1,2,문헌,,,조선전기
31,tg_001_0960,화랑도,삼국 시대,7,4,87,2,1,1,3,단체,,,고대|일제시기
32,tg_001_0260,황룡사,삼국 시대,7,4,87,1,1,1,4,기타,,,
33,tg_003_1630,균역법,조선 시대,6,4,86,1,2,1,2,기타,,,조선후기
34,tg_003_0230,백정,조선 시대,6,4,86,1,1,1,3,기타,,,조선시대
35,tg_003_1800,보부상,조선 시대,6,4,86,1,1,1,3,단체,,,삼국시대-조선시대
36,tg_003_1930,속대전,조선 시대,6,4,86,1,1,3,1,문헌,,,조선후기
37,tg_003_2800,장용영,조선 시대,6,4,86,2,1,2,1,기타,,,조선후기
38,tg_001_0570,골품제,삼국 시대,5,4,85,2,1,1,1,기타,,,
39,tg_004_1860,매일신보,근대,5,4,85,1,1,1,2,기타,,,일제시기
40,tg_002_1090,벽란도,고려 시대,5,4,85,2,1,1,1,장소,,,고려시대
41,tg_002_0360,별무반,고려 시대,5,4,85,1,2,1,1,기타,,,고려시대
42,tg_002_0090,삼국유사,고려 시대,5,4,85,2,1,1,1,문헌,,,고려후기
43,tg_001_0720,상대등,삼국 시대,5,4,85,1,1,1,2,기타,,,고대
44,tg_002_0350,노비안검법,고려 시대,4,4,84,1,1,1,1,기타,,,고려전기
45,tg_003_2410,대전통편,조선 시대,4,4,84,1,1,1,1,문헌,,,조선후기
46,tg_001_0670,독서삼품과,통일 신라와 발해,4,4,84,1,1,1,1,기타,,,남북국시대
47,tg_003_1020,묘호,고려 시대,4,4,84,1,1,1,1,기타,,,통시대
48,tg_001_0020,민며느리제,삼국 이전,4,4,84,1,1,1,1,기타,,,통시대
49,tg_002_0660,사심관,고려 시대,4,4,84,1,1,1,1,기타,,,고려시대
50,tg_002_0080,삼국사기,고려 시대,4,4,84,1,1,1,1,문헌,,,고려전기
51,tg_003_2580,삼전도,조선 시대,4,4,84,1,1,1,1,장소,,,조선시대
52,tg_001_0040,서옥제,삼국 이전,4,4,84,1,1,1,1,기타,,,삼국시대
53,tg_004_0620,영선사,근대,4,4,84,1,1,1,1,기타,,,근대
54,tg_004_0880,정미의병,근대,4,4,84,1,1,1,1,기타,,,근대
55,tg_001_0930,책화,삼국 이전,4,4,84,1,1,1,1,제도,,,고대
56,tg_001_0950,태학,삼국 시대,4,4,84,1,1,1,1,기타,,,삼국시대|고려시대
57,tg_003_0020,6조,조선 시대,15,3,75,6,0,4,5,기타,,,고려후기|삼국시대|고려시대-조선시대
58,tg_002_0950,향리,고려 시대,12,3,72,3,0,4,5,기타,,,조선시대|고려시대
59,tg_003_1210,성리학,고려 시대,11,3,71,3,1,0,7,사상·종교,,,통시대
60,tg_002_1070,개경,고려 시대,10,3,70,5,1,0,4,장소,,,고려후기|고려시대
61,tg_001_0830,정전,통일 신라와 발해,10,3,70,2,1,0,7,제도,,,조선시대|남북국시대|통시대
62,tg_003_0700,향약,조선 시대,10,3,70,0,2,1,7,단체,,,통시대|조선시대
63,tg_001_0440,5부,삼국 시대,9,3,69,3,0,2,4,기타,,,조선시대|삼국시대|고려시대
64,tg_002_0860,전시과,고려 시대,9,3,69,0,2,1,6,기타,,,
65,tg_003_0780,4군,조선 시대,8,3,68,5,0,1,2,기타,,,조선전기
66,tg_003_2320,규장각,조선 시대,8,3,68,4,2,0,2,기타,,,근대
67,tg_003_1110,비변사,조선 시대,8,3,68,0,1,1,6,기타,,,조선시대
68,tg_003_0610,중인,조선 시대,8,3,68,2,1,0,5,기타,,,고려시대-조선시대
69,tg_003_0340,서인,조선 시대,7,3,67,1,0,1,5,단체,,,조선시대
70,tg_004_0720,을미개혁,근대,7,3,67,1,0,1,5,사건,,,개항기
71,tg_004_2360,조광,근대,7,3,67,0,2,2,3,인물,,,고려전기|일제시기
72,tg_002_0900,중추원,고려 시대,7,3,67,0,1,2,4,기타,,,고려전기|일제시기|조선전기|근대
73,tg_003_1480,통신사,조선 시대,7,3,67,4,0,1,2,기타,,,근대-현대|근대
74,tg_001_0680,마립간,삼국 시대,6,3,66,1,0,4,1,기타,,,삼국시대
75,tg_003_1830,사창,조선 시대,6,3,66,0,3,1,2,기타,,,통시대|조선시대|고려전기|남북국시대|근대-현대
76,tg_002_0700,성균관,고려 시대,6,3,66,3,0,1,2,기타,,,조선시대|고려후기
77,tg_003_0380,수조권,조선 시대,6,3,66,2,0,1,3,제도,,,고려시대-조선시대
78,tg_003_0630,직전법,조선 시대,6,3,66,0,2,2,2,제도,,,조선전기
79,tg_002_0240,천리장성,고려 시대,6,3,66,2,0,1,3,기타,,,삼국시대|고려시대
80,tg_003_0760,3사,조선 시대,5,3,65,1,0,2,2,기타,,,조선시대|고려시대|통시대|고대
81,tg_001_0500,8조법,삼국 이전,5,3,65,3,0,1,1,기타,,,
82,tg_003_0820,간쟁,고려 시대,5,3,65,1,0,2,2,제도,,,고려시대-조선시대
83,tg_003_0090,공장,조선 시대,5,3,65,3,0,1,1,기타,,,삼국시대-조선시대
84,tg_004_0190,기기창,근대,5,3,65,2,0,2,1,기타,,,개항기
85,tg_004_0370,박문국,근대,5,3,65,1,0,2,2,기타,,,개항기
86,tg_003_2510,발해고,조선 시대,5,3,65,2,0,1,2,문헌,,,대한제국기|조선후기
