topic_type,material_type,major_type,minor_type,question_task,question_task_instruction,difficulty_label,training_count,sample_source_id
기타,자료 제시문,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",보통,158,advanced_48_02
인물,자료 제시문,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",보통,100,advanced_47_06
사건,자료 제시문,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",보통,89,advanced_47_10
기타,자료 제시문,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",쉬움,63,advanced_47_01
사건,자료 제시문,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",쉬움,44,advanced_48_38
제도,자료 제시문,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",보통,38,advanced_47_23
인물,자료 제시문,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",쉬움,35,advanced_47_09
기타,자료 제시문,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",어려움,35,advanced_52_26
인물,자료 제시문,역사 자료의 분석 및 해석,자료 기반 시대·대상 추론,standard_select,"material을 통해 대상·시대·사건을 추론하게 하는 발문을 만들고, answer_fact_basis에 근거한 사실을 정답 선지로 만든다.",어려움,30,advanced_48_22
사건,짧은 설명 자료,연대기의 파악,전후 시기 판단,period_between,"두 사건이나 자료 사이의 시기를 판단하게 하는 발문을 만들고, 그 사이에 해당하는 answer_fact_basis의 사실을 정답 선지로 만든다.",보통,22,advanced_47_07
