rank,term_id,topic,source_era,pdf_hit_total,pdf_source_count,pdf_score,hits_에듀윌_한국사능력검정시험_빈출개념요약집_저작권_에듀윌_,hits_벼락치기_한능검_2026_심화_필수개념_노트,hits_한능검_심화1급_정리최종,hits_최태성_별별한국사_필기_공유용,topic_type,neo4j_entity_types,neo4j_themes,neo4j_eras,keyword_source,normalized_era,source_field
1,tg_001_0080,국사,삼국 시대,39,4,119,8,21,2,8,문헌,,,통시대|삼국시대|고려시대-조선시대,pdf_textbook_term,삼국,
2,tg_003_0140,노비,조선 시대,34,4,114,16,2,6,10,기타,,,통시대,pdf_textbook_term,조선,
3,tg_003_1820,사상,조선 시대,27,4,107,12,3,2,10,문헌,,,일제시기|통시대|조선시대|남북국시대,pdf_textbook_term,조선,
4,tg_003_0080,여진,조선 시대,27,4,107,17,2,2,6,기타,,,고려시대-조선시대,pdf_textbook_term,조선,
5,tg_003_1880,서원,조선 시대,26,4,106,10,4,1,11,기타,,,조선시대,pdf_textbook_term,조선,
6,tg_003_1400,의병,조선 시대,21,4,101,7,1,3,10,기타,,,통시대,pdf_textbook_term,조선,
7,tg_002_1100,서경,고려 시대,19,4,99,7,1,3,8,장소,,,고려시대|고려시대-조선시대|고대,pdf_textbook_term,고려,
8,tg_001_0320,진흥왕,삼국 시대,17,4,97,4,3,3,7,인물,,,삼국시대,pdf_textbook_term,삼국,
9,tg_002_0370,삼별초,고려 시대,14,4,94,8,2,2,2,기타,,,고려시대,pdf_textbook_term,고려,
10,tg_003_0290,상민,조선 시대,14,4,94,6,2,2,4,기타,,,조선시대,pdf_textbook_term,조선,
11,tg_003_1290,역법,고려 시대,13,4,93,6,2,1,4,기타,,,통시대,pdf_textbook_term,고려,
12,tg_003_0490,의정부,조선 시대,12,4,92,2,1,2,7,기타,,,조선시대|개항기|대한제국기,pdf_textbook_term,조선,
13,tg_003_1690,유상,조선 시대,11,4,91,2,2,3,4,인물,,,조선후기,pdf_textbook_term,조선,
14,tg_003_0420,양반,조선 시대,31,3,91,18,1,0,12,기타,,,고려시대-조선시대,pdf_textbook_term,조선,
15,tg_004_2080,독립신문,근대,10,4,90,4,1,3,2,기타,,,근대|일제시기,pdf_textbook_term,개항기,
16,tg_003_1060,반정,조선 시대,10,4,90,2,1,2,5,사건,,,고려시대-조선시대|조선시대,pdf_textbook_term,조선,
17,tg_003_0270,사직,조선 시대,10,4,90,5,1,1,3,기타,,,삼국시대-조선시대|남북국시대|조선시대|조선전기|고려시대,pdf_textbook_term,조선,
18,tg_003_1340,왜구,조선 시대,10,4,90,7,1,1,1,기타,,,통시대,pdf_textbook_term,조선,
19,tg_003_1600,공인,조선 시대,9,4,89,3,2,2,2,단체,,,조선후기|조선시대,pdf_textbook_term,조선,
20,tg_003_1700,대동법,조선 시대,9,4,89,2,2,1,4,제도,,,조선후기,pdf_textbook_term,조선,
