reign_name,reign_type,dynasty,start_year,end_year,era_name,note
세종,KING,조선,1418,1450,조선,조선 왕대 파싱 초안
영조,KING,조선,1724,1776,조선,조선 왕대 파싱 초안
정조,KING,조선,1776,1800,조선,조선 왕대 파싱 초안
고종,KING,고려,1213,1259,고려,동명이왕이라 자동 파싱 제외
고종,KING,조선,1863,1907,개항기,동명이왕이라 자동 파싱 제외
건양,ERA_NAME,대한제국,1896,1897,개항기,고종 연호
광무,ERA_NAME,대한제국,1897,1907,개항기,고종 연호
융희,ERA_NAME,대한제국,1907,1910,개항기,순종 연호
