period_name,era_name,note
선사시대,선사시대,
구석기시대,선사시대,
신석기시대,선사시대,
청동기시대,선사시대,
초기철기시대,선사시대,
삼국시대,삼국시대,
남북국시대,남북국시대,
후삼국시대,남북국시대,
고려,고려,
고려시대,고려,고려와 동일 시대의 표기 변형
고려전기,고려,
고려후기,고려,
조선,조선,
조선시대,조선,조선과 동일 시대의 표기 변형
조선전기,조선,
조선후기,조선,
개항기,개항기,
Opening of Ports,개항기,개항기의 영문 표기
대한제국기,개항기,개항기에 포함
일제시기,일제강점기,
일제시대,일제강점기,
현대,현대,
Contemporary Periods,현대,현대의 영문 표기
