axis_key,axis_name,root_category_name,axis_depth,axis_type,review_status,note
country,국가/정치체,외교·국제관계,2,COUNTRY_OR_POLITY,APPROVED,외교·국제관계 하위 국가 축
economic_domain,경제 분야,경제·산업,2,ECONOMIC_DOMAIN,APPROVED,경제·산업 하위 분야 축
