raw_relation_type,normalized_relation_type,neo4j_rel_type,relation_group,direction_rule,is_symmetric,inverse_relation_type,review_status,note
부,HAS_FATHER,RELATED_TO,FAMILY_PARENT,person_to_related,N,HAS_CHILD,PENDING,
생부,HAS_BIOLOGICAL_FATHER,RELATED_TO,FAMILY_PARENT,person_to_related,N,HAS_BIOLOGICAL_CHILD,PENDING,
모,HAS_MOTHER,RELATED_TO,FAMILY_PARENT,person_to_related,N,HAS_CHILD,PENDING,
생모,HAS_BIOLOGICAL_MOTHER,RELATED_TO,FAMILY_PARENT,person_to_related,N,HAS_BIOLOGICAL_CHILD,PENDING,
자,HAS_CHILD,RELATED_TO,FAMILY_CHILD,person_to_related,N,HAS_PARENT,PENDING,
조부,HAS_GRANDFATHER,RELATED_TO,FAMILY_ANCESTOR,person_to_related,N,HAS_GRANDCHILD,PENDING,
증조부,HAS_GREAT_GRANDFATHER,RELATED_TO,FAMILY_ANCESTOR,person_to_related,N,HAS_GREAT_GRANDCHILD,PENDING,
형제,SIBLING_OF,RELATED_TO,FAMILY_SIBLING,undirected,Y,SIBLING_OF,PENDING,symmetric relation; query both directions
아내,HAS_WIFE,RELATED_TO,SPOUSE,person_to_related,N,HAS_HUSBAND,PENDING,
남편,HAS_HUSBAND,RELATED_TO,SPOUSE,person_to_related,N,HAS_WIFE,PENDING,
장인,HAS_FATHER_IN_LAW,RELATED_TO,FAMILY_IN_LAW,person_to_related,N,HAS_SON_IN_LAW,PENDING,
사위,HAS_SON_IN_LAW,RELATED_TO,FAMILY_IN_LAW,person_to_related,N,HAS_FATHER_IN_LAW,PENDING,
교유,ASSOCIATED_WITH,RELATED_TO,SOCIAL,undirected,Y,ASSOCIATED_WITH,PENDING,social symmetric relation
스승,HAS_TEACHER,RELATED_TO,SOCIAL_TEACHER,person_to_related,N,HAS_STUDENT,PENDING,
제자,HAS_STUDENT,RELATED_TO,SOCIAL_STUDENT,person_to_related,N,HAS_TEACHER,PENDING,
출자,LINEAGE_RELATED,RELATED_TO,FAMILY_LINEAGE,person_to_related,N,LINEAGE_RELATED,REVIEW,meaning requires historical relation review
