era_id,era_name,era_order,start_year,end_year,note
ERA_0001,선사시대,10,-700000,-300,구석기~초기철기
ERA_0002,고조선,20,-2333,-108,
ERA_0003,초기 국가,30,-108,300,부여·옥저·동예·삼한
ERA_0004,삼국시대,40,-57,676,
ERA_0005,남북국시대,50,676,936,후삼국 포함
ERA_0006,고려,60,918,1392,
ERA_0007,조선,70,1392,1910,
ERA_0008,개항기,80,1876,1910,대한제국기 포함
ERA_0009,일제강점기,90,1910,1945,
ERA_0010,현대,100,1945,,광복 이후
