category_path,theme_name,note
정치·행정·법제>정치,정치,
정치·행정·법제>정치사상·정책,정치,
정치·행정·법제>선거,정치,
정치·행정·법제>입법,정치,
정치·행정·법제>행정,제도,
정치·행정·법제>인사,제도,관직·인사 용어
정치·행정·법제>법·법령,제도,
정치·행정·법제>사법,제도,
교통·통신,제도,교통 통신 시설과 제도
국방·군사,군사,
외교·국제관계,외교,
경제·산업,경제,
재정·금융,경제,
사회·생활,사회,
사회운동·독립운동,사회,
전통사상·종교,사상·종교,
교육,문화,
학술·과학기술,문화,
문화·예술,문화,
문화재,문화,문화재 카테고리 용어는 문화 주제에도 포함
서명,문화,서명 카테고리 용어는 문헌·저술 문화 주제에도 포함
인명,인물,인명 카테고리 용어는 인물 주제
인명>성격별>기업·경제인,경제,
인명>성격별>사회운동가,사회,
인명>성격별>예술·체육인,문화,
인명>성격별>왕실,정치,
인명>성격별>정치·행정가,정치,
인명>성격별>종교인,사상·종교,
인명>성격별>학자,문화,
인명>성격별>학자>사상가,사상·종교,
인명>성격별>정치·행정가>관료·공무원>무신,군사,
인명>성격별>사회운동가>의병,군사,
