rule_type,value,note
GENERAL_SUFFIX,대왕,인물 언급 토큰에서 벗겨내는 접미사(순서 유지)
GENERAL_SUFFIX,입니다,
GENERAL_SUFFIX,이었다,
GENERAL_SUFFIX,였다,
GENERAL_SUFFIX,이다,
GENERAL_SUFFIX,인가,
GENERAL_SUFFIX,이야,
GENERAL_SUFFIX,께서,
GENERAL_SUFFIX,시대,
GENERAL_SUFFIX,연간,
GENERAL_SUFFIX,원년,
GENERAL_SUFFIX,에게,
GENERAL_SUFFIX,에서,
GENERAL_SUFFIX,으로,
GENERAL_SUFFIX,부터,
GENERAL_SUFFIX,까지,
GENERAL_SUFFIX,하고,
GENERAL_SUFFIX,이랑,
GENERAL_SUFFIX,야,
GENERAL_SUFFIX,왕,
GENERAL_SUFFIX,대,
GENERAL_SUFFIX,때,
GENERAL_SUFFIX,년,
GENERAL_SUFFIX,조,
GENERAL_SUFFIX,의,
GENERAL_SUFFIX,은,
GENERAL_SUFFIX,는,
GENERAL_SUFFIX,이,
GENERAL_SUFFIX,가,
GENERAL_SUFFIX,을,
GENERAL_SUFFIX,를,
GENERAL_SUFFIX,에,
GENERAL_SUFFIX,와,
GENERAL_SUFFIX,과,
STRONG_SUFFIX,대왕,이 접미사가 붙으면 인물 언급 확신도 HIGH
STRONG_SUFFIX,왕,
STRONG_SUFFIX,시대,
STRONG_SUFFIX,연간,
STRONG_SUFFIX,원년,
STRONG_SUFFIX,께서,
STRONG_SUFFIX,때,
TEMPLE_NAME_SUFFIX,조,묘호형 짧은 별칭(태조 등)은 문맥 근거 필요
TEMPLE_NAME_SUFFIX,종,
