priority,entity_type,entity_subtype,heritage_kind,heritage_form,classification_method,review_status
10,유적,건물,ARCHITECTURE,PHYSICAL,AKS_TYPE,CURATED_RULE
20,유적,고인돌·고분·능묘,BURIAL_HERITAGE,PHYSICAL,AKS_TYPE,CURATED_RULE
30,유적,탑·비,MONUMENT,PHYSICAL,AKS_TYPE,CURATED_RULE
40,유적,터,ARCHAEOLOGICAL_SITE,PHYSICAL,AKS_TYPE,CURATED_RULE
90,유적,*,HERITAGE_SITE,PHYSICAL,AKS_TYPE_FALLBACK,REVIEW_REQUIRED
100,유물,*,ARTIFACT,PHYSICAL,AKS_TYPE_FALLBACK,REVIEW_REQUIRED
110,문헌,고서,DOCUMENTARY_HERITAGE,DOCUMENT,AKS_TYPE,CURATED_RULE
120,문헌,문서,DOCUMENTARY_HERITAGE,DOCUMENT,AKS_TYPE,CURATED_RULE
