keyword,era_name,source_era_label
8조법,고조선,고조선
기자조선,고조선,고조선
단군조선,고조선,고조선
고조선,고조선,고조선
고조선행정구역,고조선,고조선
고조선관직,고조선,고조선
준왕,고조선,고조선
세형동검,고조선,고조선
미송리식 토기,고조선,고조선
탁자식 고인돌,고조선,고조선
진번,고조선,고조선
임둔,고조선,고조선
사출도,초기 국가,초기 국가
골장제,초기 국가,초기 국가
서옥제,초기 국가,초기 국가
읍군,초기 국가,초기 국가
삼로,초기 국가,초기 국가
마한,초기 국가,초기 국가
진한,초기 국가,초기 국가
변한,초기 국가,초기 국가
목지국,초기 국가,초기 국가
우거왕,고조선,고조선
위만,고조선,고조선
위만조선,고조선,고조선
왕검성,고조선,고조선
단군왕검,고조선,고조선
비파형 동검,고조선,고조선
부여,초기 국가,초기 국가
영고,초기 국가,초기 국가
동예,초기 국가,초기 국가
무천,초기 국가,초기 국가
옥저,초기 국가,초기 국가
민며느리제,초기 국가,초기 국가
삼한,초기 국가,초기 국가
소도,초기 국가,초기 국가
천군,초기 국가,초기 국가
책화,초기 국가,초기 국가
후백제,남북국시대,남북국 시대
견훤,남북국시대,남북국 시대
발해,남북국시대,남북국 시대
신문왕,남북국시대,남북국 시대
국학,남북국시대,남북국 시대
9주 5소경,남북국시대,남북국 시대
원효,남북국시대,남북국 시대
의상,남북국시대,남북국 시대
정도전,조선,조선 전기
경국대전,조선,조선 전기
세종,조선,조선 전기
훈민정음,조선,조선 전기
자격루,조선,조선 전기
조광조,조선,조선 전기
사화,조선,조선 전기
향약,조선,조선 전기
임진왜란,조선,조선 전기
거북선,조선,조선 전기
훈련도감,조선,조선 후기
대동법,조선,조선 후기
균역법,조선,조선 후기
탕평책,조선,조선 후기
정조,조선,조선 후기
비변사,조선,조선 후기
홍경래의 난,조선,조선 후기
임술농민봉기,조선,조선 후기
대전회통,조선,조선 후기
상평통보,조선,조선 후기
도고,조선,조선 후기
과거제 폐지,개항기,개항기
갑오개혁,개항기,개항기
을미개혁,개항기,개항기
을미의병,개항기,개항기
을사의병,개항기,개항기
정미의병,개항기,개항기
동학 농민 운동,개항기,개항기
동학농민운동,개항기,개항기
갑신정변,개항기,개항기
임오군란,개항기,개항기
강화도조약,개항기,개항기
조일수호조규,개항기,개항기
을사늑약,개항기,개항기
헤이그 특사,개항기,개항기
독립협회,개항기,개항기
대한매일신보,개항기,개항기
황성신문,개항기,개항기
하와이 이민,개항기,개항기
신민회,개항기,개항기
조선 건국 동맹,일제강점기,일제 강점기
안창호,일제강점기,일제 강점기
신흥무관학교,일제강점기,일제 강점기
봉오동전투,일제강점기,일제 강점기
청산리전투,일제강점기,일제 강점기
간도참변,일제강점기,일제 강점기
3·1운동,일제강점기,일제 강점기
3.1운동,일제강점기,일제 강점기
6·10 만세운동,일제강점기,일제 강점기
6.10 만세운동,일제강점기,일제 강점기
원산총파업,일제강점기,일제 강점기
토지 조사 사업,일제강점기,일제 강점기
헌병경찰제,일제강점기,일제 강점기
의열단,일제강점기,일제 강점기
윤봉길,일제강점기,일제 강점기
안중근,일제강점기,일제 강점기
한국광복군,일제강점기,일제 강점기
대한민국 임시정부,일제강점기,일제 강점기
한국 독립당,일제강점기,일제 강점기
어린이날,일제강점기,일제 강점기
조선어학회,일제강점기,일제 강점기
전시징용,일제강점기,일제 강점기
신탁통치,현대,현대
모스크바 3상 회의,현대,현대
반민특위,현대,현대
발췌개헌,현대,현대
4·19혁명,현대,현대
5·16 군사정변,현대,현대
5.18 민주화운동,현대,현대
6월 민주항쟁,현대,현대
6·15 남북 공동 선언,현대,현대
금융실명제,현대,현대
IMF 구제 금융,현대,현대
국민기초생활보장법,현대,현대
