name,hanja,duplicate_person_id,canonical_person_id,review_status,note
강로,姜㳣,P000160,P000159,PENDING,"자동 후보: 같은 이름/한자 Person ID 중복. 정보량/관계수 기준 canonical 추천, 승인 전 검수 필요"
강린,姜璘,P000170,P000169,PENDING,"자동 후보: 같은 이름/한자 Person ID 중복. 정보량/관계수 기준 canonical 추천, 승인 전 검수 필요"
강문열,姜文悅,P000201,P000200,PENDING,"자동 후보: 같은 이름/한자 Person ID 중복. 정보량/관계수 기준 canonical 추천, 승인 전 검수 필요"
강문우,姜文佑,P000204,P000203,PENDING,"자동 후보: 같은 이름/한자 Person ID 중복. 정보량/관계수 기준 canonical 추천, 승인 전 검수 필요"
강박,姜樸,P000224,P000222,PENDING,"자동 후보: 같은 이름/한자 Person ID 중복. 정보량/관계수 기준 canonical 추천, 승인 전 검수 필요"
강삼,姜參,P000265,P000264,PENDING,"자동 후보: 같은 이름/한자 Person ID 중복. 정보량/관계수 기준 canonical 추천, 승인 전 검수 필요"
강서,姜瑞,P000274,P000271,PENDING,"자동 후보: 같은 이름/한자 Person ID 중복. 정보량/관계수 기준 canonical 추천, 승인 전 검수 필요"
강석규,姜錫圭,P000285,P000283,PENDING,"자동 후보: 같은 이름/한자 Person ID 중복. 정보량/관계수 기준 canonical 추천, 승인 전 검수 필요"
강석창,姜碩昌,P000303,P000302,PENDING,"자동 후보: 같은 이름/한자 Person ID 중복. 정보량/관계수 기준 canonical 추천, 승인 전 검수 필요"
강석창,姜碩昌,P000304,P000302,PENDING,"자동 후보: 같은 이름/한자 Person ID 중복. 정보량/관계수 기준 canonical 추천, 승인 전 검수 필요"
강선,姜銑,P000315,P000314,PENDING,"자동 후보: 같은 이름/한자 Person ID 중복. 정보량/관계수 기준 canonical 추천, 승인 전 검수 필요"
강섬,姜暹,P000323,P000322,PENDING,"자동 후보: 같은 이름/한자 Person ID 중복. 정보량/관계수 기준 canonical 추천, 승인 전 검수 필요"
