polity_id,canonical_eid,name,context_aliases,polity_kind,review_status,note
AKS_POLITY_GOGURYEO,E0003323,고구려,고구려,HISTORICAL_STATE,CURATED,고구려 왕계 연결 대상
AKS_POLITY_BAEKJE,E0022355,백제,백제,HISTORICAL_STATE,CURATED,백제 왕계 연결 대상
AKS_POLITY_SILLA,E0032800,신라,통일신라|신라,HISTORICAL_STATE,CURATED,통일신라를 신라의 연속 왕계로 연결
AKS_POLITY_BALHAE,E0021626,발해,발해,HISTORICAL_STATE,CURATED,발해 왕계 연결 대상
AKS_POLITY_GORYEO,E0003424,고려,고려,HISTORICAL_STATE,CURATED,고구려 후기 국호 문서 E0003425와 구분
AKS_POLITY_JOSEON,E0051904,조선,조선,HISTORICAL_STATE,CURATED,선박·일반 개념 동명 문서와 구분
AKS_POLITY_KOREAN_EMPIRE,E0015187,대한제국,대한제국,HISTORICAL_STATE,CURATED,대한제국 황제 연결 대상
AKS_POLITY_GEUMGWAN_GAYA,E0007597,금관가야,금관가야,HISTORICAL_STATE,CURATED,금관가야 왕계 연결 대상
AKS_POLITY_DAEGAYA,E0013970,대가야,대가야,HISTORICAL_STATE,CURATED,대가야 왕계 연결 대상
AKS_POLITY_GAYA,E0000257,가야,가야,CONFEDERACY,CURATED,세부 가야국이 불명확한 원문만 연결
AKS_POLITY_BUYEO,E0024368,부여,부여,HISTORICAL_STATE,CURATED,부여 왕계 연결 대상
AKS_POLITY_GOJOSEON,E0003937,고조선,고조선,HISTORICAL_STATE,CURATED,고조선 왕계 연결 대상
AKS_POLITY_WIMAN_JOSEON,E0041138,위만조선,위만조선,HISTORICAL_STATE,CURATED,위만조선 왕계 연결 대상
AKS_POLITY_JEONGAN,E0050528,정안국,정안국,HISTORICAL_STATE,CURATED,발해 부흥국 정안국
AKS_POLITY_HUBAEKJE,E0065738,후백제,후백제,HISTORICAL_STATE,CURATED,후백제 왕계 연결 대상
AKS_POLITY_HEUNGRYO,E0065994,흥료국,흥료국,HISTORICAL_STATE,CURATED,발해 부흥국 흥료국
AKS_POLITY_TAEBONG,E0058942,태봉,태봉국|태봉|후고구려,HISTORICAL_STATE,CURATED,태봉국 왕계 연결 대상
