canonical_term,category,count,problem_ids
소도,제도,24,"['cj_v41_0002', 'cj_v41_0048', 'cj_v41_0098', 'cj_v41_0146', 'cj_v41_0193', 'cj_v41_0242', 'cj_v41_0288', 'cj_v41_0334', 'cj_v41_0379', 'cj_v41_0570', 'cj_v41_0618', 'cj_v41_0667', 'cj_v41_0713', 'cj_v41_0761', 'cj_v41_0807', 'cj_v41_0855', 'cj_v41_0902', 'cj_v41_0999', 'cj_v41_1145', 'cj_v41_img_73_04', 'cj_v41_1293', 'cj_v41_1388', 'cj_v41_1436', 'cj_v41_1484']"
안승,인물,24,"['cj_v41_0006', 'cj_v41_0102', 'cj_v41_0196', 'cj_v41_0244', 'cj_v41_0291', 'cj_v41_0337', 'cj_v41_0383', 'cj_v41_0431', 'cj_v41_0525', 'cj_v41_0572', 'cj_v41_0620', 'cj_v41_0672', 'cj_v41_0716', 'cj_v41_0809', 'cj_v41_0858', 'cj_v41_0951', 'cj_v41_1001', 'cj_v41_1052', 'cj_v41_1104', 'cj_v41_1151', 'cj_v41_1243', 'cj_v41_1296', 'cj_v41_1346', 'cj_v41_1490']"
조선 혁명 선언,문헌,23,"['cj_v41_0037', 'cj_v41_0083', 'cj_v41_0138', 'cj_v41_0177', 'cj_v41_0234', 'cj_v41_0279', 'cj_v41_0326', 'cj_v41_0364', 'cj_v41_0468', 'cj_v41_0554', 'cj_v41_0650', 'cj_v41_0697', 'cj_v41_0751', 'cj_v41_0840', 'cj_v41_0937', 'cj_v41_1043', 'cj_v41_1081', 'cj_v41_1134', 'cj_v41_1234', 'cj_v41_1278', 'cj_v41_1421', 'cj_v41_1467', 'cj_v41_1513']"
일본,국가,22,"['cj_v41_0005', 'cj_v41_0028', 'cj_v41_0151', 'cj_v41_0213', 'cj_v41_0222', 'cj_v41_0224', 'cj_v41_0320', 'cj_v41_0367', 'cj_v41_0435', 'cj_v41_0526', 'cj_v41_0571', 'cj_v41_0805', 'cj_v41_img_63_50', 'cj_v41_0876', 'cj_v41_1026', 'cj_v41_1053', 'cj_v41_1222', 'cj_v41_1307', 'cj_v41_1327', 'cj_v41_1366', 'cj_v41_1398', 'cj_v41_1506']"
별무반,기관,22,"['cj_v41_0010', 'cj_v41_0111', 'cj_v41_0202', 'cj_v41_0248', 'cj_v41_0300', 'cj_v41_0392', 'cj_v41_0452', 'cj_v41_0483', 'cj_v41_0532', 'cj_v41_0578', 'cj_v41_0629', 'cj_v41_0772', 'cj_v41_0816', 'cj_v41_0869', 'cj_v41_0912', 'cj_v41_1058', 'cj_v41_1107', 'cj_v41_1158', 'cj_v41_1298', 'cj_v41_1357', 'cj_v41_1401', 'cj_v41_1443']"
남북 조절 위원회,기관,21,"['cj_v41_0046', 'cj_v41_img_47_50', 'cj_v41_0095', 'cj_v41_0191', 'cj_v41_img_50_50', 'cj_v41_0473', 'cj_v41_0519', 'cj_v41_0563', 'cj_v41_0616', 'cj_v41_0663', 'cj_v41_0711', 'cj_v41_img_61_50', 'cj_v41_0757', 'cj_v41_0851', 'cj_v41_0900', 'cj_v41_0946', 'cj_v41_img_66_50', 'cj_v41_0996', 'cj_v41_1094', 'cj_v41_1136', 'cj_v41_1432']"
경국대전,문헌,21,"['cj_v41_0017', 'cj_v41_0110', 'cj_v41_0171', 'cj_v41_0215', 'cj_v41_0254', 'cj_v41_0309', 'cj_v41_0352', 'cj_v41_0400', 'cj_v41_0445', 'cj_v41_0494', 'cj_v41_0535', 'cj_v41_0585', 'cj_v41_0729', 'cj_v41_0820', 'cj_v41_0870', 'cj_v41_0917', 'cj_v41_1015', 'cj_v41_1111', 'cj_v41_1161', 'cj_v41_1212', 'cj_v41_1481']"
해동통보,유물,21,"['cj_v41_0108', 'cj_v41_0203', 'cj_v41_0346', 'cj_v41_0389', 'cj_v41_0578', 'cj_v41_0643', 'cj_v41_0688', 'cj_v41_0722', 'cj_v41_0812', 'cj_v41_0862', 'cj_v41_0905', 'cj_v41_1053', 'cj_v41_1107', 'cj_v41_1153', 'cj_v41_1203', 'cj_v41_1250', 'cj_v41_1313', 'cj_v41_1352', 'cj_v41_1398', 'cj_v41_1456', 'cj_v41_1492']"
화통도감,기관,21,"['cj_v41_0015', 'cj_v41_0111', 'cj_v41_0157', 'cj_v41_0202', 'cj_v41_0260', 'cj_v41_0348', 'cj_v41_0390', 'cj_v41_0488', 'cj_v41_0532', 'cj_v41_0586', 'cj_v41_0629', 'cj_v41_0683', 'cj_v41_0729', 'cj_v41_0781', 'cj_v41_0815', 'cj_v41_0959', 'cj_v41_1063', 'cj_v41_1158', 'cj_v41_1204', 'cj_v41_1443', 'cj_v41_1497']"
삼정이정청,기관,21,"['cj_v41_0025', 'cj_v41_0165', 'cj_v41_0217', 'cj_v41_0261', 'cj_v41_0314', 'cj_v41_0358', 'cj_v41_0498', 'cj_v41_0546', 'cj_v41_0645', 'cj_v41_0690', 'cj_v41_0874', 'cj_v41_0917', 'cj_v41_0994', 'cj_v41_1059', 'cj_v41_1118', 'cj_v41_1169', 'cj_v41_img_73_27', 'cj_v41_1310', 'cj_v41_1412', 'cj_v41_1459', 'cj_v41_1509']"
고인돌,유적,20,"['cj_v41_0047', 'cj_v41_0096', 'cj_v41_0192', 'cj_v41_0287', 'cj_v41_0333', 'cj_v41_0427', 'cj_v41_0437', 'cj_v41_0474', 'cj_v41_0617', 'cj_v41_0666', 'cj_v41_0712', 'cj_v41_0760', 'cj_v41_0854', 'cj_v41_0947', 'cj_v41_0997', 'cj_v41_1046', 'cj_v41_1095', 'cj_v41_1193', 'cj_v41_1337', 'cj_v41_1434']"
훈련도감,기관,20,"['cj_v41_0022', 'cj_v41_0067', 'cj_v41_0111', 'cj_v41_0154', 'cj_v41_0254', 'cj_v41_0349', 'cj_v41_0445', 'cj_v41_0491', 'cj_v41_0732', 'cj_v41_0776', 'cj_v41_0880', 'cj_v41_0921', 'cj_v41_0972', 'cj_v41_1092', 'cj_v41_1115', 'cj_v41_1164', 'cj_v41_1348', 'cj_v41_1401', 'cj_v41_1452', 'cj_v41_1503']"
거문도,지명,20,"['cj_v41_0029', 'cj_v41_0080', 'cj_v41_0128', 'cj_v41_0169', 'cj_v41_0320', 'cj_v41_0366', 'cj_v41_0508', 'cj_v41_0603', 'cj_v41_0646', 'cj_v41_0698', 'cj_v41_0791', 'cj_v41_0879', 'cj_v41_1083', 'cj_v41_1121', 'cj_v41_1171', 'cj_v41_1222', 'cj_v41_1271', 'cj_v41_1317', 'cj_v41_1412', 'cj_v41_1511']"
개경,지명,20,"['cj_v41_0248', 'cj_v41_0301', 'cj_v41_0484', 'cj_v41_0581', 'cj_v41_0629', 'cj_v41_0726', 'cj_v41_0816', 'cj_v41_0957', 'cj_v41_0958', 'cj_v41_1062', 'cj_v41_1107', 'cj_v41_1203', 'cj_v41_1204', 'cj_v41_1206', 'cj_v41_1208', 'cj_v41_img_73_14', 'cj_v41_1255', 'cj_v41_1342', 'cj_v41_1349', 'cj_v41_1351']"
살수,지명,20,"['cj_v41_0006', 'cj_v41_0102', 'cj_v41_0148', 'cj_v41_0244', 'cj_v41_0337', 'cj_v41_0398', 'cj_v41_0431', 'cj_v41_0539', 'cj_v41_0572', 'cj_v41_0620', 'cj_v41_0671', 'cj_v41_0811', 'cj_v41_0858', 'cj_v41_0904', 'cj_v41_0951', 'cj_v41_1098', 'cj_v41_1243', 'cj_v41_1343', 'cj_v41_1438', 'cj_v41_1488']"
김춘추,인물,20,"['cj_v41_0006', 'cj_v41_0050', 'cj_v41_0291', 'cj_v41_0337', 'cj_v41_0386', 'cj_v41_0522', 'cj_v41_0571', 'cj_v41_0672', 'cj_v41_0716', 'cj_v41_0811', 'cj_v41_0858', 'cj_v41_0951', 'cj_v41_1001', 'cj_v41_1151', 'cj_v41_1195', 'cj_v41_1243', 'cj_v41_1290', 'cj_v41_1394', 'cj_v41_1438', 'cj_v41_1488']"
을지문덕,인물,19,"['cj_v41_0006', 'cj_v41_0102', 'cj_v41_0148', 'cj_v41_0244', 'cj_v41_0337', 'cj_v41_0431', 'cj_v41_0620', 'cj_v41_0671', 'cj_v41_0811', 'cj_v41_0858', 'cj_v41_0904', 'cj_v41_0951', 'cj_v41_1050', 'cj_v41_1098', 'cj_v41_1151', 'cj_v41_1243', 'cj_v41_1343', 'cj_v41_1438', 'cj_v41_1488']"
녹읍,제도,19,"['cj_v41_0051', 'cj_v41_0100', 'cj_v41_0198', 'cj_v41_0336', 'cj_v41_0436', 'cj_v41_0624', 'cj_v41_0673', 'cj_v41_0718', 'cj_v41_0766', 'cj_v41_0817', 'cj_v41_0906', 'cj_v41_0953', 'cj_v41_1047', 'cj_v41_1155', 'cj_v41_img_72_47', 'cj_v41_1292', 'cj_v41_1342', 'cj_v41_1391', 'cj_v41_1440']"
과거제,제도,19,"['cj_v41_0024', 'cj_v41_0030', 'cj_v41_0055', 'cj_v41_0131', 'cj_v41_0204', 'cj_v41_0250', 'cj_v41_0271', 'cj_v41_0362', 'cj_v41_0454', 'cj_v41_0530', 'cj_v41_0674', 'cj_v41_0916', 'cj_v41_0957', 'cj_v41_1055', 'cj_v41_1154', 'cj_v41_1224', 'cj_v41_1250', 'cj_v41_1351', 'cj_v41_1402']"
박규수,인물,19,"['cj_v41_0068', 'cj_v41_0122', 'cj_v41_0175', 'cj_v41_0217', 'cj_v41_0264', 'cj_v41_0358', 'cj_v41_0406', 'cj_v41_0453', 'cj_v41_0497', 'cj_v41_0645', 'cj_v41_0690', 'cj_v41_0824', 'cj_v41_0925', 'cj_v41_0975', 'cj_v41_1123', 'cj_v41_1311', 'cj_v41_1315', 'cj_v41_1414', 'cj_v41_1459']"
덕대,제도,19,"['cj_v41_0069', 'cj_v41_0117', 'cj_v41_0159', 'cj_v41_0216', 'cj_v41_0251', 'cj_v41_0307', 'cj_v41_0436', 'cj_v41_0485', 'cj_v41_0575', 'cj_v41_0628', 'cj_v41_0722', 'cj_v41_0868', 'cj_v41_1019', 'cj_v41_1057', 'cj_v41_1119', 'cj_v41_1208', 'cj_v41_1251', 'cj_v41_1362', 'cj_v41_1398']"
동시전,기관,19,"['cj_v41_0061', 'cj_v41_0203', 'cj_v41_img_52_03', 'cj_v41_0346', 'cj_v41_0389', 'cj_v41_0449', 'cj_v41_0533', 'cj_v41_0681', 'cj_v41_0722', 'cj_v41_0775', 'cj_v41_0812', 'cj_v41_0868', 'cj_v41_0923', 'cj_v41_0953', 'cj_v41_1153', 'cj_v41_1251', 'cj_v41_1313', 'cj_v41_1341', 'cj_v41_1494']"
13도 창의군,단체,19,"['cj_v41_0035', 'cj_v41_0075', 'cj_v41_0127', 'cj_v41_0225', 'cj_v41_0320', 'cj_v41_0370', 'cj_v41_0411', 'cj_v41_0412', 'cj_v41_0511', 'cj_v41_0742', 'cj_v41_0792', 'cj_v41_0832', 'cj_v41_0982', 'cj_v41_1032', 'cj_v41_1083', 'cj_v41_1226', 'cj_v41_1275', 'cj_v41_1318', 'cj_v41_1367']"
장용영,기관,19,"['cj_v41_0027', 'cj_v41_0071', 'cj_v41_0099', 'cj_v41_0160', 'cj_v41_0214', 'cj_v41_0259', 'cj_v41_0309', 'cj_v41_0359', 'cj_v41_0449', 'cj_v41_0494', 'cj_v41_0590', 'cj_v41_0641', 'cj_v41_0689', 'cj_v41_1020', 'cj_v41_1113', 'cj_v41_1220', 'cj_v41_img_73_27', 'cj_v41_1310', 'cj_v41_1361']"
독서삼품과,제도,19,"['cj_v41_0010', 'cj_v41_0057', 'cj_v41_0100', 'cj_v41_0153', 'cj_v41_0201', 'cj_v41_0292', 'cj_v41_0336', 'cj_v41_0480', 'cj_v41_0574', 'cj_v41_0624', 'cj_v41_0771', 'cj_v41_0908', 'cj_v41_0955', 'cj_v41_1047', 'cj_v41_1156', 'cj_v41_1199', 'cj_v41_1336', 'cj_v41_1391', 'cj_v41_1446']"
탕평비,문화재,19,"['cj_v41_0017', 'cj_v41_0119', 'cj_v41_0255', 'cj_v41_0312', 'cj_v41_0351', 'cj_v41_0400', 'cj_v41_0445', 'cj_v41_0492', 'cj_v41_0732', 'cj_v41_0870', 'cj_v41_0973', 'cj_v41_1020', 'cj_v41_1071', 'cj_v41_1111', 'cj_v41_1212', 'cj_v41_1308', 'cj_v41_1360', 'cj_v41_1455', 'cj_v41_1503']"
광평성,기관,19,"['cj_v41_0009', 'cj_v41_0105', 'cj_v41_0152', 'cj_v41_0247', 'cj_v41_0384', 'cj_v41_0438', 'cj_v41_0482', 'cj_v41_0576', 'cj_v41_0625', 'cj_v41_0814', 'cj_v41_0859', 'cj_v41_0908', 'cj_v41_0956', 'cj_v41_1101', 'cj_v41_1155', 'cj_v41_1201', 'cj_v41_1249', 'cj_v41_1293', 'cj_v41_1441']"
벽란도,지명,18,"['cj_v41_0117', 'cj_v41_0159', 'cj_v41_0203', 'cj_v41_0299', 'cj_v41_0436', 'cj_v41_0526', 'cj_v41_0681', 'cj_v41_0739', 'cj_v41_0782', 'cj_v41_0812', 'cj_v41_0909', 'cj_v41_1019', 'cj_v41_1119', 'cj_v41_1153', 'cj_v41_1251', 'cj_v41_1313', 'cj_v41_1352', 'cj_v41_1492']"
나선 정벌,사건,18,"['cj_v41_0022', 'cj_v41_0073', 'cj_v41_0120', 'cj_v41_0171', 'cj_v41_0215', 'cj_v41_0259', 'cj_v41_0305', 'cj_v41_0359', 'cj_v41_0395', 'cj_v41_0494', 'cj_v41_0589', 'cj_v41_0683', 'cj_v41_0776', 'cj_v41_0922', 'cj_v41_img_69_48', 'cj_v41_1260', 'cj_v41_1310', 'cj_v41_1409']"
경복궁,유적,18,"['cj_v41_0016', 'cj_v41_0160', 'cj_v41_0174', 'cj_v41_0222', 'cj_v41_0405', 'cj_v41_0494', 'cj_v41_0795', 'cj_v41_0874', 'cj_v41_0881', 'cj_v41_0992', 'cj_v41_1014', 'cj_v41_1027', 'cj_v41_1169', 'cj_v41_1180', 'cj_v41_1267', 'cj_v41_1419', 'cj_v41_1510', 'cj_v41_1515']"
가락바퀴,유물,18,"['cj_v41_0001', 'cj_v41_0144', 'cj_v41_0192', 'cj_v41_0240', 'cj_v41_0287', 'cj_v41_0333', 'cj_v41_0474', 'cj_v41_0712', 'cj_v41_0806', 'cj_v41_0854', 'cj_v41_0901', 'cj_v41_0997', 'cj_v41_1046', 'cj_v41_1095', 'cj_v41_1242', 'cj_v41_1337', 'cj_v41_1434', 'cj_v41_1482']"
이사부,인물,18,"['cj_v41_0004', 'cj_v41_0051', 'cj_v41_0147', 'cj_v41_0194', 'cj_v41_img_52_03', 'cj_v41_0336', 'cj_v41_0437', 'cj_v41_0523', 'cj_v41_0673', 'cj_v41_0718', 'cj_v41_0766', 'cj_v41_0814', 'cj_v41_0904', 'cj_v41_0954', 'cj_v41_1195', 'cj_v41_1292', 'cj_v41_1338', 'cj_v41_1488']"
회사령,제도,18,"['cj_v41_0135', 'cj_v41_0182', 'cj_v41_0323', 'cj_v41_0365', 'cj_v41_0465', 'cj_v41_0514', 'cj_v41_0555', 'cj_v41_0607', 'cj_v41_0652', 'cj_v41_0702', 'cj_v41_0839', 'cj_v41_1133', 'cj_v41_1181', 'cj_v41_1268', 'cj_v41_1370', 'cj_v41_1420', 'cj_v41_1470', 'cj_v41_1515']"
경성 제국 대학,기관,18,"['cj_v41_0040', 'cj_v41_0079', 'cj_v41_0278', 'cj_v41_0415', 'cj_v41_0607', 'cj_v41_0698', 'cj_v41_0795', 'cj_v41_0933', 'cj_v41_0986', 'cj_v41_1030', 'cj_v41_1083', 'cj_v41_1133', 'cj_v41_1182', 'cj_v41_1233', 'cj_v41_1275', 'cj_v41_1320', 'cj_v41_1371', 'cj_v41_1516']"
동북 9성,유적,17,"['cj_v41_0014', 'cj_v41_0111', 'cj_v41_0202', 'cj_v41_0298', 'cj_v41_0443', 'cj_v41_0532', 'cj_v41_0682', 'cj_v41_0817', 'cj_v41_0869', 'cj_v41_0912', 'cj_v41_1058', 'cj_v41_1204', 'cj_v41_1252', 'cj_v41_1298', 'cj_v41_1348', 'cj_v41_1401', 'cj_v41_1493']"
대한매일신보,문헌,17,"['cj_v41_0077', 'cj_v41_0124', 'cj_v41_0322', 'cj_v41_0365', 'cj_v41_0462', 'cj_v41_0497', 'cj_v41_0604', 'cj_v41_0651', 'cj_v41_0696', 'cj_v41_0744', 'cj_v41_0786', 'cj_v41_1037', 'cj_v41_1078', 'cj_v41_1221', 'cj_v41_1269', 'cj_v41_1320', 'cj_v41_1422']"
신간회,단체,17,"['cj_v41_0083', 'cj_v41_0133', 'cj_v41_0324', 'cj_v41_0372', 'cj_v41_0417', 'cj_v41_0466', 'cj_v41_0511', 'cj_v41_0700', 'cj_v41_0747', 'cj_v41_0788', 'cj_v41_0888', 'cj_v41_0938', 'cj_v41_1031', 'cj_v41_1082', 'cj_v41_1276', 'cj_v41_1422', 'cj_v41_1516']"
대한제국,국가,17,"['cj_v41_0080', 'cj_v41_0126', 'cj_v41_0227', 'cj_v41_0279', 'cj_v41_0320', 'cj_v41_0366', 'cj_v41_0507', 'cj_v41_0568', 'cj_v41_0741', 'cj_v41_0791', 'cj_v41_0930', 'cj_v41_1229', 'cj_v41_1319', 'cj_v41_1366', 'cj_v41_1374', 'cj_v41_1418', 'cj_v41_1464']"
사출도,제도,17,"['cj_v41_0002', 'cj_v41_0097', 'cj_v41_0149', 'cj_v41_0242', 'cj_v41_0288', 'cj_v41_0334', 'cj_v41_0476', 'cj_v41_0667', 'cj_v41_0713', 'cj_v41_0855', 'cj_v41_0902', 'cj_v41_0999', 'cj_v41_1048', 'cj_v41_1096', 'cj_v41_1197', 'cj_v41_1288', 'cj_v41_1435']"
광군,기관,17,"['cj_v41_0103', 'cj_v41_0161', 'cj_v41_0298', 'cj_v41_0338', 'cj_v41_0439', 'cj_v41_0536', 'cj_v41_0772', 'cj_v41_0815', 'cj_v41_0862', 'cj_v41_0910', 'cj_v41_0960', 'cj_v41_1058', 'cj_v41_1158', 'cj_v41_1204', 'cj_v41_1256', 'cj_v41_1401', 'cj_v41_1491']"
조의제문,문헌,17,"['cj_v41_0019', 'cj_v41_0066', 'cj_v41_0114', 'cj_v41_0167', 'cj_v41_0209', 'cj_v41_0255', 'cj_v41_0351', 'cj_v41_0489', 'cj_v41_0587', 'cj_v41_0638', 'cj_v41_0684', 'cj_v41_0777', 'cj_v41_0826', 'cj_v41_0918', 'cj_v41_1066', 'cj_v41_1261', 'cj_v41_1404']"
원수부,기관,16,"['cj_v41_0033', 'cj_v41_0078', 'cj_v41_0131', 'cj_v41_0224', 'cj_v41_0317', 'cj_v41_0363', 'cj_v41_0498', 'cj_v41_0599', 'cj_v41_0647', 'cj_v41_0789', 'cj_v41_0888', 'cj_v41_0931', 'cj_v41_0932', 'cj_v41_0981', 'cj_v41_1416', 'cj_v41_1468']"
금융 실명제,제도,16,"['cj_v41_0043', 'cj_v41_0140', 'cj_v41_0237', 'cj_v41_0285', 'cj_v41_0330', 'cj_v41_0426', 'cj_v41_0472', 'cj_v41_0518', 'cj_v41_0561', 'cj_v41_0710', 'cj_v41_0755', 'cj_v41_0942', 'cj_v41_1091', 'cj_v41_1139', 'cj_v41_1285', 'cj_v41_1431']"
황국신민서사,문헌,16,"['cj_v41_0136', 'cj_v41_0325', 'cj_v41_0373', 'cj_v41_0415', 'cj_v41_0514', 'cj_v41_0552', 'cj_v41_0795', 'cj_v41_0892', 'cj_v41_0986', 'cj_v41_1083', 'cj_v41_1129', 'cj_v41_1186', 'cj_v41_1273', 'cj_v41_1329', 'cj_v41_1475', 'cj_v41_1518']"
홍범 14조,문헌,16,"['cj_v41_0131', 'cj_v41_0363', 'cj_v41_0407', 'cj_v41_0498', 'cj_v41_0759', 'cj_v41_img_62_50', 'cj_v41_0790', 'cj_v41_0880', 'cj_v41_0981', 'cj_v41_1227', 'cj_v41_1265', 'cj_v41_1316', 'cj_v41_1364', 'cj_v41_1416', 'cj_v41_1462', 'cj_v41_1507']"
평양,지명,16,"['cj_v41_0039', 'cj_v41_0178', 'cj_v41_0244', 'cj_v41_0310', 'cj_v41_0315', 'cj_v41_0414', 'cj_v41_0429', 'cj_v41_0435', 'cj_v41_0508', 'cj_v41_0671', 'cj_v41_0715', 'cj_v41_0803', 'cj_v41_0831', 'cj_v41_0903', 'cj_v41_1097', 'cj_v41_1481']"
국채 보상 운동,사건,16,"['cj_v41_0037', 'cj_v41_0129', 'cj_v41_0173', 'cj_v41_0229', 'cj_v41_0511', 'cj_v41_0567', 'cj_v41_0745', 'cj_v41_0792', 'cj_v41_0885', 'cj_v41_0977', 'cj_v41_1035', 'cj_v41_1143', 'cj_v41_1175', 'cj_v41_1371', 'cj_v41_1475', 'cj_v41_1512']"
