canonical_term,category,count,problem_ids
고종,인물,43,"['cj_v41_0026', 'cj_v41_0029', 'cj_v41_0063', 'cj_v41_0080', 'cj_v41_0083', 'cj_v41_0176', 'cj_v41_0196', 'cj_v41_0272', 'cj_v41_0315', 'cj_v41_0363', 'cj_v41_0410', 'cj_v41_0462', 'cj_v41_0550', 'cj_v41_0596', 'cj_v41_0601', 'cj_v41_0603', 'cj_v41_0634', 'cj_v41_0647', 'cj_v41_0737', 'cj_v41_0740', 'cj_v41_0741', 'cj_v41_0745', 'cj_v41_0763', 'cj_v41_0791', 'cj_v41_0883', 'cj_v41_0887', 'cj_v41_0980', 'cj_v41_0981', 'cj_v41_1031', 'cj_v41_1033', 'cj_v41_1092', 'cj_v41_1124', 'cj_v41_1125', 'cj_v41_1128', 'cj_v41_1226', 'cj_v41_1227', 'cj_v41_1316', 'cj_v41_1323', 'cj_v41_1411', 'cj_v41_1418', 'cj_v41_1433', 'cj_v41_1447', 'cj_v41_1467']"
고구려,국가,35,"['cj_v41_0002', 'cj_v41_0006', 'cj_v41_0049', 'cj_v41_0053', 'cj_v41_0148', 'cj_v41_img_52_06', 'cj_v41_0247', 'cj_v41_0291', 'cj_v41_0429', 'cj_v41_0477', 'cj_v41_0571', 'cj_v41_0576', 'cj_v41_0621', 'cj_v41_0715', 'cj_v41_0717', 'cj_v41_0811', 'cj_v41_0907', 'cj_v41_0948', 'cj_v41_1001', 'cj_v41_1051', 'cj_v41_1054', 'cj_v41_1097', 'cj_v41_1098', 'cj_v41_1101', 'cj_v41_1145', 'cj_v41_1148', 'cj_v41_1195', 'cj_v41_1245', 'cj_v41_1343', 'cj_v41_1389', 'cj_v41_1391', 'cj_v41_1433', 'cj_v41_1437', 'cj_v41_1481', 'cj_v41_1488']"
고려,국가,31,"['cj_v41_0053', 'cj_v41_0057', 'cj_v41_0105', 'cj_v41_0107', 'cj_v41_0111', 'cj_v41_0151', 'cj_v41_0154', 'cj_v41_img_50_14', 'cj_v41_0295', 'cj_v41_0297', 'cj_v41_0532', 'cj_v41_0564', 'cj_v41_0580', 'cj_v41_0911', 'cj_v41_0912', 'cj_v41_0957', 'cj_v41_0966', 'cj_v41_1009', 'cj_v41_1102', 'cj_v41_1152', 'cj_v41_1203', 'cj_v41_1205', 'cj_v41_1207', 'cj_v41_1296', 'cj_v41_1336', 'cj_v41_1350', 'cj_v41_1400', 'cj_v41_1433', 'cj_v41_1443', 'cj_v41_1481', 'cj_v41_1491']"
신라,국가,30,"['cj_v41_0003', 'cj_v41_0006', 'cj_v41_0012', 'cj_v41_0049', 'cj_v41_0105', 'cj_v41_0148', 'cj_v41_0247', 'cj_v41_0289', 'cj_v41_0291', 'cj_v41_0337', 'cj_v41_0429', 'cj_v41_0435', 'cj_v41_0479', 'cj_v41_0526', 'cj_v41_0573', 'cj_v41_0619', 'cj_v41_0621', 'cj_v41_0672', 'cj_v41_0719', 'cj_v41_0720', 'cj_v41_0907', 'cj_v41_0950', 'cj_v41_1050', 'cj_v41_1146', 'cj_v41_1149', 'cj_v41_1296', 'cj_v41_1336', 'cj_v41_1346', 'cj_v41_1389', 'cj_v41_1433']"
강화도,지명,29,"['cj_v41_0020', 'cj_v41_0313', 'cj_v41_0348', 'cj_v41_0406', 'cj_v41_0452', 'cj_v41_0532', 'cj_v41_0581', 'cj_v41_0640', 'cj_v41_0646', 'cj_v41_0678', 'cj_v41_0682', 'cj_v41_0772', 'cj_v41_0824', 'cj_v41_0827', 'cj_v41_0869', 'cj_v41_0873', 'cj_v41_0912', 'cj_v41_0920', 'cj_v41_0925', 'cj_v41_1058', 'cj_v41_1068', 'cj_v41_1074', 'cj_v41_1158', 'cj_v41_1253', 'cj_v41_1298', 'cj_v41_1401', 'cj_v41_1447', 'cj_v41_1460', 'cj_v41_1481']"
백제,국가,28,"['cj_v41_0002', 'cj_v41_0006', 'cj_v41_0049', 'cj_v41_0195', 'cj_v41_0290', 'cj_v41_0337', 'cj_v41_0429', 'cj_v41_0435', 'cj_v41_0479', 'cj_v41_0564', 'cj_v41_0571', 'cj_v41_0620', 'cj_v41_0637', 'cj_v41_0903', 'cj_v41_0907', 'cj_v41_0949', 'cj_v41_1000', 'cj_v41_1049', 'cj_v41_1148', 'cj_v41_1149', 'cj_v41_1187', 'cj_v41_1195', 'cj_v41_1290', 'cj_v41_1343', 'cj_v41_1389', 'cj_v41_1391', 'cj_v41_img_77_04', 'cj_v41_1481']"
당,국가,28,"['cj_v41_0006', 'cj_v41_0050', 'cj_v41_0057', 'cj_v41_0151', 'cj_v41_0196', 'cj_v41_0197', 'cj_v41_0247', 'cj_v41_0291', 'cj_v41_0293', 'cj_v41_0337', 'cj_v41_0435', 'cj_v41_0479', 'cj_v41_0524', 'cj_v41_0525', 'cj_v41_0672', 'cj_v41_0675', 'cj_v41_0719', 'cj_v41_0858', 'cj_v41_0956', 'cj_v41_1052', 'cj_v41_1110', 'cj_v41_1149', 'cj_v41_1195', 'cj_v41_1243', 'cj_v41_1290', 'cj_v41_1295', 'cj_v41_1343', 'cj_v41_1394']"
대한민국 임시 정부,국가,27,"['cj_v41_0038', 'cj_v41_0133', 'cj_v41_0186', 'cj_v41_0187', 'cj_v41_0279', 'cj_v41_0281', 'cj_v41_0328', 'cj_v41_img_54_43', 'cj_v41_0414', 'cj_v41_0417', 'cj_v41_0421', 'cj_v41_0515', 'cj_v41_0516', 'cj_v41_0553', 'cj_v41_0602', 'cj_v41_0606', 'cj_v41_0788', 'cj_v41_0797', 'cj_v41_0844', 'cj_v41_1043', 'cj_v41_1078', 'cj_v41_1228', 'cj_v41_1234', 'cj_v41_1279', 'cj_v41_1473', 'cj_v41_1477', 'cj_v41_1513']"
청해진,기관,25,"['cj_v41_0009', 'cj_v41_0061', 'cj_v41_0105', 'cj_v41_0200', 'cj_v41_0247', 'cj_v41_0293', 'cj_v41_0339', 'cj_v41_0389', 'cj_v41_0435', 'cj_v41_0482', 'cj_v41_0533', 'cj_v41_0575', 'cj_v41_0676', 'cj_v41_0719', 'cj_v41_0765', 'cj_v41_0813', 'cj_v41_0861', 'cj_v41_0905', 'cj_v41_1057', 'cj_v41_1103', 'cj_v41_1295', 'cj_v41_1352', 'cj_v41_1390', 'cj_v41_1442', 'cj_v41_1492']"
초계문신제,제도,25,"['cj_v41_0022', 'cj_v41_0071', 'cj_v41_0154', 'cj_v41_0215', 'cj_v41_0254', 'cj_v41_0352', 'cj_v41_0397', 'cj_v41_0445', 'cj_v41_0487', 'cj_v41_0542', 'cj_v41_0590', 'cj_v41_0771', 'cj_v41_0829', 'cj_v41_0922', 'cj_v41_0973', 'cj_v41_1018', 'cj_v41_1069', 'cj_v41_1111', 'cj_v41_1156', 'cj_v41_1239', 'cj_v41_1310', 'cj_v41_1360', 'cj_v41_1409', 'cj_v41_1455', 'cj_v41_1503']"
