scope,url,discovered_from,error,failed_at
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=872&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:21:52
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=876&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:24:22
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=877&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:25:27
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=883&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:29:44
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=884&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:30:49
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=885&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:31:54
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=886&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:32:59
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=887&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:34:04
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=888&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:35:08
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=889&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:36:13
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=891&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:37:39
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=892&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:38:44
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=895&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:41:36
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=896&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:42:41
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=897&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:43:46
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=898&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:44:51
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=899&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:45:56
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=900&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:47:01
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=901&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:48:06
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=902&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:49:11
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=903&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:50:15
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=904&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:51:20
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=905&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:52:24
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=906&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:53:29
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=907&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:54:34
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=908&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:55:39
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=909&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:56:44
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=910&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:57:49
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=911&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:58:54
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=912&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 21:59:59
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=913&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 22:01:04
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=914&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 22:02:09
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=915&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 22:03:14
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=916&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 22:04:18
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=917&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 22:05:23
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=918&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 22:06:28
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=919&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 22:07:33
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=920&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 22:08:38
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=921&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 22:09:43
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=922&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 22:10:48
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=923&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 22:11:53
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=924&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 22:12:58
person,https://db.itkc.or.kr/people/list?gubun=person&cate1=O&pageIndex=925&pageUnit=50,https://db.itkc.or.kr/people/list?gubun=person&cate1=O,RuntimeError('request failed: The read operation timed out'),2026-06-24 22:14:03
