person_id,person_name,relation_type,related_person_id,related_person_name,related_birth_year,related_death_year,related_bonkwan,related_father,related_count,evidence_url,detail_url
P000012,각해(覺海),조부,P048018,이핵(李翮),,,경주(慶州),이득견(李得堅),4명,http://db.itkc.or.kr/dir/item?grpId=hj,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000012
P000012,각해(覺海),부,P046563,이진(李瑱),1244,1321,경주(慶州),이핵(李翮),10명,http://thesaurus.itkc.or.kr/search/view?dataId=12050,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000012
P000012,각해(覺海),형제,P035934,이관(李琯),,,경주(慶州),이진(李瑱),8명,http://db.itkc.or.kr/dir/item?grpId=hj,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000012
P000012,각해(覺海),형제,P045616,이제현(李齊賢),1287,1367,경주(慶州),이진(李瑱),32명,http://thesaurus.itkc.or.kr/search/view?dataId=815,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000012
P000012,각해(覺海),형제,P046474,이지정(李之正),,,경주(慶州),이진(李瑱),6명,http://db.itkc.or.kr/dir/item?grpId=hj,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000012
P000013,각훈(覺訓),교유,P036465,이규보(李奎報),1168,1241,여주(驪州),이윤수(李允綏),21명,http://thesaurus.itkc.or.kr/search/view?dataId=14393,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000013
P000013,각훈(覺訓),교유,P044441,이인로(李仁老),1152,1220,인천(仁川),,7명,http://thesaurus.itkc.or.kr/search/view?dataId=14393,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000013
P000014,감경인(甘景仁),부,P000017,감예종(甘禮從),,,회산(檜山),,2명,https://encykorea.aks.ac.kr/Article/E0000689,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000014
P000015,감기현(甘麒鉉),증조부,P000016,감수운(甘守雲),,,회산(檜山),,1명,http://people.aks.ac.kr/front/dirSer/ppl/pplView.aks?pplId=PPL_6JOc_A1880_1_0017008,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000015
P000015,감기현(甘麒鉉),조부,P000020,감회정(甘檜廷),1759,1816,회산(檜山),감수운(甘守雲),2명,http://people.aks.ac.kr/front/dirSer/ppl/pplView.aks?pplId=PPL_6JOc_A1880_1_0017008,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000015
P000015,감기현(甘麒鉉),부,P000019,감재원(甘在元),1849,1920,회산(檜山),감회정(甘檜廷),4명,http://people.aks.ac.kr/front/dirSer/ppl/pplView.aks?pplId=PPL_6JOc_A1880_1_0017008,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000015
P000016,감수운(甘守雲),자,P000020,감회정(甘檜廷),1759,1816,회산(檜山),감수운(甘守雲),2명,http://people.aks.ac.kr/front/dirSer/ppl/pplView.aks?pplId=PPL_6JOc_A1880_1_0017008,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000016
P000017,감예종(甘禮從),자,P000014,감경인(甘景仁),1569,1648,회산(檜山),감예종(甘禮從),1명,https://encykorea.aks.ac.kr/Article/E0000689,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000017
P000017,감예종(甘禮從),장인,P017446,박종(朴宗),,,반남(潘南),,1명,https://encykorea.aks.ac.kr/Article/E0000689,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000017
P000019,감재원(甘在元),조부,P000016,감수운(甘守雲),,,회산(檜山),,1명,http://people.aks.ac.kr/front/dirSer/ppl/pplView.aks?pplId=PPL_6JOc_A1880_1_0017008,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000019
P000019,감재원(甘在元),부,P000020,감회정(甘檜廷),1759,1816,회산(檜山),감수운(甘守雲),2명,http://people.aks.ac.kr/front/dirSer/ppl/pplView.aks?pplId=PPL_6JOc_A1880_1_0017008,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000019
P000019,감재원(甘在元),자,P000015,감기현(甘麒鉉),1880,1964,회산(檜山),감재원(甘在元),3명,http://people.aks.ac.kr/front/dirSer/ppl/pplView.aks?pplId=PPL_6JOc_A1880_1_0017008,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000019
P000019,감재원(甘在元),장인,P026996,안중금(安中嶔),,,,,1명,http://people.aks.ac.kr/front/dirSer/ppl/pplView.aks?pplId=PPL_6JOc_A1880_1_0017008,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000019
P000020,감회정(甘檜廷),부,P000016,감수운(甘守雲),,,회산(檜山),,1명,http://people.aks.ac.kr/front/dirSer/ppl/pplView.aks?pplId=PPL_6JOc_A1880_1_0017008,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000020
P000020,감회정(甘檜廷),자,P000019,감재원(甘在元),1849,1920,회산(檜山),감회정(甘檜廷),4명,http://people.aks.ac.kr/front/dirSer/ppl/pplView.aks?pplId=PPL_6JOc_A1880_1_0017008,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000020
P000022,강각(姜恪),증조부,P000455,강억(姜億),1498,1554,진주(晉州),강징(姜澂),7명,http://people.aks.ac.kr/front/dirSer/ppl/pplView.aks?pplId=PPL_6JOb_A1620_1_0017011,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000022
P000022,강각(姜恪),조부,P000134,강덕서(姜德瑞),1540,1614,진주(晉州),강억(姜億),5명,http://people.aks.ac.kr/front/dirSer/ppl/pplView.aks?pplId=PPL_6JOb_A1620_1_0017011,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000022
P000022,강각(姜恪),부,P000607,강윤조(姜胤祖),1568,,진주(晉州),강덕서(姜德瑞),6명,http://people.aks.ac.kr/front/dirSer/ppl/pplView.aks?pplId=PPL_6JOb_A1620_1_0017011,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000022
P000022,강각(姜恪),자,P000250,강비(姜邳),,,진주(晉州),강각(姜恪),5명,http://db.itkc.or.kr/dir/item?grpId=hj,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000022
P000022,강각(姜恪),자,P000522,강우(姜鄅),1651,1720,진주(晉州),강각(姜恪),12명,http://db.itkc.or.kr/dir/item?grpId=hj,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000022
P000022,강각(姜恪),자,P000825,강찬(姜酇),1647,1729,진주(晉州),강각(姜恪),8명,http://db.itkc.or.kr/dir/item?grpId=hj,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000022
P000022,강각(姜恪),형제,P001025,강흡(姜洽),1602,1671,진주(晉州),강윤조(姜胤祖),9명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_SA_6JOb_1630_010027,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000022
P000022,강각(姜恪),장인,P065540,홍욱(洪勗),,,,,1명,https://encykorea.aks.ac.kr/Article/E0001433,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000022
P000024,강감찬(姜邯贊),부,P000069,강궁진(姜弓珍),,,금천(衿川),,1명,http://thesaurus.itkc.or.kr/search/view?dataId=14527,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000024
P000025,강개(姜漑),사위,P048667,이홍우(李弘宇),1535,1594,광주(光州),이수(李樹),5명,http://db.itkc.or.kr/dir/item?grpId=hj,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000025
P000026,강거례(康居禮),부,P000601,강윤리(康允釐),,,신천(信川),,1명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1477_001637,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000026
P000026,강거례(康居禮),자,P000837,강척(康惕),,,신천(信川),강거례(康居禮),5명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1477_001637,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000026
P000026,강거례(康居禮),사위,P010571,김지경(金之慶),1419,1485,선산(善山),김지(金地),7명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1439_000736,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000026
P000027,강거인(姜居仁),사위,P065286,홍식(洪湜),1449,1504,남양(南陽),홍귀해(洪貴海),6명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1483_001766,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000027
P000028,강거정(姜居正),사위,P044468,이인복(李仁復),1308,1374,성주(星州),이포(李褒),10명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_KM_5COc_1326_000856,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000028
P000029,강거충(姜居忠),자,P000365,강세창(姜世昌),,,진주(晉州),강거충(姜居忠),1명,http://thesaurus.itkc.or.kr/search/view?dataId=14523,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000029
P000030,강거효(姜居孝),증조부,P000994,강회백(姜淮伯),1357,1402,진주(晉州),강시(姜蓍),12명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1469_001489,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000030
P000030,강거효(姜居孝),조부,P000749,강종덕(姜宗德),,,진주(晉州),강회백(姜淮伯),7명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1469_001489,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000030
P000030,강거효(姜居孝),부,P000695,강자신(姜子愼),,,진주(晉州),강종덕(姜宗德),5명,https://encykorea.aks.ac.kr/Article/E0000959,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000030
P000030,강거효(姜居孝),사위,P001092,경세창(慶世昌),,,청주(淸州),경상(慶祥),6명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1494_001968,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000030
P000031,강건(姜鍵),증조부,P000859,강탁(姜𣝔),1740,,진주(晉州),강윤(姜潤),5명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_SA_6JOc_1786_026095,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000031
P000031,강건(姜鍵),조부,P000427,강시환(姜始煥),1761,1813,진주(晉州),강탁(姜𣝔),6명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1859_013234,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000031
P000031,강건(姜鍵),부,P000129,강대중(姜大重),,,진주(晉州),강시환(姜始煥),7명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1859_013234,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000031
P000031,강건(姜鍵),사위,P047450,이태상(李泰翔),1866,1938,고성(固城),이원명(李元䄙),5명,http://people.aks.ac.kr/front/dirSer/ppl/pplView.aks?pplId=PPL_6JOc_A1866_1_0022059,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000031
P000031,강건(姜鍵),장인,P008096,김양연(金養煙),,,,,1명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_UN_6JOc_9999_004354,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000031
P000031,강건(姜鍵),생부,P000871,강태중(姜泰重),1778,1862,진주(晉州),강시환(姜始煥),11명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1859_013234,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000031
P000032,강건(姜楗),교유,P003141,권연하(權璉夏),1813,1896,안동(安東),권재덕(權載德),19명,http://db.itkc.or.kr/dir/item?grpId=hj,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000032
P000032,강건(姜楗),교유,P005740,김도화(金道和),1825,1912,의성(義城),김약수(金若洙),26명,http://db.itkc.or.kr/dir/item?grpId=hj,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000032
P000032,강건(姜楗),교유,P037912,이만각(李晩慤),1815,1874,진보(眞寶),이휘운(李彙運),19명,http://db.itkc.or.kr/dir/item?grpId=hj,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000032
P000034,강견(姜涀),스승,P044133,이이(李珥),1536,1584,덕수(德水),이원수(李元秀),116명,http://thesaurus.itkc.or.kr/search/view?dataId=12264,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000034
P000035,강결(姜結),증조부,P000501,강영숙(姜永叔),,,진주(晉州),강형(姜詗),6명,http://thesaurus.itkc.or.kr/search/view?dataId=14542,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000035
P000035,강결(姜結),조부,P000509,강온(姜溫),1496,,진주(晉州),강영숙(姜永叔),8명,http://thesaurus.itkc.or.kr/search/view?dataId=12057,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000035
P000035,강결(姜結),부,P000257,강사상(姜士尙),1519,1581,진주(晉州),강온(姜溫),10명,http://thesaurus.itkc.or.kr/search/view?dataId=5105,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000035
P000035,강결(姜結),형제,P000272,강서(姜緖),1538,1589,진주(晉州),강사상(姜士尙),7명,https://encykorea.aks.ac.kr/Article/E0001195,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000035
P000035,강결(姜結),형제,P000671,강인(姜絪),1555,1634,진주(晉州),강사상(姜士尙),5명,http://thesaurus.itkc.or.kr/search/view?dataId=15431,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000035
P000035,강결(姜結),교유,P002652,권벽(權擘),1520,1593,안동(安東),권기(權祺),19명,http://thesaurus.itkc.or.kr/search/view?dataId=5105,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000035
P000036,강겸(姜謙),증조부,P000451,강안수(姜安壽),,,진주(晉州),강회중(姜淮仲),7명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1457_001099,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000036
P000036,강겸(姜謙),조부,P001013,강휘(姜徽),,,진주(晉州),강안수(姜安壽),7명,http://thesaurus.itkc.or.kr/search/view?dataId=15432,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000036
P000036,강겸(姜謙),부,P000698,강자정(姜子正),,,진주(晉州),강휘(姜徽),6명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1480_001715,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000036
P000036,강겸(姜謙),장인,P002063,구철경(具哲卿),,,,,1명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1480_001715,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000036
P000036,강겸(姜謙),생부,P000699,강자평(姜子平),1430,1486,진주(晉州),강휘(姜徽),11명,http://thesaurus.itkc.or.kr/search/view?dataId=4061,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000036
P000040,강경(康坰),교유,P008868,김원행(金元行),1702,1772,안동(安東),김숭겸(金崇謙),50명,http://db.itkc.or.kr/dir/item?itemId=BT,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000040
P000041,강경서(姜景敍),증조부,P000547,강원우(姜元佑),,,진주(晉州),,1명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1477_001664,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000041
P000041,강경서(姜景敍),조부,P000777,강중선(姜中善),,,진주(晉州),강원우(姜元佑),2명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1477_001664,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000041
P000041,강경서(姜景敍),부,P000407,강순민(姜舜民),,,진주(晉州),강중선(姜中善),4명,https://encykorea.aks.ac.kr/Article/E0000969,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000041
P000041,강경서(姜景敍),자,P000056,강공망(姜公望),,,진주(晉州),강경서(姜景敍),6명,http://thesaurus.itkc.or.kr/search/view?dataId=14339,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000041
P000041,강경서(姜景敍),사위,P021161,성희문(成希文),1477,1529,창녕(昌寧),성완(成玩),9명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1540_003052,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000041
P000041,강경서(姜景敍),장인,P016488,박숙창(朴叔暢),,,음성(陰城),박흔(朴昕),7명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1477_001664,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000041
P000041,강경서(姜景敍),스승,P010292,김종직(金宗直),1431,1492,선산(善山),김숙자(金叔滋),111명,http://thesaurus.itkc.or.kr/search/view?dataId=13331,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000041
P000043,강경선(康景善),증조부,P000837,강척(康惕),,,신천(信川),강거례(康居禮),5명,https://encykorea.aks.ac.kr/Article/E0001400,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000043
P000043,강경선(康景善),조부,P000778,강중진(康仲珍),1459,1520,신천(信川),강척(康惕),7명,http://db.itkc.or.kr/dir/item?grpId=hj,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000043
P000043,강경선(康景善),부,P000634,강의(康顗),,,신천(信川),강중진(康仲珍),7명,http://thesaurus.itkc.or.kr/search/view?dataId=12232,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000043
P000043,강경선(康景善),형제,P000582,강유선(康惟善),1520,1549,신천(信川),강의(康顗),8명,http://db.itkc.or.kr/dir/item?grpId=hj,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000043
P000046,강경흠(姜瓊欽),사위,P061728,하긍호(河兢鎬),1846,1928,진양(晉陽),하재원(河載源),4명,http://people.aks.ac.kr/front/dirSer/ppl/pplView.aks?pplId=PPL_6JOc_A1846_1_0022753,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000046
P000047,강계굉(姜繼肱),자,P000337,강세경(姜世卿),,,진주(晉州),강계굉(姜繼肱),2명,http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1583_004096,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000047
P000048,강계년(姜桂年),증조부,P000170,강린(姜璘),,,진주(晉州),,2명,http://db.itkc.or.kr/dir/item?grpId=hj,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000048
