person_id,person_name,relation_type,related_person_id,related_person_name,related_birth_year,related_death_year,related_bonkwan,related_father,related_count,evidence_url,detail_url
P000001,가일(可逸),교유,P050287,임춘(林椿),,,예천(醴泉),임광비(林光庇),10명,http://thesaurus.itkc.or.kr/search/view?dataId=14482,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000001
P000002,각겸(覺謙),교유,P002331,권근(權近),1352,1409,안동(安東),권희(權僖),46명,http://thesaurus.itkc.or.kr/search/view?dataId=3684,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000002
P000002,각겸(覺謙),교유,P020378,석나암(釋懶庵),,,,,1명,http://thesaurus.itkc.or.kr/search/view?dataId=3684,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000002
P000002,각겸(覺謙),교유,P039883,이색(李穡),1328,1396,한산(韓山),이곡(李穀),60명,http://thesaurus.itkc.or.kr/search/view?dataId=3684,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000002
P000002,각겸(覺謙),교유,P041362,이숭인(李崇仁),1347,1392,성주(星州),이원구(李元具),30명,http://thesaurus.itkc.or.kr/search/view?dataId=3684,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000002
P000002,각겸(覺謙),교유,P052117,정도전(鄭道傳),1342,1398,봉화(奉化),정운경(鄭云敬),14명,http://thesaurus.itkc.or.kr/search/view?dataId=3684,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000002
P000003,각굉(覺宏),스승,P064320,혜근(惠勤),1320,1376,,아서구(牙瑞具),12명,http://thesaurus.itkc.or.kr/search/view?dataId=12045,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000003
P000004,각성(覺性),교유,P024348,신익성(申翊聖),1588,1644,평산(平山),신흠(申欽),25명,http://db.itkc.or.kr/dir/item?itemId=BT,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000004
P000004,각성(覺性),스승,P020411,선수(善修),,,,,1명,https://encykorea.aks.ac.kr/Article/E0000457,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000004
P000004,각성(覺性),스승,P020450,설묵(雪黙),,,,,1명,http://db.itkc.or.kr/dir/item?itemId=BT,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000004
P000004,각성(覺性),제자,P020557,성능(性能),,,,,1명,https://encykorea.aks.ac.kr/Article/E0029247,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000004
P000004,각성(覺性),제자,P022882,수초(守初),1590,1668,창녕(昌寧),,2명,https://encykorea.aks.ac.kr/Article/E0031730,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000004
P000004,각성(覺性),제자,P035145,응준(應俊),1587,1672,남원(南原),,2명,https://encykorea.aks.ac.kr/Article/E0043100,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000004
P000004,각성(覺性),제자,P059459,처능(處能),1617,1680,,,2명,http://db.itkc.or.kr/dir/item?itemId=BT,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000004
P000005,각안(覺岸),부,P061153,최철(崔徹),,,경주(慶州),,1명,https://encykorea.aks.ac.kr/Article/E0000463,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000005
P000005,각안(覺岸),스승,P035162,의순(意洵),1786,1866,무안(務安),,2명,https://encykorea.aks.ac.kr/Article/E0043304,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000005
P000005,각안(覺岸),스승,P050486,자행(慈行),,,,,1명,https://encykorea.aks.ac.kr/Article/E0000463,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000005
P000005,각안(覺岸),제자,P019455,보헌(普憲),1825,1893,,,1명,https://encykorea.aks.ac.kr/Article/E0023599,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000005
P000005,각안(覺岸),제자,P021176,세원(世元),1824,1894,천안(天安),,2명,https://encykorea.aks.ac.kr/Article/E0029830,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000005
P000005,각안(覺岸),제자,P028258,예순(禮淳),,,,,2명,https://encykorea.aks.ac.kr/Article/E0000463,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000005
P000005,각안(覺岸),제자,P035144,응신(應信),1833,1894,,,1명,https://encykorea.aks.ac.kr/Article/E0043084,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000005
P000005,각안(覺岸),제자,P062042,학성(學性),1829,1886,,,1명,https://encykorea.aks.ac.kr/Article/E0060877,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000005
P000006,각연(覺演),교유,P020679,성석린(成石璘),1338,1423,창녕(昌寧),성여완(成汝完),15명,http://thesaurus.itkc.or.kr/search/view?dataId=12047,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000006
P000007,각우(覺玗),교유,P000009,각웅(覺雄),,,,,3명,http://thesaurus.itkc.or.kr/search/view?dataId=14508,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000007
P000007,각우(覺玗),스승,P064320,혜근(惠勤),1320,1376,,아서구(牙瑞具),12명,http://thesaurus.itkc.or.kr/search/view?dataId=14508,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000007
P000008,각운(覺雲),스승,P019448,보우(普愚),1301,1382,홍주(洪州),홍연(洪延),7명,https://encykorea.aks.ac.kr/Article/E0000474,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000008
P000008,각운(覺雲),스승,P028185,연온(衍昷),,,,,2명,http://thesaurus.itkc.or.kr/search/view?dataId=12048,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000008
P000008,각운(覺雲),제자,P013844,둔우(屯雨),1357,,,,4명,http://thesaurus.itkc.or.kr/search/view?dataId=4359,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000008
P000008,각운(覺雲),제자,P013875,만우(萬雨),1357,,,,2명,https://encykorea.aks.ac.kr/Article/E0000474,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000008
P000008,각운(覺雲),제자,P059465,천긍(天亘),,,,,1명,http://thesaurus.itkc.or.kr/search/view?dataId=11355,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000008
P000009,각웅(覺雄),교유,P000007,각우(覺玗),,,,,2명,http://thesaurus.itkc.or.kr/search/view?dataId=12053,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000009
P000009,각웅(覺雄),교유,P039883,이색(李穡),1328,1396,한산(韓山),이곡(李穀),60명,http://thesaurus.itkc.or.kr/search/view?dataId=12053,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000009
P000009,각웅(覺雄),스승,P064320,혜근(惠勤),1320,1376,,아서구(牙瑞具),12명,http://thesaurus.itkc.or.kr/search/view?dataId=12053,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000009
P000012,각해(覺海),증조부,P037680,이득견(李得堅),,,경주(慶州),이승고(李升高),2명,http://thesaurus.itkc.or.kr/search/view?dataId=1427,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000012
