scope,event_id,event_name,subject_category,period,event_date,person_count,related_event,detail_url
event_subject,ITKC_PH_1294A_0435,강동성전투,전쟁,고려,"1218년(고종 5) 12월
~ 1219년(고종 6) 1월",2,고려거란전쟁,https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0435
event_period,ITKC_PH_1294A_0435,강동성전투,전쟁,고려,"1218년(고종 5) 12월
~ 1219년(고종 6) 1월",2,고려거란전쟁,https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0435
event_period,ITKC_PH_1294A_0435,강동성전투,전쟁,고려,"1218년(고종 5) 12월
~ 1219년(고종 6) 1월",2,고려거란전쟁,https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0435
event_period,ITKC_PH_1294A_0436,거란의 항복,전쟁,고려,1219년(고종 6) 1월,2,고려거란전쟁,https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0436
event_period,ITKC_PH_1294A_0437,최충헌의 사망,정치인,고려,1219년(고종 6) 9월,4,최씨무인정권,https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0437
event_period,ITKC_PH_1294A_0438,의주적의 난,민란,고려,"1219년(고종 6) 10월
~ 1221년(고종 8) 3월",1,,https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0438
event_period,ITKC_PH_1294A_0439,이극인의 난,반란,고려,1224년(고종 11) 7월,3,최씨무인정권,https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0439
event_period,ITKC_PH_1294A_0440,금나라의 의주 침공,전쟁,고려,1226년(고종 13) 1월,0,,https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0440
event_period,ITKC_PH_1294A_0441,조영수의 난,"반란,

정치인",고려,1226년(고종 13) 5월,1,,https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0441
event_period,ITKC_PH_1294A_0442,강종의 교동 안치,"정치일반,

국왕",고려,1227년(고종 14) 3월,2,최씨무인정권,https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0442
event_period,ITKC_PH_1294A_0443,최향의 반란,반란,고려,1230년(고종 17) 7월,2,최씨무인정권,https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0443
event_period,ITKC_PH_1294A_0444,박서의 귀주성전투,전쟁,고려,"1231년(고종 18) 9월
~ 1231년(고종 18) 12월",1,고려의 대몽항쟁,https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0444
event_period,ITKC_PH_1294A_0335,고려 건국과 고려 태조,국왕,고려,918년(태조 1) 6월,10,,https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335
event_period,ITKC_PH_1294A_0336,혜종의 태자 책봉,세자,고려,921년(태조 4) 12월,3,,https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0336
event_period,ITKC_PH_1294A_0337,왕순식의 귀순,인물기타,고려,922년(태조 5) 7월,1,삼한통일전쟁,https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0337
