person_id,name,birth_year,death_year,bonkwan,ja,ho,father,related_count,detail_url
P000049,강계부(姜啓溥),1675,,진주(晉州),사함(士咸),,강석리(姜錫履),4명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000049
P000050,강계영(姜繼永),1829,1877,진주(晉州),성원(成元),죽포(竹圃),,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000050
P000051,강계영(姜桂永),1829,1903,진주(晉州),극중(極重),죽헌(竹軒),,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000051
P000052,강계오(姜繼吳),,,진주(晉州),,,강극명(姜克明),2명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000052
P000053,강계운(姜繼雲),,,진주(晉州),,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000053
P000054,강곤(康袞),1411,1484,신천(信川),,,,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000054
P000055,강공거(姜公擧),1689,1732,진주(晉州),"성해(聖海), 성직(聖直)",백석(栢石),강지후(姜志厚),6명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000055
P000056,강공망(姜公望),,,진주(晉州),,,강경서(姜景敍),6명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000056
P000057,강공준(姜公儁),,,,,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000057
P000058,강공헌(姜公憲),15??,1597,진주(晉州),중장(仲章),경재(敬齋),,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000058
P000059,강곽(姜漷),1716,1805,진주(晉州),진원(眞源),사옹(竢翁),강최일(姜最一),8명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000059
P000060,강관(姜琯),,,진주(晉州),"백옥(伯玉), 백옥(白玉)",,강안중(姜安重),3명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000060
P000061,강관(姜 ),1743,,진주(晉州),,,강세황(姜世晃),8명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000061
P000062,강교년(康喬年),1607,1638,신천(信川),만헌(萬獻),,강복룡(康伏龍),4명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000062
P000063,강교선(姜敎善),,,진주(晉州),,,강위(姜瑋),6명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000063
P000064,강구만(姜九萬),,,진주(晉州),,,,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000064
P000065,강구생(姜丘生),,,,,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000065
P000066,강국로(姜國老),,,진주(晉州),언수(彦叟),,강수원(姜秀元),2명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000066
P000067,강국흥(姜國興),,,진주(晉州),,,강사근(姜思近),2명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000067
P000068,강군보(姜君寶),,1380,진주(晉州),,,강창귀(姜昌貴),5명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000068
P000069,강궁진(姜弓珍),,,금천(衿川),,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000069
P000070,강권(康錈),,,신천(信川),,,강복성(康復誠),6명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000070
P000071,강귀손(姜龜孫),1450,1505,진주(晉州),용휴(用休),,강희맹(姜希孟),7명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000071
P000072,강귀수(姜龜秀),1846,,진주(晉州),우범(禹範),,강진(姜溍),5명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000072
P000073,강귀중(康貴中),16??,,신천(信川),이집(而執),,,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000073
P000074,강귀헌(姜貴獻),,,진주(晉州),,,강일(姜逸),2명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000074
P000075,강귀형(康貴亨),,,신천(信川),,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000075
P000076,강규(康逵),1714,1798,곡산(谷山),중홍(仲鴻),정전(井田),,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000076
P000077,강규(姜紏),1710,1780,진주(晉州),중직(仲直),,,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000077
P000078,강규(姜樛),1749,1810,진주(晉州),중량(仲樑),청강(淸江),강락(姜濼),4명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000078
P000079,강규(姜奎),,,진주(晉州),,,강신우(姜愼友),2명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000079
P000080,강규환(姜奎煥),1697,1731,진주(晉州),장문(長文),"비수재(賁需齋), 무유자(無有子), 존재(存齋), 남교주인(南橋主人)",강주천(姜柱天),17명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000080
P000081,강규환(姜圭煥),,,,,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000081
P000082,강균(姜均),,,진주(晉州),,,강홍윤(姜弘胤),3명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000082
P000083,강극간(姜克艮),,,진주(晉州),,,강오복(姜五福),9명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000083
P000084,강극검(姜克儉),,,진주(晉州),,,강오복(姜五福),15명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000084
P000085,강극공(姜克恭),,,진주(晉州),,,강오복(姜五福),9명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000085
P000086,강극명(姜克明),,,진주(晉州),,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000086
P000087,강극문(姜克文),,,진주(晉州),,,강혁(姜革),2명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000087
P000088,강극성(姜克誠),1526,1576,진주(晉州),백실(伯實),"취죽(醉竹), 보만당(保晩堂)",강복(姜復),7명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000088
P000089,강극신(姜克新),,,,경보(敬甫),,,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000089
P000090,강극양(姜克讓),,,진주(晉州),,,강오복(姜五福),10명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000090
