event_id,event_name,relation_type,person_id,person_name,source_urls
ITKC_PH_1294A_0435,강동성전투,사건인물,P009535,김인경(金仁鏡),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0435|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0435
ITKC_PH_1294A_0435,강동성전투,사건인물,P058283,조충(趙冲),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0435|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0435
ITKC_PH_1294A_0436,거란의 항복,사건인물,P011067,김취려(金就礪),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0436|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0436
ITKC_PH_1294A_0436,거란의 항복,사건인물,P058283,조충(趙冲),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0436|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0436
ITKC_PH_1294A_0437,최충헌의 사망,사건인물,P008037,김약선(金若先),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0437|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0437
ITKC_PH_1294A_0437,최충헌의 사망,사건인물,P060627,최우(崔瑀),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0437|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0437
ITKC_PH_1294A_0437,최충헌의 사망,사건인물,P061177,최충헌(崔忠獻),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0437|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0437
ITKC_PH_1294A_0437,최충헌의 사망,사건인물,P061303,최향(崔珦),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0437|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0437
ITKC_PH_1294A_0438,의주적의 난,사건인물,P035894,이공로(李公老),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0438|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0438
ITKC_PH_1294A_0439,이극인의 난,사건인물,P036595,이극인(李克仁),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0439|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0439
ITKC_PH_1294A_0439,이극인의 난,사건인물,P060627,최우(崔瑀),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0439|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0439
ITKC_PH_1294A_0439,이극인의 난,사건인물,P060695,최유공(崔愈恭),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0439|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0439
ITKC_PH_1294A_0441,조영수의 난,사건인물,P059027,진식(陳湜),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0441|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0441
ITKC_PH_1294A_0442,강종의 교동 안치,사건인물,P029226,"왕오(王祦)
강종(康宗)",https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0442|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0442
ITKC_PH_1294A_0442,강종의 교동 안치,사건인물,P060627,최우(崔瑀),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0442|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0442
ITKC_PH_1294A_0443,최향의 반란,사건인물,P060627,최우(崔瑀),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0443|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0443
ITKC_PH_1294A_0443,최향의 반란,사건인물,P061303,최향(崔珦),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0443|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0443
ITKC_PH_1294A_0444,박서의 귀주성전투,사건인물,P004558,김경손(金慶孫),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0444|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0444
ITKC_PH_1294A_0335,고려 건국과 고려 태조,사건인물,P001057,견훤(甄萱),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335
ITKC_PH_1294A_0335,고려 건국과 고려 태조,사건인물,P002130,궁예(弓裔),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335
ITKC_PH_1294A_0335,고려 건국과 고려 태조,사건인물,P013760,도선(道詵),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335
ITKC_PH_1294A_0335,고려 건국과 고려 태조,사건인물,P018819,배현경(裵玄慶),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335
ITKC_PH_1294A_0335,고려 건국과 고려 태조,사건인물,P019463,복지겸(卜智謙),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335
ITKC_PH_1294A_0335,고려 건국과 고려 태조,사건인물,P023966,신숭겸(申崇謙),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335
ITKC_PH_1294A_0335,고려 건국과 고려 태조,사건인물,P029137,"왕건(王建)
태조(太祖)",https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335
ITKC_PH_1294A_0335,고려 건국과 고려 태조,사건인물,P029166,"왕륭(王隆)
세조(世祖)",https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335
ITKC_PH_1294A_0335,고려 건국과 고려 태조,사건인물,P060763,최응(崔凝),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335
ITKC_PH_1294A_0335,고려 건국과 고려 태조,사건인물,P065576,홍유(洪儒),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0335
ITKC_PH_1294A_0336,혜종의 태자 책봉,사건인물,P029137,"왕건(王建)
태조(太祖)",https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0336|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0336
ITKC_PH_1294A_0336,혜종의 태자 책봉,사건인물,P029171,"왕무(王武)
혜종(惠宗)",https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0336|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0336
ITKC_PH_1294A_0336,혜종의 태자 책봉,사건인물,P051170,장화왕후(莊和王后),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0336|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0336
ITKC_PH_1294A_0337,왕순식의 귀순,사건인물,P029137,"왕건(王建)
태조(太祖)",https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0337|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0337
ITKC_PH_1294A_0338,발해의 멸망,사건인물,P013732,대조영(大祚榮),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0338|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0338
ITKC_PH_1294A_0339,공산전투〔公山戰鬪〕,사건인물,P001057,견훤(甄萱),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0339|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0339
ITKC_PH_1294A_0339,공산전투〔公山戰鬪〕,사건인물,P005889,김락(金樂),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0339|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0339
ITKC_PH_1294A_0339,공산전투〔公山戰鬪〕,사건인물,P006521,김부(金傅),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0339|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0339
ITKC_PH_1294A_0339,공산전투〔公山戰鬪〕,사건인물,P023966,신숭겸(申崇謙),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0339|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0339
ITKC_PH_1294A_0339,공산전투〔公山戰鬪〕,사건인물,P029137,"왕건(王建)
태조(太祖)",https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0339|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0339
ITKC_PH_1294A_0340,고창전투,사건인물,P001057,견훤(甄萱),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0340|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0340
ITKC_PH_1294A_0340,고창전투,사건인물,P003912,권행(權幸),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0340|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0340
ITKC_PH_1294A_0340,고창전투,사건인물,P007073,김선평(金宣平),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0340|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0340
ITKC_PH_1294A_0340,고창전투,사건인물,P029137,"왕건(王建)
태조(太祖)",https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0340|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0340
ITKC_PH_1294A_0340,고창전투,사건인물,P050994,장정필(張貞弼),https://db.itkc.or.kr/people/viewEvnt?gubun=evntcate&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0340|https://db.itkc.or.kr/people/viewEvnt?gubun=evntera&cate1=Z&cate2=&dataId=ITKC_PH_1294A_0340
