순번,이미지ID,제목,설명,작성자,시대,유형,분야,이미지출처,이용조건,키워드,관련콘텐츠,목록분류,목록요약,썸네일URL,원본이미지URL,저장이미지파일,상세요청URL
7,ki_010_00200,충북 제천 점말 동굴,"구석기시대 동굴 유적이다. 조선계 석회암지대에 형성되었으며 용두산 동남향 사면 중간쯤의 병풍바위 끝부분에 위치하고 있다. 발굴 조사 결과, 전기·중기·후기 구석기문화의 뚜렷한 3개의 문화층이 발달되어 있는 것으로 밝혀졌다. 이 동굴유적에서는 털코뿔이·동굴곰·짧은꼬리 원숭이 등의 동물화석 20종과 석기·뼈연모·예술품 및 식물화석 등 풍부한 고고학적 유물이 발견되었다. 2001년 충청북도 기념물 제116호로 지정되었다.",권순홍,"선사, 고조선, 부여, 삼한",유적>자연지물,정치,문화재청 국가문화유산포털,,"#구석기, #금굴, #기념물, #동굴유적, #동물화석, #식물화석, #제천점말동굴, #충청북도기념물, #화석",,"선사, 고조선, 부여, 삼한|유적>자연지물|정치","구석기시대 동굴 유적이다. 조선계 석회암지대에 형성되었으며 용두산 동남향 사면 중간쯤의 병풍바위 끝부분에 위치하고 있다. 발굴 조사 결과, 전기·중기·후기 구석기문화의 뚜렷한 3개의 문화층이 발달되어 있는 것으로 밝혀졌다. 이 동굴유적에서는 털코뿔이·동굴곰·짧은꼬리 원숭이 등의 동물화석 20종과 석기·뼈연모·예술품 및 식물화석 등 풍부한 고고학적 유물이 발견되었다. 2001년 충청북도 기념물 제116호로 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_010/ki_010_00200.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_010/ki_010_00200.jpg,한국사 이미지 자료\images\ki_010\ki_010_00200.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_010_00200&whereStr=
8,ki_010_00300,충북 단양 금굴,"구석기시대의 동굴 유적이다. 전기구석기부터 청동기시대에 이르는 거의 모든 시기의 유물층이 발견되어 각 문화층의 성격을 찾아볼 수 있다. 이 유적은 8개의 층위로 나누어지는데 외날찍개, 주먹도끼, 안팎날찍개 등의 도구가 아래로부터 차례로 발굴되었으며, 쌍코뿔소, 하이에나, 짧은꼬리원숭이, 너구리, 멧돼지 등의 짐승 화석도 발견되었다. 1994년 충청북도 기념물 제102호로 지정되었다.",권순홍,"선사, 고조선, 부여, 삼한",유적>자연지물,정치,문화재청 국가문화유산포털,,"#구석기, #단양금굴, #동굴유적, #청동기, #충청북도기념물, #화석",,"선사, 고조선, 부여, 삼한|유적>자연지물|정치","구석기시대의 동굴 유적이다. 전기구석기부터 청동기시대에 이르는 거의 모든 시기의 유물층이 발견되어 각 문화층의 성격을 찾아볼 수 있다. 이 유적은 8개의 층위로 나누어지는데 외날찍개, 주먹도끼, 안팎날찍개 등의 도구가 아래로부터 차례로 발굴되었으며, 쌍코뿔소, 하이에나, 짧은꼬리원숭이, 너구리, 멧돼지 등의 짐승 화석도 발견되었다. 1994년 충청북도 기념물 제102호로 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_010/ki_010_00300.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_010/ki_010_00300.jpg,한국사 이미지 자료\images\ki_010\ki_010_00300.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_010_00300&whereStr=
11,ki_010_00600,충북 단양 수양개 유적에서 출토된 긁개,"충청북도 단양 수양개 유적에서 출토된 구석기시대의 긁개이다. 길이 5.8cm, 너비 4.8cm, 두께 1.1cm이다. 긁개는 돌의 가장자리를 연속적으로 떼어내 직선날, 볼록날, 오목날을 가파르게 만든 석기이다. 가죽이나 나무를 다루는데 주로 사용되었을 것으로 추정된다.",권순홍,"선사, 고조선, 부여, 삼한",유물>생활용품,경제,e뮤지엄(국립청주박물관),,#긁개,,"선사, 고조선, 부여, 삼한|유물>생활용품|경제","충청북도 단양 수양개 유적에서 출토된 구석기시대의 긁개이다. 길이 5.8cm, 너비 4.8cm, 두께 1.1cm이다. 긁개는 돌의 가장자리를 연속적으로 떼어내 직선날, 볼록날, 오목날을 가파르게 만든 석기이다. 가죽이나 나무를 다루는데 주로 사용되었을 것으로 추정된다.",https://contents.history.go.kr/data/img/ki/ki_010/ki_010_00600.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_010/ki_010_00600.jpg,한국사 이미지 자료\images\ki_010\ki_010_00600.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_010_00600&whereStr=
18,ki_010_00800,강원 양양 오산리 신석기시대 유적,"신석기시대의 주거지 유적이다. 유적 가운데 A지구의 2·3·4호 주거지에서는 많은 생활 도구뿐만 아니라 석기작업을 위한 작업대, 석재, 석편들이 출토되었기 때문에 주거와 작업에 병행을 위한 시설로 추정되는 반면, 1·6·7·8호 주거지는 내부보다는 그 바깥이 작업공간으로 활용되었고, 주거지 내부는 잠자리와 식사를 위한 시설 혹은 저장 시설 등으로 추정된다. 1997년 사적 제394호로 지정되었다.",권순홍,"선사, 고조선, 부여, 삼한",유적>주거시설,사회,문화재청 국가문화유산포털,,"#사적, #신석기, #양양오산리유적, #저장시설, #주거지유적",양양 오산리 유적 (한국사 연대기) | https://contents.history.go.kr/id/kc_r000600,"선사, 고조선, 부여, 삼한|유적>주거시설|사회","신석기시대의 주거지 유적이다. 유적 가운데 A지구의 2·3·4호 주거지에서는 많은 생활 도구뿐만 아니라 석기작업을 위한 작업대, 석재, 석편들이 출토되었기 때문에 주거와 작업에 병행을 위한 시설로 추정되는 반면, 1·6·7·8호 주거지는 내부보다는 그 바깥이 작업공간으로 활용되었고, 주거지 내부는 잠자리와 식사를 위한 시설 혹은 저장 시설 등으로 추정된다. 1997년 사적 제394호로 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_010/ki_010_00800.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_010/ki_010_00800.jpg,한국사 이미지 자료\images\ki_010\ki_010_00800.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_010_00800&whereStr=
19,ki_010_00900,강원 양양 오산리 신석기시대 복원 움집,"신석기시대의 주거지 유적이다. 형태는 모두 원형에 가까운 지상 가옥이며, 바닥은 3∼10㎝ 두께로 잔자갈이 섞인 점토를 여러 겹 다져 만들었다. 화덕자리는 대부분 주거지 중앙에 한 개씩 만들었고, 주거지 내부 중앙에 기둥을 받쳤던 것으로 보이는 받침돌이 발견되기도 하였다. 주거지의 크기는 대체로 10㎡ 내외이지만, 30㎡가 넘은 넓은 크기도 있었다.",권순홍,"선사, 고조선, 부여, 삼한",유적>주거시설,사회,문화재청 국가문화유산포털,,"#사적, #신석기, #양양오산리유적, #점토, #주거지유적, #지상가옥, #화덕",양양 오산리 유적 (한국사 연대기) | https://contents.history.go.kr/id/kc_r000600,"선사, 고조선, 부여, 삼한|유적>주거시설|사회","신석기시대의 주거지 유적이다. 형태는 모두 원형에 가까운 지상 가옥이며, 바닥은 3∼10㎝ 두께로 잔자갈이 섞인 점토를 여러 겹 다져 만들었다. 화덕자리는 대부분 주거지 중앙에 한 개씩 만들었고, 주거지 내부 중앙에 기둥을 받쳤던 것으로 보이는 받침돌이 발견되기도 하였다. 주거지의 크기는 대체로 10㎡ 내외이지만, 30㎡가 넘은 넓은 크기도 있었다.",https://contents.history.go.kr/data/img/ki/ki_010/ki_010_00900.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_010/ki_010_00900.jpg,한국사 이미지 자료\images\ki_010\ki_010_00900.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_010_00900&whereStr=
20,ki_010_01000,강원 양양 오산리 출토 덧무늬토기,"덧무늬토기는 한국 신석기시대의 가장 이른 시기로 편년 되는 토기이다. 융기문토기라고도 불리며, 그릇의 표면에 점토 띠를 덧붙여 각종 문양 효과를 나타낸 것이다. 사진의 토기는 구연부와 평행한 여섯 개의 점토 띠가 둘려 있다. 전체적인 형상이 발형이고, 밑바닥이 평저로, 덧무늬토기의 전형에 가깝다. 덧무늬토기는 주로 남해안 지역에서 많이 출토되지만, 강원 양양 오산리 유적 역시 덧무늬토기가 출토되는 대표적인 유적 가운데 하나이다.",권순홍,"선사, 고조선, 부여, 삼한",유물>생활용품,사회,문화재청 국가문화유산포털,,"#덧무늬토기, #사적, #신석기, #양양오산리유적, #융기문토기, #점토띠",양양 오산리 유적 (한국사 연대기) | https://contents.history.go.kr/id/kc_r000600,"선사, 고조선, 부여, 삼한|유물>생활용품|사회","덧무늬토기는 한국 신석기시대의 가장 이른 시기로 편년 되는 토기이다. 융기문토기라고도 불리며, 그릇의 표면에 점토 띠를 덧붙여 각종 문양 효과를 나타낸 것이다. 사진의 토기는 구연부와 평행한 여섯 개의 점토 띠가 둘려 있다. 전체적인 형상이 발형이고, 밑바닥이 평저로, 덧무늬토기의 전형에 가깝다. 덧무늬토기는 주로 남해안 지역에서 많이 출토되지만, 강원 양양 오산리 유적 역시 덧무늬토기가 출토되는 대표적인 유적 가운데 하나이다.",https://contents.history.go.kr/data/img/ki/ki_010/ki_010_01000.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_010/ki_010_01000.jpg,한국사 이미지 자료\images\ki_010\ki_010_01000.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_010_01000&whereStr=
21,ki_010_01100,강원 양양 오산리 출토 조합식 어구,"신석기시대 어렵에 사용되었던 어구 유물이다. 전면을 갈아서 만든 조합식 어구는 기둥의 아랫부분이 새 부리처럼 약간 휘어져 있어, 사진의 맨 오른쪽과 같이, 이 부분에 동물의 뼛조각으로 만든 침을 결합해 낚싯바늘로 사용하였다. 침과의 연결 부분은 접착면을 넓히기 위하여 편평하게 갈았으며, 기둥의 윗부분에는 한 줄 혹은 두 줄의 홈을 파 낚싯줄을 묶기 쉽게 하였다.",권순홍,"선사, 고조선, 부여, 삼한",유적>자연지물,경제,문화재청 국가문화유산포털,,"#사적, #신석기, #양양오산리출토조합식어구, #어구유물, #어렵",양양 오산리 유적 (한국사 연대기) | https://contents.history.go.kr/id/kc_r000600,"선사, 고조선, 부여, 삼한|유적>자연지물|경제","신석기시대 어렵에 사용되었던 어구 유물이다. 전면을 갈아서 만든 조합식 어구는 기둥의 아랫부분이 새 부리처럼 약간 휘어져 있어, 사진의 맨 오른쪽과 같이, 이 부분에 동물의 뼛조각으로 만든 침을 결합해 낚싯바늘로 사용하였다. 침과의 연결 부분은 접착면을 넓히기 위하여 편평하게 갈았으며, 기둥의 윗부분에는 한 줄 혹은 두 줄의 홈을 파 낚싯줄을 묶기 쉽게 하였다.",https://contents.history.go.kr/data/img/ki/ki_010/ki_010_01100.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_010/ki_010_01100.jpg,한국사 이미지 자료\images\ki_010\ki_010_01100.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_010_01100&whereStr=
22,ki_010_01200,강원 양양 오산리 출토 흙으로 빚은 얼굴상,"둥근 점토판을 손가락으로 꾹꾹 눌러 사람의 얼굴 모양을 표현하였다. 신석기시대의 얼굴상은 대체로 3개의 구멍으로 표현되는데, 오산리에서 출토된 유물의 경우, 5개의 구멍으로 두 개의 눈과 두 개의 콧구멍 그리고 입을 표현하였다. 얼굴상은 재액으로부터의 보호와 축원을 바라는 일종의 신앙적 용도였을 것으로 보인다.",권순홍,"선사, 고조선, 부여, 삼한",유물>공예,문화,문화재청 국가문화유산포털,,"#사적, #신석기, #양양오산리유적, #인면상, #토제인면상",양양 오산리 유적 (한국사 연대기) | https://contents.history.go.kr/id/kc_r000600,"선사, 고조선, 부여, 삼한|유물>공예|문화","둥근 점토판을 손가락으로 꾹꾹 눌러 사람의 얼굴 모양을 표현하였다. 신석기시대의 얼굴상은 대체로 3개의 구멍으로 표현되는데, 오산리에서 출토된 유물의 경우, 5개의 구멍으로 두 개의 눈과 두 개의 콧구멍 그리고 입을 표현하였다. 얼굴상은 재액으로부터의 보호와 축원을 바라는 일종의 신앙적 용도였을 것으로 보인다.",https://contents.history.go.kr/data/img/ki/ki_010/ki_010_01200.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_010/ki_010_01200.jpg,한국사 이미지 자료\images\ki_010\ki_010_01200.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_010_01200&whereStr=
30,ki_010_01800,충북 청주 산성동 유적에서 출토된 가락바퀴,"충청북도 청주 산성동 유적에서 출토된 신석기시대의 가락바퀴(방추차)이다. 지름 5.4cm, 두께 2.6cm이고, 표면에 점무늬가 베풀어져 있다. 가락바퀴는 중심부의 구멍에 가락(둥근 막대)을 끼워 넣고 동식물로부터 얻은 섬유를 회전시키며 꼬아서 실을 얻는다. 신석기시대의 가락바퀴는 대부분 토제품이지만, 청동기시대 이후에는 돌로 만들어지기도 한다.",권순홍,"선사, 고조선, 부여, 삼한",유물>생활용품,경제,e뮤지엄(국립청주박물관),,"#가락바퀴, #방추차",,"선사, 고조선, 부여, 삼한|유물>생활용품|경제","충청북도 청주 산성동 유적에서 출토된 신석기시대의 가락바퀴(방추차)이다. 지름 5.4cm, 두께 2.6cm이고, 표면에 점무늬가 베풀어져 있다. 가락바퀴는 중심부의 구멍에 가락(둥근 막대)을 끼워 넣고 동식물로부터 얻은 섬유를 회전시키며 꼬아서 실을 얻는다. 신석기시대의 가락바퀴는 대부분 토제품이지만, 청동기시대 이후에는 돌로 만들어지기도 한다.",https://contents.history.go.kr/data/img/ki/ki_010/ki_010_01800.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_010/ki_010_01800.jpg,한국사 이미지 자료\images\ki_010\ki_010_01800.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_010_01800&whereStr=
37,ki_010_02000,연천 학곡리 고인돌,"청동기시대의 고인돌 유적이다. 연천 학곡리에는 임진강을 따라 5기의 고인돌이 분포하며, 사진의 고인돌은 그중 1호 고인돌이다. 이른바 북방식 혹은 탁자식 고인돌의 형태이다. 덮개돌의 재질은 현무암이고, 그 가장자리에는 손질한 흔적이 뚜렷하며 평면 형태는 약간 각이 진 육각형이다. 덮개돌의 윗면에는 지름 7㎝쯤 되는 홈 구멍이 10여 개 파여 있다. 고임돌은 재질이 서로 다른데, 남쪽(사진의 오른쪽)은 현무암이고, 북쪽(사진의 왼쪽)은 변성암 계통이다. 1996년 경기도 기념물 제158호로 지정되었다.",권순홍,"선사, 고조선, 부여, 삼한",유적>무덤,문화,문화재청 국가문화유산포털,,"#경기도기념물, #고인돌, #기념물, #북방식고인돌, #연천학곡리고인돌, #임진강, #청동기, #탁자식고인돌, #현무암",,"선사, 고조선, 부여, 삼한|유적>무덤|문화","청동기시대의 고인돌 유적이다. 연천 학곡리에는 임진강을 따라 5기의 고인돌이 분포하며, 사진의 고인돌은 그중 1호 고인돌이다. 이른바 북방식 혹은 탁자식 고인돌의 형태이다. 덮개돌의 재질은 현무암이고, 그 가장자리에는 손질한 흔적이 뚜렷하며 평면 형태는 약간 각이 진 육각형이다. 덮개돌의 윗면에는 지름 7㎝쯤 되는 홈 구멍이 10여 개 파여 있다. 고임돌은 재질이 서로 다른데, 남쪽(사진의 오른쪽)은 현무암이고, 북쪽(사진의 왼쪽)은 변성암 계통이다. 1996년 경기도 기념물 제158호로 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_010/ki_010_02000.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_010/ki_010_02000.jpg,한국사 이미지 자료\images\ki_010\ki_010_02000.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_010_02000&whereStr=
