round_no,recent5_rounds,source,rank,label,count,ratio
71,66~70,recent5_actual,1,개항기 + 사건,22,0.088
71,66~70,recent5_actual,2,조선 + 인물,18,0.072
71,66~70,recent5_actual,3,고려 + 사건,17,0.068
71,66~70,recent5_actual,4,일제 강점기 + 사건,16,0.064
71,66~70,recent5_actual,5,현대 + 사건,15,0.06
71,66~70,predicted,1,일제 강점기 + 사건,4,0.08
71,66~70,predicted,2,일제 강점기 + 정치,4,0.08
71,66~70,predicted,3,고려 + 사건,3,0.06
71,66~70,predicted,4,조선 + 인물,3,0.06
71,66~70,predicted,5,개항기 + 사건,3,0.06
71,66~70,actual,1,개항기 + 사건,4,0.08
71,66~70,actual,2,일제 강점기 + 사건,4,0.08
71,66~70,actual,3,조선 + 사건,3,0.06
71,66~70,actual,4,조선 + 정치,3,0.06
71,66~70,actual,5,일제 강점기 + 정치,3,0.06
72,67~71,recent5_actual,1,개항기 + 사건,21,0.084
72,67~71,recent5_actual,2,일제 강점기 + 사건,17,0.068
72,67~71,recent5_actual,3,고려 + 사건,16,0.064
72,67~71,recent5_actual,4,조선 + 인물,14,0.056
72,67~71,recent5_actual,5,조선 + 제도,13,0.052
72,67~71,predicted,1,개항기 + 사건,6,0.12
72,67~71,predicted,2,조선 + 인물,5,0.1
72,67~71,predicted,3,일제 강점기 + 정치,4,0.08
72,67~71,predicted,4,고려 + 인물,3,0.06
72,67~71,predicted,5,조선 + 제도,3,0.06
72,67~71,actual,1,개항기 + 사건,5,0.1
72,67~71,actual,2,고려 + 정치,4,0.08
72,67~71,actual,3,조선 + 인물,4,0.08
72,67~71,actual,4,일제 강점기 + 정치,4,0.08
72,67~71,actual,5,조선 + 정치,3,0.06
73,68~72,recent5_actual,1,개항기 + 사건,22,0.088
73,68~72,recent5_actual,2,조선 + 인물,16,0.064
73,68~72,recent5_actual,3,일제 강점기 + 사건,15,0.06
73,68~72,recent5_actual,4,일제 강점기 + 정치,14,0.056
73,68~72,recent5_actual,5,고려 + 정치,13,0.052
73,68~72,predicted,1,개항기 + 사건,6,0.12
73,68~72,predicted,2,일제 강점기 + 사건,5,0.1
73,68~72,predicted,3,현대 + 사건,4,0.08
73,68~72,predicted,4,고려 + 사건,3,0.06
73,68~72,predicted,5,조선 + 인물,3,0.06
73,68~72,actual,1,개항기 + 사건,5,0.1
73,68~72,actual,2,일제 강점기 + 사건,5,0.1
73,68~72,actual,3,고려 + 정치,4,0.08
73,68~72,actual,4,조선 + 인물,4,0.08
73,68~72,actual,5,삼국 시대 + 정치,3,0.06
74,69~73,recent5_actual,1,개항기 + 사건,22,0.088
74,69~73,recent5_actual,2,조선 + 인물,17,0.068
74,69~73,recent5_actual,3,일제 강점기 + 사건,16,0.064
74,69~73,recent5_actual,4,일제 강점기 + 정치,15,0.06
74,69~73,recent5_actual,5,고려 + 정치,14,0.056
74,69~73,predicted,1,일제 강점기 + 정치,6,0.12
74,69~73,predicted,2,개항기 + 사건,5,0.1
74,69~73,predicted,3,현대 + 사건,4,0.08
74,69~73,predicted,4,고려 + 사건,3,0.06
74,69~73,predicted,5,조선 + 사건,3,0.06
74,69~73,actual,1,개항기 + 사건,4,0.08
74,69~73,actual,2,일제 강점기 + 정치,4,0.08
74,69~73,actual,3,현대 + 사건,4,0.08
74,69~73,actual,4,고려 + 사건,3,0.06
74,69~73,actual,5,조선 + 정치,3,0.06
75,70~74,recent5_actual,1,개항기 + 사건,22,0.088
75,70~74,recent5_actual,2,일제 강점기 + 사건,17,0.068
75,70~74,recent5_actual,3,일제 강점기 + 정치,16,0.064
75,70~74,recent5_actual,4,조선 + 인물,15,0.06
75,70~74,recent5_actual,5,고려 + 정치,14,0.056
75,70~74,predicted,1,조선 + 사건,4,0.08
75,70~74,predicted,2,일제 강점기 + 사건,4,0.08
75,70~74,predicted,3,일제 강점기 + 정치,4,0.08
75,70~74,predicted,4,고려 + 사건,3,0.06
75,70~74,predicted,5,현대 + 정치,3,0.06
75,70~74,actual,1,고려 + 사건,4,0.08
75,70~74,actual,2,조선 + 사건,4,0.08
75,70~74,actual,3,일제 강점기 + 사건,4,0.08
75,70~74,actual,4,삼국 시대 + 정치,3,0.06
75,70~74,actual,5,개항기 + 사건,3,0.06
76,71~75,recent5_actual,1,개항기 + 사건,21,0.084
76,71~75,recent5_actual,2,일제 강점기 + 사건,17,0.068
76,71~75,recent5_actual,3,일제 강점기 + 정치,16,0.064
76,71~75,recent5_actual,4,현대 + 사건,15,0.06
76,71~75,recent5_actual,5,조선 + 사건,13,0.052
76,71~75,predicted,1,조선 + 사건,5,0.1
76,71~75,predicted,2,조선 + 인물,4,0.08
76,71~75,predicted,3,일제 강점기 + 정치,4,0.08
76,71~75,predicted,4,고려 + 사건,3,0.06
76,71~75,predicted,5,조선 + 제도,3,0.06
76,71~75,actual,1,개항기 + 사건,4,0.08
76,71~75,actual,2,일제 강점기 + 사건,4,0.08
76,71~75,actual,3,고려 + 사건,3,0.06
76,71~75,actual,4,조선 + 사건,3,0.06
76,71~75,actual,5,조선 + 인물,3,0.06
77,72~76,recent5_actual,1,개항기 + 사건,21,0.084
77,72~76,recent5_actual,2,일제 강점기 + 사건,17,0.068
77,72~76,recent5_actual,3,조선 + 인물,15,0.06
77,72~76,recent5_actual,4,일제 강점기 + 정치,15,0.06
77,72~76,recent5_actual,5,현대 + 사건,15,0.06
77,72~76,predicted,1,일제 강점기 + 사건,5,0.1
77,72~76,predicted,2,고려 + 인물,3,0.06
77,72~76,predicted,3,조선 + 제도,3,0.06
77,72~76,predicted,4,조선 + 인물,3,0.06
77,72~76,predicted,5,조선 + 사건,3,0.06
77,72~76,actual,1,고려 + 인물,4,0.08
77,72~76,actual,2,개항기 + 사건,4,0.08
77,72~76,actual,3,일제 강점기 + 정치,4,0.08
77,72~76,actual,4,조선 + 정치,3,0.06
77,72~76,actual,5,삼국 시대 + 인물,2,0.04
78,73~77,recent5_actual,1,개항기 + 사건,20,0.08
78,73~77,recent5_actual,2,일제 강점기 + 사건,18,0.072
78,73~77,recent5_actual,3,일제 강점기 + 정치,15,0.06
78,73~77,recent5_actual,4,현대 + 사건,14,0.056
78,73~77,recent5_actual,5,조선 + 인물,13,0.052
78,73~77,predicted,1,개항기 + 사건,5,0.1
78,73~77,predicted,2,고려 + 인물,4,0.08
78,73~77,predicted,3,조선 + 사건,3,0.06
78,73~77,predicted,4,조선 + 제도,3,0.06
78,73~77,predicted,5,현대 + 사건,3,0.06
78,73~77,actual,1,고려 + 인물,4,0.08
78,73~77,actual,2,개항기 + 사건,4,0.08
78,73~77,actual,3,일제 강점기 + 사건,4,0.08
78,73~77,actual,4,현대 + 사건,4,0.08
78,73~77,actual,5,조선 + 사건,3,0.06
