round_no,recent5_rounds,recent5_actual_top5,predicted_top5,actual_top5,pred_actual_top5_overlap,recent5_actual_top5_overlap,pred_recent5_top5_overlap,test_size
71,66~70,"1. 개항기 + 사건 (22, 8.8%)<br>2. 조선 + 인물 (18, 7.2%)<br>3. 고려 + 사건 (17, 6.8%)<br>4. 일제 강점기 + 사건 (16, 6.4%)<br>5. 현대 + 사건 (15, 6.0%)","1. 일제 강점기 + 사건 (4, 8.0%)<br>2. 일제 강점기 + 정치 (4, 8.0%)<br>3. 고려 + 사건 (3, 6.0%)<br>4. 조선 + 인물 (3, 6.0%)<br>5. 개항기 + 사건 (3, 6.0%)","1. 개항기 + 사건 (4, 8.0%)<br>2. 일제 강점기 + 사건 (4, 8.0%)<br>3. 조선 + 사건 (3, 6.0%)<br>4. 조선 + 정치 (3, 6.0%)<br>5. 일제 강점기 + 정치 (3, 6.0%)",3,2,4,50
72,67~71,"1. 개항기 + 사건 (21, 8.4%)<br>2. 일제 강점기 + 사건 (17, 6.8%)<br>3. 고려 + 사건 (16, 6.4%)<br>4. 조선 + 인물 (14, 5.6%)<br>5. 조선 + 제도 (13, 5.2%)","1. 개항기 + 사건 (6, 12.0%)<br>2. 조선 + 인물 (5, 10.0%)<br>3. 일제 강점기 + 정치 (4, 8.0%)<br>4. 고려 + 인물 (3, 6.0%)<br>5. 조선 + 제도 (3, 6.0%)","1. 개항기 + 사건 (5, 10.0%)<br>2. 고려 + 정치 (4, 8.0%)<br>3. 조선 + 인물 (4, 8.0%)<br>4. 일제 강점기 + 정치 (4, 8.0%)<br>5. 조선 + 정치 (3, 6.0%)",3,2,3,50
73,68~72,"1. 개항기 + 사건 (22, 8.8%)<br>2. 조선 + 인물 (16, 6.4%)<br>3. 일제 강점기 + 사건 (15, 6.0%)<br>4. 일제 강점기 + 정치 (14, 5.6%)<br>5. 고려 + 정치 (13, 5.2%)","1. 개항기 + 사건 (6, 12.0%)<br>2. 일제 강점기 + 사건 (5, 10.0%)<br>3. 현대 + 사건 (4, 8.0%)<br>4. 고려 + 사건 (3, 6.0%)<br>5. 조선 + 인물 (3, 6.0%)","1. 개항기 + 사건 (5, 10.0%)<br>2. 일제 강점기 + 사건 (5, 10.0%)<br>3. 고려 + 정치 (4, 8.0%)<br>4. 조선 + 인물 (4, 8.0%)<br>5. 삼국 시대 + 정치 (3, 6.0%)",3,4,3,50
74,69~73,"1. 개항기 + 사건 (22, 8.8%)<br>2. 조선 + 인물 (17, 6.8%)<br>3. 일제 강점기 + 사건 (16, 6.4%)<br>4. 일제 강점기 + 정치 (15, 6.0%)<br>5. 고려 + 정치 (14, 5.6%)","1. 일제 강점기 + 정치 (6, 12.0%)<br>2. 개항기 + 사건 (5, 10.0%)<br>3. 현대 + 사건 (4, 8.0%)<br>4. 고려 + 사건 (3, 6.0%)<br>5. 조선 + 사건 (3, 6.0%)","1. 개항기 + 사건 (4, 8.0%)<br>2. 일제 강점기 + 정치 (4, 8.0%)<br>3. 현대 + 사건 (4, 8.0%)<br>4. 고려 + 사건 (3, 6.0%)<br>5. 조선 + 정치 (3, 6.0%)",4,2,2,50
75,70~74,"1. 개항기 + 사건 (22, 8.8%)<br>2. 일제 강점기 + 사건 (17, 6.8%)<br>3. 일제 강점기 + 정치 (16, 6.4%)<br>4. 조선 + 인물 (15, 6.0%)<br>5. 고려 + 정치 (14, 5.6%)","1. 조선 + 사건 (4, 8.0%)<br>2. 일제 강점기 + 사건 (4, 8.0%)<br>3. 일제 강점기 + 정치 (4, 8.0%)<br>4. 고려 + 사건 (3, 6.0%)<br>5. 현대 + 정치 (3, 6.0%)","1. 고려 + 사건 (4, 8.0%)<br>2. 조선 + 사건 (4, 8.0%)<br>3. 일제 강점기 + 사건 (4, 8.0%)<br>4. 삼국 시대 + 정치 (3, 6.0%)<br>5. 개항기 + 사건 (3, 6.0%)",3,2,2,50
76,71~75,"1. 개항기 + 사건 (21, 8.4%)<br>2. 일제 강점기 + 사건 (17, 6.8%)<br>3. 일제 강점기 + 정치 (16, 6.4%)<br>4. 현대 + 사건 (15, 6.0%)<br>5. 조선 + 사건 (13, 5.2%)","1. 조선 + 사건 (5, 10.0%)<br>2. 조선 + 인물 (4, 8.0%)<br>3. 일제 강점기 + 정치 (4, 8.0%)<br>4. 고려 + 사건 (3, 6.0%)<br>5. 조선 + 제도 (3, 6.0%)","1. 개항기 + 사건 (4, 8.0%)<br>2. 일제 강점기 + 사건 (4, 8.0%)<br>3. 고려 + 사건 (3, 6.0%)<br>4. 조선 + 사건 (3, 6.0%)<br>5. 조선 + 인물 (3, 6.0%)",3,3,2,50
77,72~76,"1. 개항기 + 사건 (21, 8.4%)<br>2. 일제 강점기 + 사건 (17, 6.8%)<br>3. 조선 + 인물 (15, 6.0%)<br>4. 일제 강점기 + 정치 (15, 6.0%)<br>5. 현대 + 사건 (15, 6.0%)","1. 일제 강점기 + 사건 (5, 10.0%)<br>2. 고려 + 인물 (3, 6.0%)<br>3. 조선 + 제도 (3, 6.0%)<br>4. 조선 + 인물 (3, 6.0%)<br>5. 조선 + 사건 (3, 6.0%)","1. 고려 + 인물 (4, 8.0%)<br>2. 개항기 + 사건 (4, 8.0%)<br>3. 일제 강점기 + 정치 (4, 8.0%)<br>4. 조선 + 정치 (3, 6.0%)<br>5. 삼국 시대 + 인물 (2, 4.0%)",1,2,2,50
78,73~77,"1. 개항기 + 사건 (20, 8.0%)<br>2. 일제 강점기 + 사건 (18, 7.2%)<br>3. 일제 강점기 + 정치 (15, 6.0%)<br>4. 현대 + 사건 (14, 5.6%)<br>5. 조선 + 인물 (13, 5.2%)","1. 개항기 + 사건 (5, 10.0%)<br>2. 고려 + 인물 (4, 8.0%)<br>3. 조선 + 사건 (3, 6.0%)<br>4. 조선 + 제도 (3, 6.0%)<br>5. 현대 + 사건 (3, 6.0%)","1. 고려 + 인물 (4, 8.0%)<br>2. 개항기 + 사건 (4, 8.0%)<br>3. 일제 강점기 + 사건 (4, 8.0%)<br>4. 현대 + 사건 (4, 8.0%)<br>5. 조선 + 사건 (3, 6.0%)",4,3,2,50
