round_no,recent5_rounds,source,rank,label,topic_top,label_with_topic,count,ratio
71,66~70,recent5_actual,1,개항기 + 사건,사건 22,개항기 + 사건 (사건 22),22,0.088
71,66~70,recent5_actual,2,조선 + 인물,인물 18,조선 + 인물 (인물 18),18,0.072
71,66~70,recent5_actual,3,고려 + 사건,"사건 16, 군사 1","고려 + 사건 (사건 16, 군사 1)",17,0.068
71,66~70,recent5_actual,4,일제 강점기 + 사건,사건 16,일제 강점기 + 사건 (사건 16),16,0.064
71,66~70,recent5_actual,5,현대 + 사건,사건 15,현대 + 사건 (사건 15),15,0.06
71,66~70,predicted,1,일제 강점기 + 사건,사건 4,일제 강점기 + 사건 (사건 4),4,0.08
71,66~70,predicted,2,일제 강점기 + 정치,"정치 3, 군사 1","일제 강점기 + 정치 (정치 3, 군사 1)",4,0.08
71,66~70,predicted,3,고려 + 사건,사건 3,고려 + 사건 (사건 3),3,0.06
71,66~70,predicted,4,조선 + 인물,인물 3,조선 + 인물 (인물 3),3,0.06
71,66~70,predicted,5,개항기 + 사건,사건 3,개항기 + 사건 (사건 3),3,0.06
71,66~70,actual,1,개항기 + 사건,사건 4,개항기 + 사건 (사건 4),4,0.08
71,66~70,actual,2,일제 강점기 + 사건,사건 4,일제 강점기 + 사건 (사건 4),4,0.08
71,66~70,actual,3,조선 + 사건,사건 3,조선 + 사건 (사건 3),3,0.06
71,66~70,actual,4,조선 + 정치,"정치 2, 사회 1","조선 + 정치 (정치 2, 사회 1)",3,0.06
71,66~70,actual,5,일제 강점기 + 정치,"정치 2, 군사 1","일제 강점기 + 정치 (정치 2, 군사 1)",3,0.06
72,67~71,recent5_actual,1,개항기 + 사건,사건 21,개항기 + 사건 (사건 21),21,0.084
72,67~71,recent5_actual,2,일제 강점기 + 사건,사건 17,일제 강점기 + 사건 (사건 17),17,0.068
72,67~71,recent5_actual,3,고려 + 사건,"사건 14, 군사 1, 사회 1","고려 + 사건 (사건 14, 군사 1, 사회 1)",16,0.064
72,67~71,recent5_actual,4,조선 + 인물,인물 14,조선 + 인물 (인물 14),14,0.056
72,67~71,recent5_actual,5,조선 + 제도,제도 13,조선 + 제도 (제도 13),13,0.052
72,67~71,predicted,1,개항기 + 사건,사건 6,개항기 + 사건 (사건 6),6,0.12
72,67~71,predicted,2,조선 + 인물,인물 5,조선 + 인물 (인물 5),5,0.1
72,67~71,predicted,3,일제 강점기 + 정치,"정치 2, 군사 1, 문화 1","일제 강점기 + 정치 (정치 2, 군사 1, 문화 1)",4,0.08
72,67~71,predicted,4,고려 + 인물,인물 3,고려 + 인물 (인물 3),3,0.06
72,67~71,predicted,5,조선 + 제도,제도 3,조선 + 제도 (제도 3),3,0.06
72,67~71,actual,1,개항기 + 사건,사건 5,개항기 + 사건 (사건 5),5,0.1
72,67~71,actual,2,고려 + 정치,"정치 2, 군사 1, 경제 1","고려 + 정치 (정치 2, 군사 1, 경제 1)",4,0.08
72,67~71,actual,3,조선 + 인물,인물 4,조선 + 인물 (인물 4),4,0.08
72,67~71,actual,4,일제 강점기 + 정치,"사회 3, 군사 1","일제 강점기 + 정치 (사회 3, 군사 1)",4,0.08
72,67~71,actual,5,조선 + 정치,"외교 1, 경제 1, 정치 1","조선 + 정치 (외교 1, 경제 1, 정치 1)",3,0.06
73,68~72,recent5_actual,1,개항기 + 사건,사건 22,개항기 + 사건 (사건 22),22,0.088
73,68~72,recent5_actual,2,조선 + 인물,인물 16,조선 + 인물 (인물 16),16,0.064
73,68~72,recent5_actual,3,일제 강점기 + 사건,사건 15,일제 강점기 + 사건 (사건 15),15,0.06
73,68~72,recent5_actual,4,일제 강점기 + 정치,"정치 6, 군사 4, 사회 3","일제 강점기 + 정치 (정치 6, 군사 4, 사회 3)",14,0.056
73,68~72,recent5_actual,5,고려 + 정치,"정치 4, 경제 4, 군사 3","고려 + 정치 (정치 4, 경제 4, 군사 3)",13,0.052
73,68~72,predicted,1,개항기 + 사건,"사건 5, 외교 1","개항기 + 사건 (사건 5, 외교 1)",6,0.12
73,68~72,predicted,2,일제 강점기 + 사건,사건 5,일제 강점기 + 사건 (사건 5),5,0.1
73,68~72,predicted,3,현대 + 사건,"사건 3, 정치 1","현대 + 사건 (사건 3, 정치 1)",4,0.08
73,68~72,predicted,4,고려 + 사건,"사건 1, 인물 1, 군사 1","고려 + 사건 (사건 1, 인물 1, 군사 1)",3,0.06
73,68~72,predicted,5,조선 + 인물,인물 3,조선 + 인물 (인물 3),3,0.06
73,68~72,actual,1,개항기 + 사건,사건 5,개항기 + 사건 (사건 5),5,0.1
73,68~72,actual,2,일제 강점기 + 사건,사건 5,일제 강점기 + 사건 (사건 5),5,0.1
73,68~72,actual,3,고려 + 정치,"군사 2, 정치 1, 경제 1","고려 + 정치 (군사 2, 정치 1, 경제 1)",4,0.08
73,68~72,actual,4,조선 + 인물,인물 4,조선 + 인물 (인물 4),4,0.08
73,68~72,actual,5,삼국 시대 + 정치,"외교 1, 정치 1, 군사 1","삼국 시대 + 정치 (외교 1, 정치 1, 군사 1)",3,0.06
74,69~73,recent5_actual,1,개항기 + 사건,사건 22,개항기 + 사건 (사건 22),22,0.088
74,69~73,recent5_actual,2,조선 + 인물,인물 17,조선 + 인물 (인물 17),17,0.068
