target_round,recent5_rounds,source,source_name,usage,trend_type,rank,era,topic_train,topic,topic_summary,label,combo_label,combo_label_with_topic,count,ratio,ratio_percent
71,66~70,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era,2,고려,,,,고려,,,46,0.184,18.4
71,66~70,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era,3,일제 강점기,,,,일제 강점기,,,36,0.144,14.4
71,66~70,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era,4,현대,,,,현대,,,34,0.136,13.6
71,66~70,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era,5,개항기,,,,개항기,,,31,0.124,12.4
71,66~70,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era,1,조선,,,,조선,,,9,0.18,18.0
71,66~70,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era,2,일제 강점기,,,,일제 강점기,,,9,0.18,18.0
71,66~70,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era,3,고려,,,,고려,,,8,0.16,16.0
71,66~70,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era,4,개항기,,,,개항기,,,8,0.16,16.0
71,66~70,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era,5,남북국 시대,,,,남북국 시대,,,6,0.12,12.0
71,66~70,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era,1,조선,,,,조선,,,9,0.18,18.0
71,66~70,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era,2,일제 강점기,,,,일제 강점기,,,9,0.18,18.0
71,66~70,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era,3,고려,,,,고려,,,8,0.16,16.0
71,66~70,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era,4,개항기,,,,개항기,,,7,0.14,14.0
71,66~70,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era,5,삼국 시대,,,,삼국 시대,,,5,0.1,10.0
71,66~70,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic_train,1,,사건,,,사건,,,90,0.36,36.0
71,66~70,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic_train,2,,인물,,,인물,,,55,0.22,22.0
71,66~70,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic_train,3,,정치,,,정치,,,39,0.156,15.6
71,66~70,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic_train,4,,문화,,,문화,,,35,0.14,14.0
71,66~70,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic_train,5,,제도,,,제도,,,31,0.124,12.4
71,66~70,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic_train,1,,사건,,,사건,,,18,0.36,36.0
71,66~70,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic_train,2,,정치,,,정치,,,12,0.24,24.0
71,66~70,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic_train,3,,인물,,,인물,,,8,0.16,16.0
71,66~70,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic_train,4,,문화,,,문화,,,7,0.14,14.0
