round_no,combo,accuracy,macro_f1,weighted_f1,label_count_true,label_count_pred,test_size
71,era_topic_train,0.74,0.646031746031746,0.7273333333333332,28,26,50
71,era_topic_train_topic,0.68,0.5076441102756892,0.6619047619047619,32,29,50
72,era_topic_train,0.74,0.542645202020202,0.7306868686868687,26,27,50
72,era_topic_train_topic,0.64,0.4261423761423761,0.6093535353535354,32,31,50
73,era_topic_train,0.66,0.5254852674207513,0.6549090909090909,27,26,50
73,era_topic_train_topic,0.64,0.38986828774062815,0.6552380952380952,34,35,50
74,era_topic_train,0.78,0.6835125448028674,0.7524444444444446,29,26,50
74,era_topic_train_topic,0.7,0.5154761904761904,0.6986666666666668,33,33,50
75,era_topic_train,0.76,0.7203612479474548,0.7805714285714285,26,28,50
75,era_topic_train_topic,0.72,0.6189189189189189,0.7440000000000001,30,34,50
76,era_topic_train,0.74,0.7288265306122449,0.7284285714285714,27,26,50
76,era_topic_train_topic,0.64,0.5391891891891891,0.6523333333333334,29,32,50
77,era_topic_train,0.78,0.7309523809523809,0.7763809523809525,30,29,50
77,era_topic_train_topic,0.72,0.5758503401360544,0.7026666666666668,36,33,50
78,era_topic_train,0.86,0.8648056923918993,0.8596825396825397,29,29,50
78,era_topic_train_topic,0.78,0.6741622574955908,0.7949206349206349,31,33,50
