회차,최근5회차,분류,기준,순위,라벨,시대,통합주제,세부주제,세부주제요약,개수,비율,source,trend_type
71,66~70,시대+통합주제,최근5회차 실제,1,개항기 + 사건 (사건 22),개항기,사건,,사건 22,22,8.8%,recent5_actual,era_topic_train
71,66~70,시대+통합주제,최근5회차 실제,2,조선 + 인물 (인물 18),조선,인물,,인물 18,18,7.2%,recent5_actual,era_topic_train
71,66~70,시대+통합주제,최근5회차 실제,3,"고려 + 사건 (사건 16, 군사 1)",고려,사건,,"사건 16, 군사 1",17,6.8%,recent5_actual,era_topic_train
71,66~70,시대+통합주제,최근5회차 실제,4,일제 강점기 + 사건 (사건 16),일제 강점기,사건,,사건 16,16,6.4%,recent5_actual,era_topic_train
71,66~70,시대+통합주제,최근5회차 실제,5,현대 + 사건 (사건 15),현대,사건,,사건 15,15,6.0%,recent5_actual,era_topic_train
71,66~70,시대+통합주제,모델분류,1,일제 강점기 + 사건 (사건 4),일제 강점기,사건,,사건 4,4,8.0%,predicted,era_topic_train
71,66~70,시대+통합주제,모델분류,2,"일제 강점기 + 정치 (정치 3, 군사 1)",일제 강점기,정치,,"정치 3, 군사 1",4,8.0%,predicted,era_topic_train
71,66~70,시대+통합주제,모델분류,3,고려 + 사건 (사건 3),고려,사건,,사건 3,3,6.0%,predicted,era_topic_train
71,66~70,시대+통합주제,모델분류,4,조선 + 인물 (인물 3),조선,인물,,인물 3,3,6.0%,predicted,era_topic_train
71,66~70,시대+통합주제,모델분류,5,개항기 + 사건 (사건 3),개항기,사건,,사건 3,3,6.0%,predicted,era_topic_train
71,66~70,시대+통합주제,해당회차 실제,1,개항기 + 사건 (사건 4),개항기,사건,,사건 4,4,8.0%,actual,era_topic_train
71,66~70,시대+통합주제,해당회차 실제,2,일제 강점기 + 사건 (사건 4),일제 강점기,사건,,사건 4,4,8.0%,actual,era_topic_train
71,66~70,시대+통합주제,해당회차 실제,3,조선 + 사건 (사건 3),조선,사건,,사건 3,3,6.0%,actual,era_topic_train
71,66~70,시대+통합주제,해당회차 실제,4,"조선 + 정치 (정치 2, 사회 1)",조선,정치,,"정치 2, 사회 1",3,6.0%,actual,era_topic_train
71,66~70,시대+통합주제,해당회차 실제,5,"일제 강점기 + 정치 (정치 2, 군사 1)",일제 강점기,정치,,"정치 2, 군사 1",3,6.0%,actual,era_topic_train
71,66~70,시대,최근5회차 실제,1,조선,조선,,,,56,22.4%,recent5_actual,era
71,66~70,시대,최근5회차 실제,2,고려,고려,,,,46,18.4%,recent5_actual,era
71,66~70,시대,최근5회차 실제,3,일제 강점기,일제 강점기,,,,36,14.4%,recent5_actual,era
71,66~70,시대,최근5회차 실제,4,현대,현대,,,,34,13.6%,recent5_actual,era
71,66~70,시대,최근5회차 실제,5,개항기,개항기,,,,31,12.4%,recent5_actual,era
71,66~70,시대,모델분류,1,조선,조선,,,,9,18.0%,predicted,era
71,66~70,시대,모델분류,2,일제 강점기,일제 강점기,,,,9,18.0%,predicted,era
71,66~70,시대,모델분류,3,고려,고려,,,,8,16.0%,predicted,era
71,66~70,시대,모델분류,4,개항기,개항기,,,,8,16.0%,predicted,era
71,66~70,시대,모델분류,5,남북국 시대,남북국 시대,,,,6,12.0%,predicted,era
71,66~70,시대,해당회차 실제,1,조선,조선,,,,9,18.0%,actual,era
71,66~70,시대,해당회차 실제,2,일제 강점기,일제 강점기,,,,9,18.0%,actual,era
71,66~70,시대,해당회차 실제,3,고려,고려,,,,8,16.0%,actual,era
71,66~70,시대,해당회차 실제,4,개항기,개항기,,,,7,14.0%,actual,era
71,66~70,시대,해당회차 실제,5,삼국 시대,삼국 시대,,,,5,10.0%,actual,era
