threshold,accuracy,abnormal_precision,abnormal_recall,abnormal_f1,ok_precision,ok_recall,ok_f1
0.05,0.983684,0.847619,0.855769,0.851675,0.991643,0.991091,0.991367
0.1,0.983684,0.847619,0.855769,0.851675,0.991643,0.991091,0.991367
0.15,0.983684,0.847619,0.855769,0.851675,0.991643,0.991091,0.991367
0.2,0.983684,0.847619,0.855769,0.851675,0.991643,0.991091,0.991367
0.3,0.983158,0.846154,0.846154,0.846154,0.991091,0.991091,0.991091
0.5,0.983158,0.846154,0.846154,0.846154,0.991091,0.991091,0.991091
0.7,0.983158,0.846154,0.846154,0.846154,0.991091,0.991091,0.991091
