event_id,date_text,start_year,end_year,start_month,end_month,start_reign_name,start_reign_year,end_reign_name,end_reign_year,date_precision,parse_status
ITKC_PH_1294A_0435,"1218년(고종 5) 12월
~ 1219년(고종 6) 1월",1218,1219,12,1,고종,5,고종,6,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0436,1219년(고종 6) 1월,1219,1219,1,1,고종,6,고종,6,YEAR_MONTH,PARSED
ITKC_PH_1294A_0437,1219년(고종 6) 9월,1219,1219,9,9,고종,6,고종,6,YEAR_MONTH,PARSED
ITKC_PH_1294A_0438,"1219년(고종 6) 10월
~ 1221년(고종 8) 3월",1219,1221,10,3,고종,6,고종,8,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0439,1224년(고종 11) 7월,1224,1224,7,7,고종,11,고종,11,YEAR_MONTH,PARSED
ITKC_PH_1294A_0440,1226년(고종 13) 1월,1226,1226,1,1,고종,13,고종,13,YEAR_MONTH,PARSED
ITKC_PH_1294A_0441,1226년(고종 13) 5월,1226,1226,5,5,고종,13,고종,13,YEAR_MONTH,PARSED
ITKC_PH_1294A_0442,1227년(고종 14) 3월,1227,1227,3,3,고종,14,고종,14,YEAR_MONTH,PARSED
ITKC_PH_1294A_0443,1230년(고종 17) 7월,1230,1230,7,7,고종,17,고종,17,YEAR_MONTH,PARSED
ITKC_PH_1294A_0444,"1231년(고종 18) 9월
~ 1231년(고종 18) 12월",1231,1231,9,12,고종,18,고종,18,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0335,918년(태조 1) 6월,918,918,6,6,태조,1,태조,1,YEAR_MONTH,PARSED
ITKC_PH_1294A_0336,921년(태조 4) 12월,921,921,12,12,태조,4,태조,4,YEAR_MONTH,PARSED
ITKC_PH_1294A_0337,922년(태조 5) 7월,922,922,7,7,태조,5,태조,5,YEAR_MONTH,PARSED
ITKC_PH_1294A_0338,925년(태조 8) 12월,925,925,12,12,태조,8,태조,8,YEAR_MONTH,PARSED
ITKC_PH_1294A_0339,927년(태조 10) 9월,927,927,9,9,태조,10,태조,10,YEAR_MONTH,PARSED
ITKC_PH_1294A_0340,"929년(태조 12) 12월
~ 930년(태조 13) 1월",929,930,12,1,태조,12,태조,13,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0341,932년(태조 15) 11월,932,932,11,11,태조,15,태조,15,YEAR_MONTH,PARSED
ITKC_PH_1294A_0342,934년(태조 17) 9월,934,934,9,9,태조,17,태조,17,YEAR_MONTH,PARSED
ITKC_PH_1294A_0343,935년(태조 18) 3월,935,935,3,3,태조,18,태조,18,YEAR_MONTH,PARSED
ITKC_PH_1294A_0344,935년(태조 18) 6월,935,935,6,6,태조,18,태조,18,YEAR_MONTH,PARSED
ITKC_PH_1294A_0345,935년(태조 18) 12월,935,935,12,12,태조,18,태조,18,YEAR_MONTH,PARSED
ITKC_PH_1294A_0346,936년(태조 19) 9월,936,936,9,9,태조,19,태조,19,YEAR_MONTH,PARSED
ITKC_PH_1294A_0347,943년(태조 26) 4월,943,943,4,4,태조,26,태조,26,YEAR_MONTH,PARSED
ITKC_PH_1294A_0348,943년(태조 26) 5월,943,943,5,5,태조,26,태조,26,YEAR_MONTH,PARSED
ITKC_PH_1294A_0349,"945년(혜종 2)
~ 945년(혜종 2) 9월",945,945,,9,혜종,2,혜종,2,YEAR_RANGE,PARSED
