term_id,category_id,category_path,source_term_lk
4200622,CAT_00206,사회·생활>사회단체>자치조직·단체,사회·생활>사회단체>자치조직·단체
4200624,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
4200626,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
4200632,CAT_00006,문화재,문화재
4200635,CAT_00006,문화재,문화재
4200640,CAT_00356,정치·행정·법제>행정>행정제도,정치·행정·법제>행정>행정제도
4200645,CAT_00066,문화·예술>미술,문화·예술>미술
4200647,CAT_00079,사회·생활>신분·계급,사회·생활>신분·계급
4200649,CAT_00009,서명,서명
4200651,CAT_00061,문화·예술>문학,문화·예술>문학
4200653,CAT_00061,문화·예술>문학,문화·예술>문학
4200662,CAT_00061,문화·예술>문학,문화·예술>문학
4200664,CAT_00061,문화·예술>문학,문화·예술>문학
4200666,CAT_00061,문화·예술>문학,문화·예술>문학
4200670,CAT_00066,문화·예술>미술,문화·예술>미술
4200678,CAT_00061,문화·예술>문학,문화·예술>문학
4200684,CAT_00061,문화·예술>문학,문화·예술>문학
4200693,CAT_00066,문화·예술>미술,문화·예술>미술
4200696,CAT_00208,사회·생활>일상생활>생활용품,사회·생활>일상생활>생활용품
4200703,CAT_00208,사회·생활>일상생활>생활용품,사회·생활>일상생활>생활용품
4200705,CAT_00066,문화·예술>미술,문화·예술>미술
6295108,CAT_00066,문화·예술>미술,문화·예술>미술
6295113,CAT_00356,정치·행정·법제>행정>행정제도,정치·행정·법제>행정>행정제도
6295117,CAT_00356,정치·행정·법제>행정>행정제도,정치·행정·법제>행정>행정제도
6295121,CAT_00356,정치·행정·법제>행정>행정제도,정치·행정·법제>행정>행정제도
6295126,CAT_00356,정치·행정·법제>행정>행정제도,정치·행정·법제>행정>행정제도
6295131,CAT_00356,정치·행정·법제>행정>행정제도,정치·행정·법제>행정>행정제도
6295135,CAT_00356,정치·행정·법제>행정>행정제도,정치·행정·법제>행정>행정제도
6295143,CAT_00356,정치·행정·법제>행정>행정제도,정치·행정·법제>행정>행정제도
6295146,CAT_00356,정치·행정·법제>행정>행정제도,정치·행정·법제>행정>행정제도
6295148,CAT_00356,정치·행정·법제>행정>행정제도,정치·행정·법제>행정>행정제도
6295151,CAT_00356,정치·행정·법제>행정>행정제도,정치·행정·법제>행정>행정제도
6295155,CAT_00356,정치·행정·법제>행정>행정제도,정치·행정·법제>행정>행정제도
6295158,CAT_00356,정치·행정·법제>행정>행정제도,정치·행정·법제>행정>행정제도
6295170,CAT_00356,정치·행정·법제>행정>행정제도,정치·행정·법제>행정>행정제도
6295172,CAT_00356,정치·행정·법제>행정>행정제도,정치·행정·법제>행정>행정제도
8390213,CAT_00071,문화·예술>종합예술,문화·예술>종합예술
8390217,CAT_00122,전통사상·종교>무교·민간신앙,전통사상·종교>무교·민간신앙
8390220,CAT_00337,전통사상·종교>유교>유교관련시설,전통사상·종교>유교>유교관련시설
