event_id,event_category_id,event_category_name,source_subject_category
ITKC_PH_1294A_0435,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0436,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0437,EVENT_CAT_00042,정치인,정치인
ITKC_PH_1294A_0438,EVENT_CAT_00018,민란,민란
ITKC_PH_1294A_0439,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0440,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0441,EVENT_CAT_00020,반란,"반란,

정치인"
ITKC_PH_1294A_0441,EVENT_CAT_00042,정치인,"반란,

정치인"
ITKC_PH_1294A_0442,EVENT_CAT_00043,정치일반,"정치일반,

국왕"
ITKC_PH_1294A_0442,EVENT_CAT_00008,국왕,"정치일반,

국왕"
ITKC_PH_1294A_0443,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0444,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0335,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0336,EVENT_CAT_00027,세자,세자
ITKC_PH_1294A_0337,EVENT_CAT_00036,인물기타,인물기타
ITKC_PH_1294A_0338,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0339,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0340,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0341,EVENT_CAT_00042,정치인,정치인
ITKC_PH_1294A_0342,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0343,EVENT_CAT_00020,반란,"반란,

국왕"
ITKC_PH_1294A_0343,EVENT_CAT_00008,국왕,"반란,

국왕"
ITKC_PH_1294A_0344,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0345,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0346,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0347,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0348,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0349,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0350,EVENT_CAT_00009,기관,"기관,

방비"
ITKC_PH_1294A_0350,EVENT_CAT_00021,방비,"기관,

방비"
ITKC_PH_1294A_0351,EVENT_CAT_00006,과거,과거
ITKC_PH_1294A_0352,EVENT_CAT_00042,정치인,정치인
ITKC_PH_1294A_0353,EVENT_CAT_00042,정치인,정치인
ITKC_PH_1294A_0354,EVENT_CAT_00043,정치일반,정치일반
ITKC_PH_1294A_0355,EVENT_CAT_00042,정치인,정치인
ITKC_PH_1294A_0356,EVENT_CAT_00042,정치인,정치인
ITKC_PH_1294A_0446,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0359,EVENT_CAT_00008,국왕,"국왕,

비빈"
ITKC_PH_1294A_0359,EVENT_CAT_00023,비빈,"국왕,

비빈"
ITKC_PH_1294A_0360,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0361,EVENT_CAT_00041,정변,정변
ITKC_PH_1294A_0362,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0363,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0364,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0371,EVENT_CAT_00008,국왕,"국왕,

능묘"
ITKC_PH_1294A_0371,EVENT_CAT_00012,능묘,"국왕,

능묘"
ITKC_PH_1294A_0372,EVENT_CAT_00046,종교,"종교,

건축"
ITKC_PH_1294A_0372,EVENT_CAT_00002,건축,"종교,

건축"
