event_id,event_category_id,event_category_name,source_subject_category
ITKC_PH_1294A_0373,EVENT_CAT_00019,민심,민심
ITKC_PH_1294A_0374,EVENT_CAT_00042,정치인,"정치인,

교육"
ITKC_PH_1294A_0374,EVENT_CAT_00007,교육,"정치인,

교육"
ITKC_PH_1294A_0445,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0448,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0449,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0424,EVENT_CAT_00018,민란,"민란,

종교"
ITKC_PH_1294A_0424,EVENT_CAT_00046,종교,"민란,

종교"
ITKC_PH_1294A_0450,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0451,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0452,EVENT_CAT_00048,처결,처결
ITKC_PH_1294A_0453,EVENT_CAT_00015,몽고,몽고
ITKC_PH_1294A_0454,EVENT_CAT_00042,정치인,정치인
ITKC_PH_1294A_0455,EVENT_CAT_00032,유배,유배
ITKC_PH_1294A_0456,EVENT_CAT_00042,정치인,정치인
ITKC_PH_1294A_0457,EVENT_CAT_00048,처결,처결
ITKC_PH_1294A_0458,EVENT_CAT_00015,몽고,몽고
ITKC_PH_1294A_0459,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0539,EVENT_CAT_00031,원,원
ITKC_PH_1294A_0460,EVENT_CAT_00048,처결,처결
ITKC_PH_1294A_0461,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0462,EVENT_CAT_00042,정치인,정치인
ITKC_PH_1294A_0463,EVENT_CAT_00048,처결,처결
ITKC_PH_1294A_0464,EVENT_CAT_00042,정치인,"정치인,

정변"
ITKC_PH_1294A_0464,EVENT_CAT_00041,정변,"정치인,

정변"
ITKC_PH_1294A_0465,EVENT_CAT_00015,몽고,몽고
ITKC_PH_1294A_0467,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0466,EVENT_CAT_00027,세자,세자
ITKC_PH_1294A_0468,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0469,EVENT_CAT_00015,몽고,몽고
ITKC_PH_1294A_0470,EVENT_CAT_00040,정벌,정벌
ITKC_PH_1294A_0471,EVENT_CAT_00048,처결,처결
ITKC_PH_1294A_0472,EVENT_CAT_00032,유배,유배
ITKC_PH_1294A_0473,EVENT_CAT_00041,정변,정변
ITKC_PH_1294A_0474,EVENT_CAT_00015,몽고,몽고
ITKC_PH_1294A_0447,EVENT_CAT_00038,전쟁,"전쟁,

천도"
ITKC_PH_1294A_0447,EVENT_CAT_00049,천도,"전쟁,

천도"
ITKC_PH_1294A_0475,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0476,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0478,EVENT_CAT_00018,민란,민란
ITKC_PH_1294A_0477,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0479,EVENT_CAT_00040,정벌,정벌
ITKC_PH_1294A_0480,EVENT_CAT_00040,정벌,정벌
ITKC_PH_1294A_0481,EVENT_CAT_00008,국왕,"국왕,

비빈"
ITKC_PH_1294A_0481,EVENT_CAT_00023,비빈,"국왕,

비빈"
ITKC_PH_1294A_0482,EVENT_CAT_00023,비빈,비빈
ITKC_PH_1294A_0483,EVENT_CAT_00023,비빈,비빈
ITKC_PH_1294A_0484,EVENT_CAT_00003,고변/탄핵,고변/탄핵
ITKC_PH_1294A_0485,EVENT_CAT_00031,원,원
ITKC_PH_1294A_0486,EVENT_CAT_00009,기관,기관
ITKC_PH_1294A_0487,EVENT_CAT_00019,민심,민심
ITKC_PH_1294A_0488,EVENT_CAT_00040,정벌,정벌
ITKC_PH_1294A_0489,EVENT_CAT_00004,공신/훈신,공신/훈신
ITKC_PH_1294A_0490,EVENT_CAT_00009,기관,"기관,

노비"
ITKC_PH_1294A_0490,EVENT_CAT_00011,노비,"기관,

노비"
ITKC_PH_1294A_0491,EVENT_CAT_00018,민란,민란
ITKC_PH_1294A_0492,EVENT_CAT_00042,정치인,정치인
ITKC_PH_1294A_0493,EVENT_CAT_00015,몽고,몽고
ITKC_PH_1294A_0494,EVENT_CAT_00042,정치인,정치인
ITKC_PH_1294A_0495,EVENT_CAT_00036,인물기타,인물기타
ITKC_PH_1294A_0496,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0497,EVENT_CAT_00031,원,"원,

일본"
ITKC_PH_1294A_0497,EVENT_CAT_00037,일본,"원,

일본"
ITKC_PH_1294A_0498,EVENT_CAT_00031,원,원
ITKC_PH_1294A_0499,EVENT_CAT_00032,유배,유배
ITKC_PH_1294A_0500,EVENT_CAT_00023,비빈,비빈
ITKC_PH_1294A_0501,EVENT_CAT_00002,건축,건축
ITKC_PH_1294A_0502,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0503,EVENT_CAT_00036,인물기타,인물기타
ITKC_PH_1294A_0504,EVENT_CAT_00023,비빈,비빈
ITKC_PH_1294A_0505,EVENT_CAT_00044,제도개혁,제도개혁
ITKC_PH_1294A_0506,EVENT_CAT_00009,기관,기관
ITKC_PH_1294A_0507,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0508,EVENT_CAT_00003,고변/탄핵,고변/탄핵
ITKC_PH_1294A_0509,EVENT_CAT_00048,처결,처결
ITKC_PH_1294A_0510,EVENT_CAT_00007,교육,교육
ITKC_PH_1294A_0511,EVENT_CAT_00002,건축,건축
ITKC_PH_1294A_0512,EVENT_CAT_00042,정치인,정치인
ITKC_PH_1294A_0513,EVENT_CAT_00032,유배,유배
ITKC_PH_1294A_0514,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0515,EVENT_CAT_00008,국왕,"국왕,

기관"
ITKC_PH_1294A_0515,EVENT_CAT_00009,기관,"국왕,

기관"
ITKC_PH_1294A_0516,EVENT_CAT_00019,민심,민심
ITKC_PH_1294A_0517,EVENT_CAT_00032,유배,유배
ITKC_PH_1294A_0518,EVENT_CAT_00009,기관,기관
ITKC_PH_1294A_0520,EVENT_CAT_00032,유배,"유배,

국왕"
ITKC_PH_1294A_0520,EVENT_CAT_00008,국왕,"유배,

국왕"
ITKC_PH_1294A_0519,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0521,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0522,EVENT_CAT_00009,기관,"기관,

원"
ITKC_PH_1294A_0522,EVENT_CAT_00031,원,"기관,

원"
ITKC_PH_1294A_0523,EVENT_CAT_00031,원,"원,

국왕"
ITKC_PH_1294A_0523,EVENT_CAT_00008,국왕,"원,

국왕"
ITKC_PH_1294A_0524,EVENT_CAT_00031,원,"원,

국왕"
ITKC_PH_1294A_0524,EVENT_CAT_00008,국왕,"원,

국왕"
ITKC_PH_1294A_0525,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0526,EVENT_CAT_00032,유배,유배
ITKC_PH_1294A_0527,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0528,EVENT_CAT_00036,인물기타,인물기타
ITKC_PH_1294A_0529,EVENT_CAT_00004,공신/훈신,공신/훈신
ITKC_PH_1294A_0530,EVENT_CAT_00045,조세,조세
ITKC_PH_1294A_0531,EVENT_CAT_00032,유배,"유배,

국왕"
ITKC_PH_1294A_0531,EVENT_CAT_00008,국왕,"유배,

국왕"
ITKC_PH_1294A_0532,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0533,EVENT_CAT_00051,출판,출판
ITKC_PH_1294A_0534,EVENT_CAT_00029,옥사,옥사
ITKC_PH_1294A_0535,EVENT_CAT_00003,고변/탄핵,고변/탄핵
ITKC_PH_1294A_0536,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0537,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0538,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0540,EVENT_CAT_00009,기관,기관
ITKC_PH_1294A_0541,EVENT_CAT_00040,정벌,"정벌,

원"
ITKC_PH_1294A_0541,EVENT_CAT_00031,원,"정벌,

원"
ITKC_PH_1305A_0306,EVENT_CAT_00006,과거,과거
ITKC_PH_1294A_0542,EVENT_CAT_00042,정치인,정치인
ITKC_PH_1294A_0543,EVENT_CAT_00043,정치일반,정치일반
ITKC_PH_1294A_0544,EVENT_CAT_00040,정벌,정벌
ITKC_PH_1294A_0545,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0546,EVENT_CAT_00045,조세,조세
ITKC_PH_1294A_0547,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0549,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0548,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0550,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0551,EVENT_CAT_00041,정변,정변
ITKC_PH_1294A_0552,EVENT_CAT_00041,정변,정변
ITKC_PH_1294A_0553,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0554,EVENT_CAT_00041,정변,정변
ITKC_PH_1294A_0555,EVENT_CAT_00041,정변,정변
ITKC_PH_1300A_0062,EVENT_CAT_00043,정치일반,정치일반
ITKC_PH_1294A_0556,EVENT_CAT_00041,정변,정변
ITKC_PH_1300A_0152,EVENT_CAT_00030,왜(변)란,왜(변)란
ITKC_PH_1294A_0557,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0558,EVENT_CAT_00030,왜(변)란,왜(변)란
ITKC_PH_1294A_0559,EVENT_CAT_00041,정변,정변
ITKC_PH_1300A_0233,EVENT_CAT_00050,청,"청,

호란"
ITKC_PH_1300A_0233,EVENT_CAT_00053,호란,"청,

호란"
ITKC_PH_1294A_0560,EVENT_CAT_00044,제도개혁,"제도개혁,

기관"
ITKC_PH_1294A_0560,EVENT_CAT_00009,기관,"제도개혁,

기관"
ITKC_PH_1294A_0561,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0562,EVENT_CAT_00007,교육,교육
ITKC_PH_1294A_0357,EVENT_CAT_00038,전쟁,"전쟁,

거란"
ITKC_PH_1294A_0357,EVENT_CAT_00001,거란,"전쟁,

거란"
ITKC_PH_1294A_0563,EVENT_CAT_00042,정치인,정치인
ITKC_PH_1294A_0564,EVENT_CAT_00043,정치일반,정치일반
ITKC_PH_1294A_0565,EVENT_CAT_00043,정치일반,정치일반
ITKC_PH_1294A_0566,EVENT_CAT_00043,정치일반,정치일반
ITKC_PH_1294A_0567,EVENT_CAT_00049,천도,천도
ITKC_PH_1294A_0568,EVENT_CAT_00040,정벌,정벌
ITKC_PH_1294A_0569,EVENT_CAT_00040,정벌,정벌
ITKC_PH_1294A_0570,EVENT_CAT_00041,정변,정변
ITKC_PH_1294A_0571,EVENT_CAT_00009,기관,기관
ITKC_PH_1294A_0572,EVENT_CAT_00009,기관,"기관,

방비"
ITKC_PH_1294A_0572,EVENT_CAT_00021,방비,"기관,

방비"
ITKC_PH_1294A_0358,EVENT_CAT_00042,정치인,정치인
ITKC_PH_1294A_0573,EVENT_CAT_00041,정변,"정변,

국왕"
ITKC_PH_1294A_0573,EVENT_CAT_00008,국왕,"정변,

국왕"
ITKC_PH_1294A_0574,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0575,EVENT_CAT_00048,처결,처결
ITKC_PH_1294A_0576,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0577,EVENT_CAT_00048,처결,처결
ITKC_PH_1294A_0578,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0579,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0580,EVENT_CAT_00048,처결,처결
ITKC_PH_1294A_0581,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0582,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0583,EVENT_CAT_00049,천도,천도
ITKC_PH_1294A_0584,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0585,EVENT_CAT_00003,고변/탄핵,고변/탄핵
ITKC_PH_1294A_0586,EVENT_CAT_00041,정변,정변
ITKC_PH_1294A_0587,EVENT_CAT_00032,유배,유배
ITKC_PH_1294A_0588,EVENT_CAT_00009,기관,"기관,

명"
ITKC_PH_1294A_0588,EVENT_CAT_00013,명,"기관,

명"
ITKC_PH_1294A_0589,EVENT_CAT_00040,정벌,정벌
ITKC_PH_1294A_0590,EVENT_CAT_00041,정변,정변
ITKC_PH_1294A_0591,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0592,EVENT_CAT_00040,정벌,정벌
ITKC_PH_1294A_0593,EVENT_CAT_00045,조세,"조세,

제도개혁"
ITKC_PH_1294A_0593,EVENT_CAT_00044,제도개혁,"조세,

제도개혁"
ITKC_PH_1294A_0594,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0595,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0596,EVENT_CAT_00004,공신/훈신,공신/훈신
ITKC_PH_1294A_0597,EVENT_CAT_00029,옥사,"옥사,

명"
ITKC_PH_1294A_0597,EVENT_CAT_00013,명,"옥사,

명"
ITKC_PH_1294A_0598,EVENT_CAT_00041,정변,정변
ITKC_PH_1294A_0599,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1305A_0320,EVENT_CAT_00041,정변,정변
ITKC_PH_1294A_0365,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0366,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0367,EVENT_CAT_00038,전쟁,"전쟁,

공신/훈신"
ITKC_PH_1294A_0367,EVENT_CAT_00004,공신/훈신,"전쟁,

공신/훈신"
ITKC_PH_1294A_0368,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0369,EVENT_CAT_00021,방비,"방비,

건축"
ITKC_PH_1294A_0369,EVENT_CAT_00002,건축,"방비,

건축"
ITKC_PH_1294A_0370,EVENT_CAT_00001,거란,거란
ITKC_PH_1294A_0375,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0376,EVENT_CAT_00044,제도개혁,제도개혁
ITKC_PH_1294A_0377,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0378,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0379,EVENT_CAT_00038,전쟁,전쟁
ITKC_PH_1294A_0380,EVENT_CAT_00051,출판,출판
ITKC_PH_1294A_0381,EVENT_CAT_00002,건축,건축
ITKC_PH_1294A_0382,EVENT_CAT_00040,정벌,정벌
ITKC_PH_1294A_0383,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0384,EVENT_CAT_00007,교육,교육
ITKC_PH_1294A_0385,EVENT_CAT_00041,정변,정변
ITKC_PH_1294A_0386,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0387,EVENT_CAT_00032,유배,유배
ITKC_PH_1294A_0388,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1294A_0389,EVENT_CAT_00020,반란,반란
ITKC_PH_1294A_0390,EVENT_CAT_00043,정치일반,정치일반
ITKC_PH_1294A_0391,EVENT_CAT_00043,정치일반,정치일반
ITKC_PH_1300A_0006,EVENT_CAT_00043,정치일반,"정치일반,

천도"
ITKC_PH_1300A_0006,EVENT_CAT_00049,천도,"정치일반,

천도"
ITKC_PH_1300A_0010,EVENT_CAT_00043,정치일반,정치일반
ITKC_PH_1300A_0025,EVENT_CAT_00009,기관,"기관,

사가독서"
ITKC_PH_1300A_0025,EVENT_CAT_00024,사가독서,"기관,

사가독서"
ITKC_PH_1300A_0031,EVENT_CAT_00036,인물기타,인물기타
ITKC_PH_1300A_0063,EVENT_CAT_00043,정치일반,정치일반
ITKC_PH_1300A_0088,EVENT_CAT_00025,사화,사화
ITKC_PH_1300A_0098,EVENT_CAT_00043,정치일반,정치일반
ITKC_PH_1300A_0108,EVENT_CAT_00043,정치일반,정치일반
ITKC_PH_1300A_0174,EVENT_CAT_00022,붕당,붕당
ITKC_PH_1300A_0001,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0002,EVENT_CAT_00047,종실,"종실,

국왕"
ITKC_PH_1300A_0002,EVENT_CAT_00008,국왕,"종실,

국왕"
ITKC_PH_1300A_0003,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0004,EVENT_CAT_00043,정치일반,정치일반
ITKC_PH_1300A_0005,EVENT_CAT_00039,절신,절신
ITKC_PH_1300A_0011,EVENT_CAT_00043,정치일반,정치일반
ITKC_PH_1300A_0012,EVENT_CAT_00026,상신,상신
ITKC_PH_1300A_0013,EVENT_CAT_00017,문형,문형
ITKC_PH_1300A_0014,EVENT_CAT_00014,명신,명신
ITKC_PH_1300A_0015,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0017,EVENT_CAT_00026,상신,상신
ITKC_PH_1300A_0018,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0021,EVENT_CAT_00026,상신,상신
ITKC_PH_1300A_0022,EVENT_CAT_00017,문형,문형
ITKC_PH_1300A_0023,EVENT_CAT_00014,명신,명신
ITKC_PH_1300A_0024,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0026,EVENT_CAT_00051,출판,출판
ITKC_PH_1300A_0032,EVENT_CAT_00026,상신,상신
ITKC_PH_1300A_0033,EVENT_CAT_00017,문형,문형
ITKC_PH_1300A_0034,EVENT_CAT_00034,유종,유종
ITKC_PH_1300A_0035,EVENT_CAT_00014,명신,명신
ITKC_PH_1300A_0036,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0037,EVENT_CAT_00026,상신,상신
ITKC_PH_1300A_0038,EVENT_CAT_00014,명신,명신
ITKC_PH_1300A_0040,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0047,EVENT_CAT_00026,상신,상신
ITKC_PH_1300A_0048,EVENT_CAT_00041,정변,정변
ITKC_PH_1300A_0049,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0050,EVENT_CAT_00051,출판,출판
ITKC_PH_1300A_0053,EVENT_CAT_00026,상신,상신
ITKC_PH_1300A_0054,EVENT_CAT_00014,명신,명신
ITKC_PH_1300A_0055,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0056,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0058,EVENT_CAT_00026,상신,상신
ITKC_PH_1300A_0059,EVENT_CAT_00017,문형,문형
ITKC_PH_1300A_0060,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0067,EVENT_CAT_00026,상신,상신
ITKC_PH_1300A_0068,EVENT_CAT_00014,명신,명신
ITKC_PH_1300A_0069,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0074,EVENT_CAT_00026,상신,상신
ITKC_PH_1300A_0075,EVENT_CAT_00017,문형,문형
ITKC_PH_1300A_0078,EVENT_CAT_00039,절신,절신
ITKC_PH_1300A_0079,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0099,EVENT_CAT_00026,상신,상신
ITKC_PH_1300A_0100,EVENT_CAT_00017,문형,문형
ITKC_PH_1300A_0101,EVENT_CAT_00014,명신,명신
ITKC_PH_1300A_0102,EVENT_CAT_00033,유일,유일
ITKC_PH_1300A_0103,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0104,EVENT_CAT_00026,상신,상신
ITKC_PH_1300A_0105,EVENT_CAT_00017,문형,문형
ITKC_PH_1300A_0106,EVENT_CAT_00014,명신,명신
ITKC_PH_1300A_0107,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0114,EVENT_CAT_00027,세자,세자
ITKC_PH_1300A_0117,EVENT_CAT_00043,정치일반,정치일반
ITKC_PH_1300A_0119,EVENT_CAT_00026,상신,상신
ITKC_PH_1300A_0120,EVENT_CAT_00017,문형,문형
ITKC_PH_1300A_0121,EVENT_CAT_00014,명신,명신
ITKC_PH_1300A_0122,EVENT_CAT_00033,유일,유일
ITKC_PH_1300A_0123,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0125,EVENT_CAT_00008,국왕,국왕
ITKC_PH_1300A_0134,EVENT_CAT_00029,옥사,옥사
ITKC_PH_1300A_0145,EVENT_CAT_00036,인물기타,"인물기타,

왜(변)란"
ITKC_PH_1300A_0145,EVENT_CAT_00030,왜(변)란,"인물기타,

왜(변)란"
ITKC_PH_1300A_0146,EVENT_CAT_00036,인물기타,"인물기타,

왜(변)란"
ITKC_PH_1300A_0146,EVENT_CAT_00030,왜(변)란,"인물기타,

왜(변)란"
ITKC_PH_1300A_0147,EVENT_CAT_00036,인물기타,"인물기타,

왜(변)란"
ITKC_PH_1300A_0147,EVENT_CAT_00030,왜(변)란,"인물기타,

왜(변)란"
ITKC_PH_1300A_0148,EVENT_CAT_00036,인물기타,"인물기타,

왜(변)란"
ITKC_PH_1300A_0148,EVENT_CAT_00030,왜(변)란,"인물기타,

왜(변)란"
ITKC_PH_1300A_0149,EVENT_CAT_00036,인물기타,"인물기타,

왜(변)란"
ITKC_PH_1300A_0149,EVENT_CAT_00030,왜(변)란,"인물기타,

왜(변)란"
ITKC_PH_1300A_0150,EVENT_CAT_00036,인물기타,"인물기타,

왜(변)란"
ITKC_PH_1300A_0150,EVENT_CAT_00030,왜(변)란,"인물기타,

왜(변)란"
ITKC_PH_1300A_0151,EVENT_CAT_00036,인물기타,"인물기타,

왜(변)란"
ITKC_PH_1300A_0151,EVENT_CAT_00030,왜(변)란,"인물기타,

왜(변)란"
ITKC_PH_1300A_0153,EVENT_CAT_00036,인물기타,"인물기타,

왜(변)란"
ITKC_PH_1300A_0153,EVENT_CAT_00030,왜(변)란,"인물기타,

왜(변)란"
ITKC_PH_1300A_0154,EVENT_CAT_00036,인물기타,"인물기타,

왜(변)란"
ITKC_PH_1300A_0154,EVENT_CAT_00030,왜(변)란,"인물기타,

왜(변)란"
ITKC_PH_1300A_0155,EVENT_CAT_00036,인물기타,"인물기타,

왜(변)란"
ITKC_PH_1300A_0155,EVENT_CAT_00030,왜(변)란,"인물기타,

왜(변)란"
ITKC_PH_1300A_0156,EVENT_CAT_00036,인물기타,"인물기타,

왜(변)란"
ITKC_PH_1300A_0156,EVENT_CAT_00030,왜(변)란,"인물기타,

왜(변)란"
ITKC_PH_1300A_0157,EVENT_CAT_00036,인물기타,"인물기타,

왜(변)란"
ITKC_PH_1300A_0157,EVENT_CAT_00030,왜(변)란,"인물기타,

왜(변)란"
ITKC_PH_1300A_0158,EVENT_CAT_00036,인물기타,"인물기타,

왜(변)란"
ITKC_PH_1300A_0158,EVENT_CAT_00030,왜(변)란,"인물기타,

왜(변)란"
ITKC_PH_1300A_0159,EVENT_CAT_00036,인물기타,"인물기타,

왜(변)란"
ITKC_PH_1300A_0159,EVENT_CAT_00030,왜(변)란,"인물기타,

왜(변)란"
ITKC_PH_1300A_0160,EVENT_CAT_00036,인물기타,"인물기타,

왜(변)란"
ITKC_PH_1300A_0160,EVENT_CAT_00030,왜(변)란,"인물기타,

왜(변)란"
ITKC_PH_1300A_0163,EVENT_CAT_00036,인물기타,"인물기타,

왜(변)란"
ITKC_PH_1300A_0163,EVENT_CAT_00030,왜(변)란,"인물기타,

왜(변)란"
ITKC_PH_1300A_0167,EVENT_CAT_00030,왜(변)란,왜(변)란
ITKC_PH_1300A_0168,EVENT_CAT_00030,왜(변)란,왜(변)란
ITKC_PH_1294A_0392,EVENT_CAT_00032,유배,유배
ITKC_PH_1300A_0169,EVENT_CAT_00030,왜(변)란,"왜(변)란,

공신/훈신"
ITKC_PH_1300A_0169,EVENT_CAT_00004,공신/훈신,"왜(변)란,

공신/훈신"
ITKC_PH_1294A_0393,EVENT_CAT_00002,건축,건축
ITKC_PH_1300A_0178,EVENT_CAT_00026,상신,상신
ITKC_PH_1294A_0394,EVENT_CAT_00003,고변/탄핵,고변/탄핵
ITKC_PH_1300A_0179,EVENT_CAT_00017,문형,문형
ITKC_PH_1294A_0395,EVENT_CAT_00002,건축,건축
ITKC_PH_1300A_0180,EVENT_CAT_00035,유현,유현
ITKC_PH_1294A_0396,EVENT_CAT_00003,고변/탄핵,고변/탄핵
ITKC_PH_1300A_0181,EVENT_CAT_00014,명신,명신
