topic_id,name,status,version,graph_release_id
topic:culture,문화,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-28-contextual-v7
topic:diplomacy,외교,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-28-contextual-v7
topic:economy,경제,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-28-contextual-v7
topic:event,사건,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-28-contextual-v7
topic:institutional_system,제도,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-28-contextual-v7
topic:military,군사,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-28-contextual-v7
topic:person,인물,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-28-contextual-v7
topic:politics,정치,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-28-contextual-v7
topic:society,사회,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-28-contextual-v7
topic:thought_religion,사상·종교,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-28-contextual-v7
