fact_id,subject_node_id,predicate,object_node_id,assertion_count,trust_status,reason_codes_json,quarantined_source_node_ids_json,evidence_ids_json,evidence_records_json,source_datasets_json,graph_release_id
fact-relationship:1b526ad3b1c9b12d5172e90e,ITKC:PERSON:P049050:sha256-2bfbf7f8ab4b1538,HAS_GRANDFATHER,ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538,1,VERIFIED,"[""CONFLICTING_GENEALOGY""]","[""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538""]","[""SR-75a012015bda8edbc320""]","[{""detail_urls_json"": ""[\""https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P049050\""]"", ""evidence_id"": ""SR-75a012015bda8edbc320"", ""evidence_kind"": ""STRUCTURED_SOURCE_ASSERTION"", ""evidence_urls_json"": ""[\""http://thesaurus.itkc.or.kr/search/view?dataId=2289\""]"", ""scopes_json"": ""[]"", ""source_dataset"": ""ITKC_PERSON_RELATION"", ""source_document_id"": ""ITKC:PERSON:P049050:sha256-2bfbf7f8ab4b1538"", ""source_record_id"": ""ITKC:PERSON:P049050:sha256-2bfbf7f8ab4b1538"", ""source_release"": ""sha256-b28c4fc27fdacede"", ""source_text"": """", ""source_url"": ""http://thesaurus.itkc.or.kr/search/view?dataId=2289"", ""supported_fact_count"": ""1""}]","[""ITKC_PERSON_RELATION""]",korean-history-fact-graph-2026-07-28-contextual-v7
fact-relationship:253574a6940f9c47721eb019,ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538,SIBLING_OF,ITKC:PERSON:P045736:sha256-2bfbf7f8ab4b1538,1,VERIFIED,"[""CONFLICTING_GENEALOGY""]","[""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538""]","[""SR-5d7d2ba23d1f84fe4dc1""]","[{""detail_urls_json"": ""[\""https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P041198\""]"", ""evidence_id"": ""SR-5d7d2ba23d1f84fe4dc1"", ""evidence_kind"": ""STRUCTURED_SOURCE_ASSERTION"", ""evidence_urls_json"": ""[\""http://db.itkc.or.kr/dir/item?grpId=hj\""]"", ""scopes_json"": ""[]"", ""source_dataset"": ""ITKC_PERSON_RELATION"", ""source_document_id"": ""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538"", ""source_record_id"": ""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538"", ""source_release"": ""sha256-b28c4fc27fdacede"", ""source_text"": """", ""source_url"": ""http://db.itkc.or.kr/dir/item?grpId=hj"", ""supported_fact_count"": ""1""}]","[""ITKC_PERSON_RELATION""]",korean-history-fact-graph-2026-07-28-contextual-v7
fact-relationship:2f142686a896d182dafc57b1,ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538,SIBLING_OF,ITKC:PERSON:P045880:sha256-2bfbf7f8ab4b1538,1,VERIFIED,"[""CONFLICTING_GENEALOGY""]","[""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538""]","[""SR-124b1f33865c49b0c57d""]","[{""detail_urls_json"": ""[\""https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P041198\""]"", ""evidence_id"": ""SR-124b1f33865c49b0c57d"", ""evidence_kind"": ""STRUCTURED_SOURCE_ASSERTION"", ""evidence_urls_json"": ""[\""http://thesaurus.itkc.or.kr/search/view?dataId=2658\""]"", ""scopes_json"": ""[]"", ""source_dataset"": ""ITKC_PERSON_RELATION"", ""source_document_id"": ""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538"", ""source_record_id"": ""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538"", ""source_release"": ""sha256-b28c4fc27fdacede"", ""source_text"": """", ""source_url"": ""http://thesaurus.itkc.or.kr/search/view?dataId=2658"", ""supported_fact_count"": ""1""}]","[""ITKC_PERSON_RELATION""]",korean-history-fact-graph-2026-07-28-contextual-v7
fact-relationship:3d157ef7e4fec4ae3a2c852a,ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538,SIBLING_OF,ITKC:PERSON:P045782:sha256-2bfbf7f8ab4b1538,1,VERIFIED,"[""CONFLICTING_GENEALOGY""]","[""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538""]","[""SR-4a67bf3ac842ae00c51a""]","[{""detail_urls_json"": ""[\""https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P041198\""]"", ""evidence_id"": ""SR-4a67bf3ac842ae00c51a"", ""evidence_kind"": ""STRUCTURED_SOURCE_ASSERTION"", ""evidence_urls_json"": ""[\""http://thesaurus.itkc.or.kr/search/view?dataId=2654\""]"", ""scopes_json"": ""[]"", ""source_dataset"": ""ITKC_PERSON_RELATION"", ""source_document_id"": ""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538"", ""source_record_id"": ""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538"", ""source_release"": ""sha256-b28c4fc27fdacede"", ""source_text"": """", ""source_url"": ""http://thesaurus.itkc.or.kr/search/view?dataId=2654"", ""supported_fact_count"": ""1""}]","[""ITKC_PERSON_RELATION""]",korean-history-fact-graph-2026-07-28-contextual-v7
fact-relationship:4b8567d735137d1c21485094,ITKC:PERSON:P045880:sha256-2bfbf7f8ab4b1538,SIBLING_OF,ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538,1,VERIFIED,"[""CONFLICTING_GENEALOGY""]","[""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538""]","[""SR-92ebf3f630287f1ea171""]","[{""detail_urls_json"": ""[\""https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P045880\""]"", ""evidence_id"": ""SR-92ebf3f630287f1ea171"", ""evidence_kind"": ""STRUCTURED_SOURCE_ASSERTION"", ""evidence_urls_json"": ""[\""http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1486_001832\""]"", ""scopes_json"": ""[]"", ""source_dataset"": ""ITKC_PERSON_RELATION"", ""source_document_id"": ""ITKC:PERSON:P045880:sha256-2bfbf7f8ab4b1538"", ""source_record_id"": ""ITKC:PERSON:P045880:sha256-2bfbf7f8ab4b1538"", ""source_release"": ""sha256-b28c4fc27fdacede"", ""source_text"": """", ""source_url"": ""http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1486_001832"", ""supported_fact_count"": ""1""}]","[""ITKC_PERSON_RELATION""]",korean-history-fact-graph-2026-07-28-contextual-v7
fact-relationship:54a58e289025efc1db80381f,ITKC:PERSON:P047233:sha256-2bfbf7f8ab4b1538,HAS_FATHER,ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538,1,VERIFIED,"[""CONFLICTING_GENEALOGY""]","[""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538""]","[""SR-d2e5aa46ec564b506d71""]","[{""detail_urls_json"": ""[\""https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P047233\""]"", ""evidence_id"": ""SR-d2e5aa46ec564b506d71"", ""evidence_kind"": ""STRUCTURED_SOURCE_ASSERTION"", ""evidence_urls_json"": ""[\""http://thesaurus.itkc.or.kr/search/view?dataId=2289\""]"", ""scopes_json"": ""[]"", ""source_dataset"": ""ITKC_PERSON_RELATION"", ""source_document_id"": ""ITKC:PERSON:P047233:sha256-2bfbf7f8ab4b1538"", ""source_record_id"": ""ITKC:PERSON:P047233:sha256-2bfbf7f8ab4b1538"", ""source_release"": ""sha256-b28c4fc27fdacede"", ""source_text"": """", ""source_url"": ""http://thesaurus.itkc.or.kr/search/view?dataId=2289"", ""supported_fact_count"": ""1""}]","[""ITKC_PERSON_RELATION""]",korean-history-fact-graph-2026-07-28-contextual-v7
fact-relationship:5870b582b128e401c2e91280,ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538,HAS_CHILD,ITKC:PERSON:P047233:sha256-2bfbf7f8ab4b1538,1,VERIFIED,"[""CONFLICTING_GENEALOGY""]","[""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538""]","[""SR-0e32152ee912bcc6f95f""]","[{""detail_urls_json"": ""[\""https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P041198\""]"", ""evidence_id"": ""SR-0e32152ee912bcc6f95f"", ""evidence_kind"": ""STRUCTURED_SOURCE_ASSERTION"", ""evidence_urls_json"": ""[\""http://thesaurus.itkc.or.kr/search/view?dataId=2289\""]"", ""scopes_json"": ""[]"", ""source_dataset"": ""ITKC_PERSON_RELATION"", ""source_document_id"": ""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538"", ""source_record_id"": ""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538"", ""source_release"": ""sha256-b28c4fc27fdacede"", ""source_text"": """", ""source_url"": ""http://thesaurus.itkc.or.kr/search/view?dataId=2289"", ""supported_fact_count"": ""1""}]","[""ITKC_PERSON_RELATION""]",korean-history-fact-graph-2026-07-28-contextual-v7
fact-relationship:6656a36527f7aefffc701bc4,ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538,HAS_GREAT_GRANDFATHER,ITKC:PERSON:P044692:sha256-2bfbf7f8ab4b1538,1,VERIFIED,"[""CONFLICTING_GENEALOGY""]","[""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538""]","[""SR-ae4efbace68a4ee697b1""]","[{""detail_urls_json"": ""[\""https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P041198\""]"", ""evidence_id"": ""SR-ae4efbace68a4ee697b1"", ""evidence_kind"": ""STRUCTURED_SOURCE_ASSERTION"", ""evidence_urls_json"": ""[\""http://db.itkc.or.kr/dir/item?grpId=hj\""]"", ""scopes_json"": ""[]"", ""source_dataset"": ""ITKC_PERSON_RELATION"", ""source_document_id"": ""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538"", ""source_record_id"": ""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538"", ""source_release"": ""sha256-b28c4fc27fdacede"", ""source_text"": """", ""source_url"": ""http://db.itkc.or.kr/dir/item?grpId=hj"", ""supported_fact_count"": ""1""}]","[""ITKC_PERSON_RELATION""]",korean-history-fact-graph-2026-07-28-contextual-v7
fact-relationship:756d5027432f211f1ae7ee77,ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538,HAS_FATHER,canonical:person:58c340b3-2e8b-4885-811e-506475d12f47,1,VERIFIED,"[""CONFLICTING_GENEALOGY""]","[""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538""]","[""SR-64ce4c812663dbb7c590""]","[{""detail_urls_json"": ""[\""https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P041198\""]"", ""evidence_id"": ""SR-64ce4c812663dbb7c590"", ""evidence_kind"": ""STRUCTURED_SOURCE_ASSERTION"", ""evidence_urls_json"": ""[\""http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1486_001832\""]"", ""scopes_json"": ""[]"", ""source_dataset"": ""ITKC_PERSON_RELATION"", ""source_document_id"": ""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538"", ""source_record_id"": ""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538"", ""source_release"": ""sha256-b28c4fc27fdacede"", ""source_text"": """", ""source_url"": ""http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1486_001832"", ""supported_fact_count"": ""1""}]","[""ITKC_PERSON_RELATION""]",korean-history-fact-graph-2026-07-28-contextual-v7
fact-relationship:78fec661e0cdece74ecdd50b,ITKC:PERSON:P045782:sha256-2bfbf7f8ab4b1538,SIBLING_OF,ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538,1,VERIFIED,"[""CONFLICTING_GENEALOGY""]","[""ITKC:PERSON:P041198:sha256-2bfbf7f8ab4b1538""]","[""SR-0abef5298dc0a6b0d90b""]","[{""detail_urls_json"": ""[\""https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P045782\""]"", ""evidence_id"": ""SR-0abef5298dc0a6b0d90b"", ""evidence_kind"": ""STRUCTURED_SOURCE_ASSERTION"", ""evidence_urls_json"": ""[\""http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1486_001832\""]"", ""scopes_json"": ""[]"", ""source_dataset"": ""ITKC_PERSON_RELATION"", ""source_document_id"": ""ITKC:PERSON:P045782:sha256-2bfbf7f8ab4b1538"", ""source_record_id"": ""ITKC:PERSON:P045782:sha256-2bfbf7f8ab4b1538"", ""source_release"": ""sha256-b28c4fc27fdacede"", ""source_text"": """", ""source_url"": ""http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1486_001832"", ""supported_fact_count"": ""1""}]","[""ITKC_PERSON_RELATION""]",korean-history-fact-graph-2026-07-28-contextual-v7
