entity_id,entity_kind,display_name,normalized_search_text,entity_type,resolution_status,retrieval_eligible,anchor_eligible,multi_hop_eligible,source_node_kind,source_node_id,source_node_ids_json,source_node_kinds_json,source_member_count,merge_scope,context_anchor_id,context_direction,lifecycle_status,identity_confidence,source_support_count,graph_release_id
canonical:concept:008ca1a0-9436-40d3-b98e-8fa68130a5ed,CANONICAL,욕살,욕살,Concept,RESOLVED,true,true,true,CANONICAL,canonical:concept:008ca1a0-9436-40d3-b98e-8fa68130a5ed,"[""canonical:concept:008ca1a0-9436-40d3-b98e-8fa68130a5ed""]","[""CANONICAL""]",1,NONE,,,ACTIVE,CORROBORATED,2,korean-history-fact-graph-2026-07-27-contextual-v1
canonical:concept:008dc4a3-778a-4916-a356-6328b570c095,CANONICAL,계수관,계수관,Concept,RESOLVED,true,true,true,CANONICAL,canonical:concept:008dc4a3-778a-4916-a356-6328b570c095,"[""canonical:concept:008dc4a3-778a-4916-a356-6328b570c095""]","[""CANONICAL""]",1,NONE,,,ACTIVE,CORROBORATED,3,korean-history-fact-graph-2026-07-27-contextual-v1
canonical:concept:009760f9-97e9-472f-b5b3-446b7aaf10ae,CANONICAL,포접제,포접제,Concept,RESOLVED,true,true,true,CANONICAL,canonical:concept:009760f9-97e9-472f-b5b3-446b7aaf10ae,"[""canonical:concept:009760f9-97e9-472f-b5b3-446b7aaf10ae""]","[""CANONICAL""]",1,NONE,,,ACTIVE,SOURCE_BACKED,1,korean-history-fact-graph-2026-07-27-contextual-v1
canonical:concept:00c36de4-7d0a-4df7-9b62-7dc79a015a1f,CANONICAL,경연관,경연관,Concept,RESOLVED,true,true,true,CANONICAL,canonical:concept:00c36de4-7d0a-4df7-9b62-7dc79a015a1f,"[""canonical:concept:00c36de4-7d0a-4df7-9b62-7dc79a015a1f""]","[""CANONICAL""]",1,NONE,,,ACTIVE,CORROBORATED,2,korean-history-fact-graph-2026-07-27-contextual-v1
canonical:concept:00fcd63c-6737-4f55-9aab-f8e1064ace12,CANONICAL,준풍,준풍,Concept,RESOLVED,true,true,true,CANONICAL,canonical:concept:00fcd63c-6737-4f55-9aab-f8e1064ace12,"[""canonical:concept:00fcd63c-6737-4f55-9aab-f8e1064ace12""]","[""CANONICAL""]",1,NONE,,,ACTIVE,CORROBORATED,2,korean-history-fact-graph-2026-07-27-contextual-v1
canonical:concept:012a2486-67ff-4cfd-ae44-95c47a7ee590,CANONICAL,원화,원화,Concept,RESOLVED,true,true,true,CANONICAL,canonical:concept:012a2486-67ff-4cfd-ae44-95c47a7ee590,"[""canonical:concept:012a2486-67ff-4cfd-ae44-95c47a7ee590""]","[""CANONICAL""]",1,NONE,,,ACTIVE,SOURCE_BACKED,1,korean-history-fact-graph-2026-07-27-contextual-v1
canonical:concept:01b5081c-f26f-4994-b7ef-eed5e4f28910,CANONICAL,회사령,회사령,Concept,RESOLVED,true,true,true,CANONICAL,canonical:concept:01b5081c-f26f-4994-b7ef-eed5e4f28910,"[""canonical:concept:01b5081c-f26f-4994-b7ef-eed5e4f28910""]","[""CANONICAL""]",1,NONE,,,ACTIVE,CORROBORATED,2,korean-history-fact-graph-2026-07-27-contextual-v1
canonical:concept:01bca197-6481-4b53-9698-8c4d88eaeff0,CANONICAL,시천주,시천주,Concept,RESOLVED,true,true,true,CANONICAL,canonical:concept:01bca197-6481-4b53-9698-8c4d88eaeff0,"[""canonical:concept:01bca197-6481-4b53-9698-8c4d88eaeff0""]","[""CANONICAL""]",1,NONE,,,ACTIVE,SOURCE_BACKED,1,korean-history-fact-graph-2026-07-27-contextual-v1
canonical:concept:02779cb1-315b-4278-b0c5-38a615edd02c,CANONICAL,개발제한구역,개발제한구역,Concept,RESOLVED,true,true,true,CANONICAL,canonical:concept:02779cb1-315b-4278-b0c5-38a615edd02c,"[""canonical:concept:02779cb1-315b-4278-b0c5-38a615edd02c""]","[""CANONICAL""]",1,NONE,,,ACTIVE,SOURCE_BACKED,1,korean-history-fact-graph-2026-07-27-contextual-v1
canonical:concept:02c00888-f3f3-491a-98c5-851e5abeb5f9,CANONICAL,학관,학관,Concept,RESOLVED,true,true,true,CANONICAL,canonical:concept:02c00888-f3f3-491a-98c5-851e5abeb5f9,"[""canonical:concept:02c00888-f3f3-491a-98c5-851e5abeb5f9""]","[""CANONICAL""]",1,NONE,,,ACTIVE,SOURCE_BACKED,1,korean-history-fact-graph-2026-07-27-contextual-v1
