exam_term_id,canonical_id,match_status,method,version,term_decision_id,graph_release_id
exam-term:078200212582644baece,canonical:event:da88d924-c932-4bbf-a568-9f3bffc8d42a,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:0587c10cb07256185197,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:ce0bbccd57d3bb2e1fd1,canonical:person:07150a06-1d58-44fd-a307-5253a4145cf7,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:7060ffea3767dce257c4,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:a8389719d3ec0fec8675,canonical:person:a9af0e38-9176-4f53-9c1e-facb22d7db5f,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:040780d0032800904b15,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:5424ed48becb8b25626c,canonical:person:1e581f6f-499f-4590-b4f3-03965dbfc043,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:22e6251637377cc51c89,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:66c9f81b52869a72b814,canonical:person:5d2d2162-0645-48ef-a050-4153581da296,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:abf5aa8142926c4958f6,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:6e87c5b330e5a15762a6,canonical:person:83229a0b-29ef-4fee-a21f-417fbf10790e,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:a64b72d675e9f6e796b4,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:50a61c01d7d788973c9c,canonical:person:4f5713c3-46c4-42d0-9779-5789f6e2885b,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:1f907f38233596ae7eab,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:fcb668424194ad6bec8d,canonical:person:934ae4df-c53f-4bf2-a8ba-fa22fdb9dc4d,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:f4ccf3d9277503028c4d,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:976ba47ee9a8bf959598,canonical:person:1856f89b-bc3d-4892-94de-13bf7a946bb4,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:3d240a61c4e4925e190c,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:431c24de14a0efda4807,canonical:work:f9dec188-0a85-4d29-ae4a-c47d452700e8,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:418512935a490486ca8e,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:dcb426db70e10807893a,canonical:event:3680b441-8eb3-4778-bcf4-6b001cdc8529,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:2cdd2bc73fa81306364c,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:1ae063b8dd635d004770,canonical:person:958f23a5-07df-4023-be73-7c3d7132db4d,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:3ce23d004b1a2d601719,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:fe07f10e6e2e8f147b39,canonical:person:15083e48-68c0-40dc-96ed-df5e5445f203,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:eacf33fb09f820362690,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:202bada124dc90a990cd,canonical:person:c53b6e19-ff0d-473a-af8e-dadce17b00ab,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:23fdb29cc57d6dfc2b4a,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:3cba900a22131dfcf5b2,canonical:person:742bf0f0-64e2-4e21-a0c4-69a698993f82,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:eabd774feb0b1b7284bb,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:0e2a528191524f68e29d,canonical:person:3871138f-5eb4-47b6-8d66-0b1d6441cca5,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:4b01381a9ebfc0ea41aa,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:9d02c313fc2887852634,canonical:person:58c340b3-2e8b-4885-811e-506475d12f47,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:ab2c4abb83471251323b,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:2dfee5ea49bcd086ebee,canonical:person:525c1531-33ab-45cc-b8fe-3d487ee02b59,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:4982546de68f17484cfe,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:72bf849be5d268189ba1,canonical:person:935fa8dc-8861-419a-adf8-808beba25a5d,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:a7db6b4e72adf9f834be,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:6b45de97d19ea1dec915,canonical:person:8cd75eb0-15ea-4d63-9d24-bb14c06fd227,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:858d165d9221a1ae5ad7,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:acab32ccd7f5210ad7bf,canonical:person:6831f324-f8c0-4385-9169-c30ef16d120a,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:72ec6af58b81d731ac93,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:15ba2186eb777e452cc6,canonical:person:1765d798-9e71-4a28-ba97-f68aa630c612,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:9792730d8352fd628d8e,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:1c0e4f8d530c735747a8,canonical:event:8626ad98-7bff-42a2-bbc8-07a0238ac90a,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:82d02baba3fcf6270edd,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:8c866a5a8ab2ee81b977,canonical:person:c80d2deb-530c-4ddc-9a79-74d0b96a5e3d,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:7bf8359dfcbd5eaf8fa9,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:163cf963cd3abeabfb67,canonical:person:cfbe0bbf-21a3-4f37-a7db-868d5e352feb,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:c6c9fc504825a8f667f9,korean-history-fact-graph-2026-07-28-contextual-v7
exam-term:f19c5c6bd63c24c67c13,canonical:person:bc5a4612-d15f-4f1d-9234-804f91ca4bab,ACCEPTED,verified_problem_assignment,entity-resolution-candidate-v2.4,term-decision:f6e12f2be2e1ac371033,korean-history-fact-graph-2026-07-28-contextual-v7
