source_record_id,source,source_key,source_release,source_metadata_json,graph_release_id
AKS:ARTICLE:E0000127:sha256-7515b6340166226d,AKS,E0000127,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""1599년 김장생이 주자의 『가례(家禮)』에 대한 분명한 이해를 돕고, 더 나아가  『가례』의 문제점을 보완하고 수정하기 위해 편찬한 예법에 관한 책."", ""eid"": ""E0000127"", ""era"": ""조선/조선 후기"", ""headword"": ""가례집람"", ""headword_origin"": ""가례집람(家禮輯覽)"", ""origin"": ""家禮輯覽"", ""primary_type"": ""문헌/고서"", ""primary_type_part"": ""문헌"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0000127""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0000507:sha256-7515b6340166226d,AKS,E0000507,sha256-7515b6340166226d,"{""aliases"": [""대간(臺諫)"", ""언관(言官)"", ""양사(兩司)""], ""definition"": ""고려시대 낭사(郎舍)와 조선시대 사간원·사헌부의 합칭, 또는 두 관서 관원의 총칭."", ""eid"": ""E0000507"", ""era"": ""고려/고려 전기 | 조선"", ""headword"": ""간관"", ""headword_origin"": ""간관(諫官)"", ""origin"": ""諫官"", ""primary_type"": ""제도/관청"", ""primary_type_part"": ""제도"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0000507""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0000512:sha256-7515b6340166226d,AKS,AKS:ARTICLE:E0000512:sha256-7515b6340166226d,,"{""evidence_kind"": ""OFFICIAL_TEXT_CLAUSE"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0000512""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0000619:sha256-7515b6340166226d,AKS,AKS:ARTICLE:E0000619:sha256-7515b6340166226d,sha256-7515b6340166226d,"{""evidence_kind"": ""OFFICIAL_DESCRIPTION"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0000619""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0000632:sha256-7515b6340166226d,AKS,E0000632,sha256-7515b6340166226d,"{""aliases"": [""석봉(石棒)""], ""definition"": ""선사시대와 청동기시대에 사용된 조리용(調理用) 석기."", ""eid"": ""E0000632"", ""era"": ""선사/석기"", ""headword"": ""갈돌"", ""headword_origin"": ""갈돌"", ""origin"": """", ""primary_type"": ""물품"", ""primary_type_part"": ""물품"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0000632""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0000675:sha256-7515b6340166226d,AKS,E0000675,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""신석기시대와 청동기시대 곡물이나 야생열매를 부수어서 가는 데 사용하던 석기."", ""eid"": ""E0000675"", ""era"": ""선사/석기"", ""headword"": ""갈판"", ""headword_origin"": ""갈판"", ""origin"": """", ""primary_type"": ""물품"", ""primary_type_part"": ""물품"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0000675""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0000855:sha256-7515b6340166226d,AKS,E0000855,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""조선시대 사헌부의 정6품 관직."", ""eid"": ""E0000855"", ""era"": ""조선/조선 전기 | 조선/조선 후기"", ""headword"": ""감찰"", ""headword_origin"": ""감찰(監察)"", ""origin"": ""監察"", ""primary_type"": ""제도/관직"", ""primary_type_part"": ""제도"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0000855""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0000859:sha256-7515b6340166226d,AKS,E0000859,sha256-7515b6340166226d,"{""aliases"": [""감찰사(監察史)""], ""definition"": ""고려시대, 관료에 대한 감찰 등을 담당하던 어사대의 종6품 관직."", ""eid"": ""E0000859"", ""era"": ""고려/고려 전기 | 고려/고려 후기"", ""headword"": ""감찰어사"", ""headword_origin"": ""감찰어사(監察御史)"", ""origin"": ""監察御史"", ""primary_type"": ""제도/관직"", ""primary_type_part"": ""제도"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0000859""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0000919:sha256-7515b6340166226d,AKS,AKS:ARTICLE:E0000919:sha256-7515b6340166226d,,"{""evidence_kind"": ""OFFICIAL_TEXT_CLAUSE"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0000919""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0000922:sha256-7515b6340166226d,AKS,E0000922,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""1884년(고종 21) 급진개화파가 청나라로부터의 독립과 조선의 개화를 목표로 일으킨 정변."", ""eid"": ""E0000922"", ""era"": ""근대/개항기"", ""headword"": ""갑신정변"", ""headword_origin"": ""갑신정변(甲申政變)"", ""origin"": ""甲申政變"", ""primary_type"": ""사건/사회운동"", ""primary_type_part"": ""사건"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0000922""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0000923:sha256-7515b6340166226d,AKS,AKS:ARTICLE:E0000923:sha256-7515b6340166226d,,"{""evidence_kind"": ""OFFICIAL_TEXT_CLAUSE"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0000923""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0000925:sha256-7515b6340166226d,AKS,E0000925,sha256-7515b6340166226d,"{""aliases"": [""갑오경장""], ""definition"": ""1894년(고종 31) 7월부터 1896년 2월까지 추진되었던 일련의 개혁운동."", ""eid"": ""E0000925"", ""era"": ""근대/개항기"", ""headword"": ""갑오개혁"", ""headword_origin"": ""갑오개혁(甲午改革)"", ""origin"": ""甲午改革"", ""primary_type"": ""사건/사회운동"", ""primary_type_part"": ""사건"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0000925""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0000935:sha256-7515b6340166226d,AKS,E0000935,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""1504년(연산군 10) 갑자년에 훈구사림파 중심의 부중 세력이 궁중 세력에게 받은 정치적인 탄압 사건."", ""eid"": ""E0000935"", ""era"": ""조선/조선 전기"", ""headword"": ""갑자사화"", ""headword_origin"": ""갑자사화(甲子士禍)"", ""origin"": ""甲子士禍"", ""primary_type"": ""사건/사건·사고"", ""primary_type_part"": ""사건"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0000935""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0000954:sha256-7515b6340166226d,AKS,E0000954,sha256-7515b6340166226d,"{""aliases"": [""강은천(姜殷川)"", ""인헌(仁憲)""], ""definition"": ""고려 전기에, 서북면행영도통사, 상원수대장군, 문하시중 등을 역임한 문신."", ""eid"": ""E0000954"", ""era"": ""고려/고려 전기"", ""headword"": ""강감찬"", ""headword_origin"": ""강감찬(姜邯贊)"", ""origin"": ""姜邯贊"", ""primary_type"": ""인물/전통 인물"", ""primary_type_part"": ""인물"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0000954""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001007:sha256-7515b6340166226d,AKS,E0001007,sha256-7515b6340166226d,"{""aliases"": [""강화린(姜華麟)"", ""강화인(姜和仁)""], ""definition"": ""일제강점기, 청산리 대첩에 참전한 독립운동가."", ""eid"": ""E0001007"", ""era"": ""근대/개항기 | 현대"", ""headword"": ""강근호"", ""headword_origin"": ""강근호(姜槿虎)"", ""origin"": ""姜槿虎"", ""primary_type"": ""인물/근현대 인물"", ""primary_type_part"": ""인물"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001007""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001041:sha256-7515b6340166226d,AKS,E0001041,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""조선후기 문신 어한명이 병자호란 당시에 작성한 일기."", ""eid"": ""E0001041"", ""era"": ""조선/조선 후기"", ""headword"": ""강도일기"", ""headword_origin"": ""강도일기(江都日記)"", ""origin"": ""江都日記"", ""primary_type"": ""문헌/고서"", ""primary_type_part"": ""문헌"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001041""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001045:sha256-7515b6340166226d,AKS,AKS:ARTICLE:E0001045:sha256-7515b6340166226d,,"{""evidence_kind"": ""OFFICIAL_TEXT_CLAUSE"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001045""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001049:sha256-7515b6340166226d,AKS,AKS:ARTICLE:E0001049:sha256-7515b6340166226d,,"{""evidence_kind"": ""OFFICIAL_TEXT_CLAUSE"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001049""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001103:sha256-7515b6340166226d,AKS,E0001103,sha256-7515b6340166226d,"{""aliases"": [""선교장""], ""definition"": ""강원특별자치도 강릉시에 있는 조선후기 이내번 관련 주택."", ""eid"": ""E0001103"", ""era"": ""조선/조선 후기"", ""headword"": ""강릉 선교장"", ""headword_origin"": ""강릉 선교장(江陵 船橋莊)"", ""origin"": ""江陵 船橋莊"", ""primary_type"": ""유적/건물"", ""primary_type_part"": ""유적"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001103""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001139:sha256-7515b6340166226d,AKS,E0001139,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""역사를 연·월·일순에 따라 강과 목으로 기록하는 편찬 체재."", ""eid"": ""E0001139"", ""era"": ""고려/고려 전기 | 고려/고려 후기"", ""headword"": ""강목체"", ""headword_origin"": ""강목체(綱目體)"", ""origin"": ""綱目體"", ""primary_type"": ""개념"", ""primary_type_part"": ""개념"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001139""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001298:sha256-7515b6340166226d,AKS,E0001298,sha256-7515b6340166226d,"{""aliases"": [""강영일(姜寧一)"", ""왈우(曰愚)"", ""찬구(燦九)""], ""definition"": ""대한국민노인동맹단 라오허현 지부장으로 사이토 마코토 총독 처단 투탄 의거를 일으킨 독립운동가."", ""eid"": ""E0001298"", ""era"": ""조선/조선 후기 | 근대/일제강점기"", ""headword"": ""강우규"", ""headword_origin"": ""강우규(姜宇奎)"", ""origin"": ""姜宇奎"", ""primary_type"": ""인물/근현대 인물"", ""primary_type_part"": ""인물"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001298""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001383:sha256-7515b6340166226d,AKS,E0001383,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""고려 전기, 서북면도순검사, 중대사, 이부상서·참지정사, 행영도통사 등을 역임한 권신."", ""eid"": ""E0001383"", ""era"": ""고려/고려 전기"", ""headword"": ""강조"", ""headword_origin"": ""강조(康兆)"", ""origin"": ""康兆"", ""primary_type"": ""인물/전통 인물"", ""primary_type_part"": ""인물"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001383""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001385:sha256-7515b6340166226d,AKS,AKS:ARTICLE:E0001385:sha256-7515b6340166226d,,"{""evidence_kind"": ""OFFICIAL_TEXT_CLAUSE"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001385""}",korean-history-fact-graph-2026-07-27-contextual-v1
