entity_id,source_record_id,graph_release_id
provisional:source_record:ITKC:PERSON:P018819:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P018819:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P019463:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P019463:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029137:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029137:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029166:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029166:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P060763:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P060763:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P065576:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P065576:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0336:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0336:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0337:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0337:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0338:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0338:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0339:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0339:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P005889:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P005889:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P006521:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P006521:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0340:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0340:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P003912:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P003912:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P050994:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P050994:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0341:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0341:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029171:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029171:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P033254:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P033254:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
