exam_term_id,term,normalized_term,term_variants_json,resolution_case_ids_json,categories_json,entity_type_proposals_json,problem_count,problem_ids_json,source_link_status,normalization_policy_version,resolution_policy_version,search_text,resolution_status,target_count,target_resolution_status,exact_search_eligible,retrieval_eligible,fact_retrieval_eligible,terminal_fact_retrieval_eligible,graph_release_id
exam-term:000e44720fd2cfbb2dfc,대통령 직선제 개헌,대통령직선제개헌,"[""대통령 직선제 개헌""]","[""resolution-case:e296e723c2f79e2ada28""]","[""제도""]","[""Concept""]",7,"[""cj_v41_0142"", ""cj_v41_0190"", ""cj_v41_0331"", ""cj_v41_0849"", ""cj_v41_0898"", ""cj_v41_1332"", ""cj_v41_1524""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,대통령 직선제 개헌,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:00110a36ff0710b36a72,결사 운동,결사운동,"[""결사 운동""]","[""resolution-case:cdd9a983b4f9229c4336""]","[""사건""]","[""Event""]",1,"[""cj_v41_0773""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,결사 운동,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:001a8fac28d1eff3215c,영고,영고,"[""영고""]","[""resolution-case:043861a8f434acc9a5fa""]","[""제도""]","[""Concept""]",16,"[""cj_v41_0002"", ""cj_v41_0048"", ""cj_v41_0146"", ""cj_v41_0193"", ""cj_v41_0242"", ""cj_v41_0428"", ""cj_v41_0618"", ""cj_v41_0713"", ""cj_v41_0807"", ""cj_v41_0948"", ""cj_v41_0998"", ""cj_v41_0999"", ""cj_v41_1145"", ""cj_v41_1439"", ""cj_v41_1484"", ""cj_v41_img_73_04""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,영고,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:001d36ff32eac8071bdc,잡과,잡과,"[""잡과""]","[""resolution-case:f3f697e117f382e530bf""]","[""제도""]","[""Concept""]",4,"[""cj_v41_0543"", ""cj_v41_0759"", ""cj_v41_1336"", ""cj_v41_img_62_50""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,잡과,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:0035d887e79a484d1df3,제국대장공주,제국대장공주,"[""제국대장공주""]","[""resolution-case:68cefeb9e9ff6f459288""]","[""인물""]","[""Person""]",4,"[""cj_v41_0583"", ""cj_v41_0725"", ""cj_v41_1062"", ""cj_v41_1207""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,제국대장공주,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:003bc3329b6b9c7375d6,청요직,청요직,"[""청요직""]","[""resolution-case:d38ef547832e54b3cdfd""]","[""제도""]","[""Concept""]",1,"[""cj_v41_img_73_14""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,청요직,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:0052eab032ff60f27d50,신종,신종,"[""신종""]","[""resolution-case:82845769991c9d042128""]","[""인물""]","[""Person""]",3,"[""cj_v41_0157"", ""cj_v41_0959"", ""cj_v41_0973""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,신종,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:0064c39cb7da0afc7b48,제주 고산리 유적,제주고산리유적,"[""제주 고산리 유적""]","[""resolution-case:63e573ddbd239546fb2e""]","[""유적""]","[""Heritage""]",1,"[""cj_v41_0427""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,제주 고산리 유적,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:0065c96a4fc8c824305a,타향살이,타향살이,"[""타향살이""]","[""resolution-case:2d37d3bee70c63890012""]","[""문화재""]","[""Heritage""]",1,"[""cj_v41_1471""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,타향살이,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:006ff10d107a073f52ca,포장,포장,"[""포장""]","[""resolution-case:530ce78484ea8541a6f7""]","[""제도""]","[""Concept""]",1,"[""cj_v41_1092""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,포장,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:009202b2a1e7fce0cffe,남건,남건,"[""남건""]","[""resolution-case:7d67221ff00a9424cddb""]","[""인물""]","[""Person""]",1,"[""cj_v41_0244""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,남건,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:00923593f787618b2b79,원각사지 십층석탑,원각사지십층석탑,"[""원각사지 십층석탑""]","[""resolution-case:4ea90a6b2e816a8e3f11""]","[""문화재""]","[""Heritage""]",8,"[""cj_v41_0107"", ""cj_v41_0591"", ""cj_v41_1006"", ""cj_v41_1209"", ""cj_v41_1354"", ""cj_v41_img_53_17"", ""cj_v41_img_56_16"", ""cj_v41_img_57_20""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,원각사지 십층석탑,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:00a2808e8102947a7b50,구 러시아 공사관,구러시아공사관,"[""구 러시아 공사관""]","[""resolution-case:4748b83a4b12872b1e68""]","[""유적""]","[""Heritage""]",1,"[""cj_v41_0126""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,구 러시아 공사관,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:00a6ce90eb8666fc4d3b,척화비,척화비,"[""척화비""]","[""resolution-case:f844c222bf9c1d31f68b""]","[""문화재""]","[""Heritage""]",15,"[""cj_v41_0171"", ""cj_v41_0221"", ""cj_v41_0265"", ""cj_v41_0314"", ""cj_v41_0359"", ""cj_v41_0455"", ""cj_v41_0511"", ""cj_v41_0692"", ""cj_v41_0693"", ""cj_v41_0740"", ""cj_v41_0975"", ""cj_v41_1075"", ""cj_v41_1170"", ""cj_v41_1271"", ""cj_v41_1317""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,척화비,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:00adbc2cb27a33cdaff3,근구수왕,근구수왕,"[""근구수왕""]","[""resolution-case:61b9ffcee8aa5e211570""]","[""인물""]","[""Person""]",1,"[""cj_v41_0671""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,근구수왕,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:00be34d9bde488f81dfe,단오,단오,"[""단오""]","[""resolution-case:686919e7dbbf9f7934db""]","[""제도""]","[""Concept""]",3,"[""cj_v41_0458"", ""cj_v41_0566"", ""cj_v41_0665""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,단오,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
