era_id,name,status,version,graph_release_id
era:early_states,초기국가,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-27-contextual-v1
era:gojoseon,고조선,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-27-contextual-v1
era:goryeo,고려,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-27-contextual-v1
era:japanese_colonial,일제강점기,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-27-contextual-v1
era:joseon,조선,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-27-contextual-v1
era:modern,현대,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-27-contextual-v1
era:north_south_states,남북국시대,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-27-contextual-v1
era:opening_ports,개항기,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-27-contextual-v1
era:prehistoric,선사시대,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-27-contextual-v1
era:three_kingdoms,삼국시대,ACTIVE,classification-anchor-v1,korean-history-fact-graph-2026-07-27-contextual-v1
