term_name,term_ch,term_year,term_times,term_lk,term_desc
수,守,1466-1894,조선시대,정치·행정·법제>인사,조선시대 전설사(典設司)·풍저창(豊儲倉)·광흥창(廣興倉)의 장관과 종친부(宗親府)의 정4품 관직.
수,隋,581-618,삼국시대,역사일반>국가>중국국가,중국의 통일 왕조.
수구당,守舊黨,1876-1894,개항기,정치·행정·법제>정치>정치조직·단체,개항기 명성황후를 중심으로 형성된 친청적(親淸的) 보수 정치 집단.
수국사,修國史,?-1308,고려시대,정치·행정·법제>인사,고려시대 사관(史館)의 종2품 관직. 2품 이상이 겸직함.
수군,水軍,?-?,고려시대-조선시대,국방·군사>군>지방군,고려-조선시대 치안 또는 국방을 위하여 수상(水上)에서 전투를 담당한 군대.
수궁가,水宮歌,?-?,조선후기,문화·예술>음악,조선후기에 불리는 판소리 다섯마당 가운데 하나.
수궁대장,守宮大將,?-?,조선시대,정치·행정·법제>인사,조선시대 국왕이 성문 밖에 거동할 때에 대궐을 지키던 임시관직.
수궁서,守宮署,?-?,고려시대,정치·행정·법제>행정>중앙행정기구,고려시대에 장막(帳幕)을 담당한 기관.
수단,水壇,904-918,남북국시대,정치·행정·법제>행정>중앙행정기구,태봉(泰封)의 중앙 관청의 하나.
수덕만세,水德萬歲,911-914,남북국시대,역사일반,태봉(泰封)의 연호 중 하나.
수덕사,修德寺,?-?,삼국시대,전통사상·종교>불교>불교관련시설,백제 숭제법사(崇濟法師)가 세웠다고 전하는 절. 충청남도 예산군 덕숭산(德崇山)에 있음. 대한불교조계종 제7교구 본사(本寺).
수덕사대웅전,修德寺大雄殿,1308,고려후기,문화재,충청남도 예산군 덕산면 사천리의 수덕사(修德寺) 경내에 있는 고려 충렬왕 34년에 건립된 목조불전.
수도서인,受圖書人,1418-?,조선시대,외교·국제관계>일본>경제·산업(일본),통교의 험증(驗證)으로 삼기 위해 내린 도서(圖書)를 받은 일본인 세력가.
수등이척법,隨等異尺法,?-?,고려후기-조선전기,경제·산업>농업>농업일반,고려-조선시대 토지의 비옥도(肥沃度)에 따라 길이가 다른 자를 사용하여 토지를 측량하던 법.
수등이척법,隨等異尺法,?-?,고려후기-조선전기,경제·산업>도량형,고려-조선시대 토지의 비옥도(肥沃度)에 따라 길이가 다른 자를 사용하여 토지를 측량하던 법.
수렴청정,垂簾聽政,?-?,통시대,정치·행정·법제>정치사상·정책,역대 왕조에서 나이 어린 왕이 즉위했을 때 성인이 되기까지 일정기간 왕의 어머니나 할머니가 왕을 대신하여 정사를 살피면서 신하들 앞에 얼굴을 보이지 않으려고 앞에 발을 늘이고 정사에 임하는 정치 형태.
수렵총,狩獵塚,?-?,삼국시대,사회·생활>풍속·의례>매장,고구려의 벽화고분으로 평안남도 남포시 와우도구역 화도리에 있음.
수령7사,守令七事,?-?,조선시대,정치·행정·법제>행정>행정제도,조선시대에 수령이 지방을 통치함에 있어서 힘써야 할 일곱 가지 사항으로 전최(殿最)의 기준이 됨.
수령관,首領官,1308-?,고려후기,정치·행정·법제>인사,사람의 머리와 목에 해당한다는 비유로서 행정 말단의 실무 담당관을 가리키는 용어.
수로왕릉,首露王陵,?,삼국시대,문화재,가야의 시조 수로왕의 무덤으로 경상남도 김해시에 있음.
수륙재,水陸齋,971-?,고려시대-조선시대,전통사상·종교>불교>불교관련사건·행사,물과 육지에서 헤매는 외로운 영혼에게 공양(供養)을 드리는 불교의식.
수륜원,水輪院,1902-1904,근대,정치·행정·법제>행정>중앙행정기구,1902년 관개(灌漑)·관수(灌水) 등의 일을 관장하기 위해 설치된 관청.
수릉군전,守陵軍田,?-?,조선시대,경제·산업>농업>토지제도,왕과 왕비 및 왕족의 무덤인 능(陵)·원(園)·묘(墓)를 지키는 수릉군에게 직역(職役)의 대가로 지급하는 토지.
수리조합,水利組合,?-?,근대-현대,경제·산업>농업>농업기구단체,일제시기이후 토지나 가옥 소유자가 모여 농지에 대한 관개용 저수지·제방 등의 축조·관리 및 수해예방 사업을 목적으로 조직한 법인체.
수리조합반대운동,水利組合反對運動,1920-?,일제시기,사회운동·독립운동>농민운동·항쟁,일제가 산미증식계획의 일환으로 설치한 관제 수리조합에 대항한 농민의 항쟁.
수문장,守門將,1469-1876,조선시대,국방·군사>군직,조선시대에 도성 및 궁궐의 각 문을 지키던 무관으로 종6품부터 종9품까지 있음.
수문장청,守門將廳,?-?,조선시대,국방·군사>군사기구,조선시대에 궁궐문의 수위(守衛)를 맡은 수문장들이 소속된 관청.
수문전,修文殿,"1136-1298, ?-1372",고려시대,정치·행정·법제>행정>중앙행정기구,고려시대 국왕을 시종하고 역대의 문서를 관리하며 경전을 강론하는 일을 맡은 관청으로 문덕전(文德殿)을 고친 이름.
수미법,收米法,?-?,조선시대,재정·금융>재정>재정정책·법령,조선시대에 왕실과 각 관청에 바치는 공납을 쌀로 내게 하는 제도.
수민원,綏民院,1902,대한제국기,정치·행정·법제>행정>중앙행정기구,1902년 외국여행권을 관장하기 위하여 설치되었던 궁내부 산하 관청.
수복,守僕,1438-1909,조선시대,정치·행정·법제>인사,조선시대 단(壇)·묘(廟)·원(園)·능침(陵寢)·전(殿)에서 청소하는 일을 맡은 사람.
수본,手本,?-?,조선시대,정치·행정·법제>행정>행정제도,조선시대 문서양식의 하나로 하관(下官)이 공사(公事)에 관하여 상사(上司) 또는 관계 관서에 보고하는 문서.
수봉관,守奉官,?-?,조선시대,정치·행정·법제>인사,조선시대 원(園)을 지키던 종9품 관직.
수부전,水夫田,?-?,조선시대,경제·산업>농업>토지제도,조선시대 한강과 예성강을 이용하는 수운(水運)을 통하여 조세곡을 서울로 운반하던 수부들에게 지급한 토지.
수산제,守山堤,?-?,고대-근세,경제·산업>농업>농업시설,경상남도 밀양에 있었던 관개용 저수지 둑.
수서원,修書院,990-1391,고려시대,정치·행정·법제>행정>지방행정기구,고려시대 서경(西京)에 설치한 도서관.
