event_id,event_name,person_id,person_name
ITKC_PH_1294A_0435,강동성전투,P009535,김인경(金仁鏡)
ITKC_PH_1294A_0435,강동성전투,P058283,조충(趙冲)
ITKC_PH_1294A_0436,거란의 항복,P011067,김취려(金就礪)
ITKC_PH_1294A_0436,거란의 항복,P058283,조충(趙冲)
ITKC_PH_1294A_0437,최충헌의 사망,P008037,김약선(金若先)
ITKC_PH_1294A_0437,최충헌의 사망,P060627,최우(崔瑀)
ITKC_PH_1294A_0437,최충헌의 사망,P061177,최충헌(崔忠獻)
ITKC_PH_1294A_0437,최충헌의 사망,P061303,최향(崔珦)
ITKC_PH_1294A_0438,의주적의 난,P035894,이공로(李公老)
ITKC_PH_1294A_0439,이극인의 난,P036595,이극인(李克仁)
ITKC_PH_1294A_0439,이극인의 난,P060627,최우(崔瑀)
ITKC_PH_1294A_0439,이극인의 난,P060695,최유공(崔愈恭)
ITKC_PH_1294A_0441,조영수의 난,P059027,진식(陳湜)
ITKC_PH_1294A_0442,강종의 교동 안치,P029226,"왕오(王祦)
강종(康宗)"
ITKC_PH_1294A_0442,강종의 교동 안치,P060627,최우(崔瑀)
ITKC_PH_1294A_0443,최향의 반란,P060627,최우(崔瑀)
ITKC_PH_1294A_0443,최향의 반란,P061303,최향(崔珦)
ITKC_PH_1294A_0444,박서의 귀주성전투,P004558,김경손(金慶孫)
ITKC_PH_1294A_0335,고려 건국과 고려 태조,P001057,견훤(甄萱)
ITKC_PH_1294A_0335,고려 건국과 고려 태조,P002130,궁예(弓裔)
ITKC_PH_1294A_0335,고려 건국과 고려 태조,P013760,도선(道詵)
ITKC_PH_1294A_0335,고려 건국과 고려 태조,P018819,배현경(裵玄慶)
ITKC_PH_1294A_0335,고려 건국과 고려 태조,P019463,복지겸(卜智謙)
ITKC_PH_1294A_0335,고려 건국과 고려 태조,P023966,신숭겸(申崇謙)
ITKC_PH_1294A_0335,고려 건국과 고려 태조,P029137,"왕건(王建)
태조(太祖)"
ITKC_PH_1294A_0335,고려 건국과 고려 태조,P029166,"왕륭(王隆)
세조(世祖)"
ITKC_PH_1294A_0335,고려 건국과 고려 태조,P060763,최응(崔凝)
ITKC_PH_1294A_0335,고려 건국과 고려 태조,P065576,홍유(洪儒)
ITKC_PH_1294A_0336,혜종의 태자 책봉,P029137,"왕건(王建)
태조(太祖)"
ITKC_PH_1294A_0336,혜종의 태자 책봉,P029171,"왕무(王武)
혜종(惠宗)"
ITKC_PH_1294A_0336,혜종의 태자 책봉,P051170,장화왕후(莊和王后)
ITKC_PH_1294A_0337,왕순식의 귀순,P029137,"왕건(王建)
태조(太祖)"
ITKC_PH_1294A_0338,발해의 멸망,P013732,대조영(大祚榮)
ITKC_PH_1294A_0339,공산전투〔公山戰鬪〕,P001057,견훤(甄萱)
ITKC_PH_1294A_0339,공산전투〔公山戰鬪〕,P005889,김락(金樂)
ITKC_PH_1294A_0339,공산전투〔公山戰鬪〕,P006521,김부(金傅)
ITKC_PH_1294A_0339,공산전투〔公山戰鬪〕,P023966,신숭겸(申崇謙)
ITKC_PH_1294A_0339,공산전투〔公山戰鬪〕,P029137,"왕건(王建)
태조(太祖)"
ITKC_PH_1294A_0340,고창전투,P001057,견훤(甄萱)
ITKC_PH_1294A_0340,고창전투,P003912,권행(權幸)
ITKC_PH_1294A_0340,고창전투,P007073,김선평(金宣平)
ITKC_PH_1294A_0340,고창전투,P029137,"왕건(王建)
태조(太祖)"
ITKC_PH_1294A_0340,고창전투,P050994,장정필(張貞弼)
ITKC_PH_1294A_0341,최응의 졸기,P002130,궁예(弓裔)
ITKC_PH_1294A_0341,최응의 졸기,P029137,"왕건(王建)
태조(太祖)"
ITKC_PH_1294A_0341,최응의 졸기,P029171,"왕무(王武)
혜종(惠宗)"
ITKC_PH_1294A_0341,최응의 졸기,P033254,윤봉(尹逢)
ITKC_PH_1294A_0341,최응의 졸기,P060763,최응(崔凝)
ITKC_PH_1294A_0342,운주성 전투,P001057,견훤(甄萱)
ITKC_PH_1294A_0342,운주성 전투,P029137,"왕건(王建)
태조(太祖)"
ITKC_PH_1294A_0342,운주성 전투,P030153,유금필(庾黔弼)
ITKC_PH_1294A_0343,신검의 견훤 유폐,P001057,견훤(甄萱)
